# Renewables.ninja Solar PV (Point API) - 52.517, 13.389 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.5170365", "lon": "13.3888599", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "11.88", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,0.756
2020-01-01 01:00,2020-01-01 02:00,0,0,0,0.721
2020-01-01 02:00,2020-01-01 03:00,0,0,0,0.666
2020-01-01 03:00,2020-01-01 04:00,0,0,0,0.651
2020-01-01 04:00,2020-01-01 05:00,0,0,0,0.579
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.451
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.397
2020-01-01 07:00,2020-01-01 08:00,0.006,0.001,0.005,0.419
2020-01-01 08:00,2020-01-01 09:00,0.314,0.007,0.032,0.792
2020-01-01 09:00,2020-01-01 10:00,0.726,0.015,0.062,1.010
2020-01-01 10:00,2020-01-01 11:00,1.060,0.024,0.083,1.512
2020-01-01 11:00,2020-01-01 12:00,1.144,0.027,0.087,2.044
2020-01-01 12:00,2020-01-01 13:00,0.948,0.023,0.074,2.456
2020-01-01 13:00,2020-01-01 14:00,0.523,0.014,0.046,2.546
2020-01-01 14:00,2020-01-01 15:00,0.073,0.004,0.011,2.218
2020-01-01 15:00,2020-01-01 16:00,0,0,0,1.830
2020-01-01 16:00,2020-01-01 17:00,0,0,0,1.300
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-0.082
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.226
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.794
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.995
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.709
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.660
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.608
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.175
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.339
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.317
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.605
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.711
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.906
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-3.050
2020-01-02 07:00,2020-01-02 08:00,0.221,0.022,0.008,-3.074
2020-01-02 08:00,2020-01-02 09:00,2.473,0.182,0.042,-2.173
2020-01-02 09:00,2020-01-02 10:00,5.141,0.418,0.048,-0.792
2020-01-02 10:00,2020-01-02 11:00,6.067,0.510,0.050,1.010
2020-01-02 11:00,2020-01-02 12:00,6.076,0.515,0.051,2.498
2020-01-02 12:00,2020-01-02 13:00,5.228,0.435,0.049,3.213
2020-01-02 13:00,2020-01-02 14:00,3.449,0.274,0.042,2.260
2020-01-02 14:00,2020-01-02 15:00,0.971,0.083,0.015,0.195
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-0.615
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-0.531
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-0.746
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-1.051
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-1.342
2020-01-02 20:00,2020-01-02 21:00,0,0,0,-1.569
2020-01-02 21:00,2020-01-02 22:00,0,0,0,-1.386
2020-01-02 22:00,2020-01-02 23:00,0,0,0,-0.956
2020-01-02 23:00,2020-01-03 00:00,0,0,0,-0.167
2020-01-03 00:00,2020-01-03 01:00,0,0,0,0.480
2020-01-03 01:00,2020-01-03 02:00,0,0,0,0.946
2020-01-03 02:00,2020-01-03 03:00,0,0,0,1.101
2020-01-03 03:00,2020-01-03 04:00,0,0,0,0.750
2020-01-03 04:00,2020-01-03 05:00,0,0,0,0.288
2020-01-03 05:00,2020-01-03 06:00,0,0,0,-0.103
2020-01-03 06:00,2020-01-03 07:00,0,0,0,-0.394
2020-01-03 07:00,2020-01-03 08:00,0.045,0.004,0.008,-0.031
