# Renewables.ninja Solar PV (Point API) - 53.076, 8.807 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "53.0758196", "lon": "8.8071646", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "18.51", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,0.455
2020-01-01 01:00,2020-01-01 02:00,0,0,0,0.161
2020-01-01 02:00,2020-01-01 03:00,0,0,0,0.402
2020-01-01 03:00,2020-01-01 04:00,0,0,0,0.742
2020-01-01 04:00,2020-01-01 05:00,0,0,0,0.523
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.221
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.171
2020-01-01 07:00,2020-01-01 08:00,0,0,0.001,0.213
2020-01-01 08:00,2020-01-01 09:00,0.347,0.009,0.022,0.478
2020-01-01 09:00,2020-01-01 10:00,1.855,0.053,0.065,0.841
2020-01-01 10:00,2020-01-01 11:00,4.505,0.177,0.088,1.591
2020-01-01 11:00,2020-01-01 12:00,6.577,0.304,0.082,2.433
2020-01-01 12:00,2020-01-01 13:00,6.426,0.306,0.072,2.981
2020-01-01 13:00,2020-01-01 14:00,4.928,0.235,0.056,2.735
2020-01-01 14:00,2020-01-01 15:00,1.769,0.085,0.028,0.520
2020-01-01 15:00,2020-01-01 16:00,0,0,0,-1.513
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-2.093
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-2.155
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.818
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.379
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.221
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.371
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.491
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.589
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.729
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.819
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.777
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-1.592
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-1.452
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-1.389
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-1.420
2020-01-02 07:00,2020-01-02 08:00,0,0,0.001,-1.525
2020-01-02 08:00,2020-01-02 09:00,0.426,0.010,0.026,-1.421
2020-01-02 09:00,2020-01-02 10:00,1.570,0.036,0.065,-1.242
2020-01-02 10:00,2020-01-02 11:00,3.271,0.098,0.097,-0.589
2020-01-02 11:00,2020-01-02 12:00,2.987,0.079,0.100,0.052
2020-01-02 12:00,2020-01-02 13:00,2.452,0.060,0.090,0.351
2020-01-02 13:00,2020-01-02 14:00,1.052,0.019,0.054,0.411
2020-01-02 14:00,2020-01-02 15:00,0.160,0.003,0.015,0.214
2020-01-02 15:00,2020-01-02 16:00,0,0,0,0.091
2020-01-02 16:00,2020-01-02 17:00,0,0,0,0.566
2020-01-02 17:00,2020-01-02 18:00,0,0,0,0.956
2020-01-02 18:00,2020-01-02 19:00,0,0,0,1.476
2020-01-02 19:00,2020-01-02 20:00,0,0,0,1.729
2020-01-02 20:00,2020-01-02 21:00,0,0,0,1.727
2020-01-02 21:00,2020-01-02 22:00,0,0,0,2.059
2020-01-02 22:00,2020-01-02 23:00,0,0,0,2.349
2020-01-02 23:00,2020-01-03 00:00,0,0,0,2.396
2020-01-03 00:00,2020-01-03 01:00,0,0,0,2.263
2020-01-03 01:00,2020-01-03 02:00,0,0,0,2.521
2020-01-03 02:00,2020-01-03 03:00,0,0,0,3.059
2020-01-03 03:00,2020-01-03 04:00,0,0,0,3.457
2020-01-03 04:00,2020-01-03 05:00,0,0,0,3.839
2020-01-03 05:00,2020-01-03 06:00,0,0,0,4.476
2020-01-03 06:00,2020-01-03 07:00,0,0,0,5.153
2020-01-03 07:00,2020-01-03 08:00,0,0,0,5.675
2020-01-03 08:00,2020-01-03 09:00,0.002,0,0.005,6.133
2020-01-03 09:00,2020-01-03 10:00,0.069,0,0.012,6.380
2020-01-03 10:00,2020-01-03 11:00,0.208,0.001,0.022,6.525
2020-01-03 11:00,2020-01-03 12:00,0.321,0.001,0.029,6.592
2020-01-03 12:00,2020-01-03 13:00,0.333,0.001,0.030,6.683
2020-01-03 13:00,2020-01-03 14:00,0.223,0.001,0.022,6.737
2020-01-03 14:00,2020-01-03 15:00,0.012,0,0.006,6.660
2020-01-03 15:00,2020-01-03 16:00,0,0,0,6.491
2020-01-03 16:00,2020-01-03 17:00,0,0,0,6.215
2020-01-03 17:00,2020-01-03 18:00,0,0,0,5.251
2020-01-03 18:00,2020-01-03 19:00,0,0,0,4.256
2020-01-03 19:00,2020-01-03 20:00,0,0,0,3.538
2020-01-03 20:00,2020-01-03 21:00,0,0,0,3.226
2020-01-03 21:00,2020-01-03 22:00,0,0,0,3.275
2020-01-03 22:00,2020-01-03 23:00,0,0,0,3.383
2020-01-03 23:00,2020-01-04 00:00,0,0,0,3.569
2020-01-04 00:00,2020-01-04 01:00,0,0,0,3.594
2020-01-04 01:00,2020-01-04 02:00,0,0,0,3.244
2020-01-04 02:00,2020-01-04 03:00,0,0,0,2.870
2020-01-04 03:00,2020-01-04 04:00,0,0,0,2.689
2020-01-04 04:00,2020-01-04 05:00,0,0,0,2.755
2020-01-04 05:00,2020-01-04 06:00,0,0,0,2.942
2020-01-04 06:00,2020-01-04 07:00,0,0,0,3.437
2020-01-04 07:00,2020-01-04 08:00,0,0,0,4.014
2020-01-04 08:00,2020-01-04 09:00,0,0,0.004,4.340
2020-01-04 09:00,2020-01-04 10:00,0.043,0,0.009,4.819
