# Renewables.ninja Solar PV (Point API) - 51.049, 13.738 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.0493286", "lon": "13.7381437", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "40.84", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,1.030
2020-01-01 01:00,2020-01-01 02:00,0,0,0,0.874
2020-01-01 02:00,2020-01-01 03:00,0,0,0,0.675
2020-01-01 03:00,2020-01-01 04:00,0,0,0,0.496
2020-01-01 04:00,2020-01-01 05:00,0,0,0,0.414
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.308
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.209
2020-01-01 07:00,2020-01-01 08:00,0.073,0.002,0.006,0.226
2020-01-01 08:00,2020-01-01 09:00,1.484,0.012,0.039,0.625
2020-01-01 09:00,2020-01-01 10:00,4.949,0.056,0.083,1.338
2020-01-01 10:00,2020-01-01 11:00,12.551,0.235,0.099,2.308
2020-01-01 11:00,2020-01-01 12:00,18.864,0.434,0.075,3.085
2020-01-01 12:00,2020-01-01 13:00,18.103,0.427,0.061,3.403
2020-01-01 13:00,2020-01-01 14:00,12.791,0.292,0.049,3.002
2020-01-01 14:00,2020-01-01 15:00,3.923,0.090,0.023,0.654
2020-01-01 15:00,2020-01-01 16:00,0,0,0,-1.177
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.851
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-2.043
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.959
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.798
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.707
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.692
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.740
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.825
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.938
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.022
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.994
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-1.902
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-1.820
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-1.800
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-1.773
2020-01-02 07:00,2020-01-02 08:00,3.917,0.099,0.013,-1.214
2020-01-02 08:00,2020-01-02 09:00,13.894,0.330,0.037,0.817
2020-01-02 09:00,2020-01-02 10:00,20.030,0.495,0.044,2.084
2020-01-02 10:00,2020-01-02 11:00,22.837,0.579,0.048,3.149
2020-01-02 11:00,2020-01-02 12:00,22.788,0.579,0.049,3.917
2020-01-02 12:00,2020-01-02 13:00,19.967,0.496,0.047,3.925
2020-01-02 13:00,2020-01-02 14:00,13.915,0.329,0.042,2.576
2020-01-02 14:00,2020-01-02 15:00,4.360,0.103,0.021,0.241
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-1.080
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-1.256
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-1.539
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-1.668
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-1.681
2020-01-02 20:00,2020-01-02 21:00,0,0,0,-1.639
2020-01-02 21:00,2020-01-02 22:00,0,0,0,-1.652
2020-01-02 22:00,2020-01-02 23:00,0,0,0,-1.487
2020-01-02 23:00,2020-01-03 00:00,0,0,0,-1.146
