# Renewables.ninja Solar PV (Point API) - 51.225, 6.776 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.2254018", "lon": "6.7763137", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "16.89", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-1.248
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-1.633
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-1.804
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-1.773
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.759
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.782
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.814
2020-01-01 07:00,2020-01-01 08:00,0,0.003,0.002,-1.863
2020-01-01 08:00,2020-01-01 09:00,1.549,0.072,0.036,-1.083
2020-01-01 09:00,2020-01-01 10:00,5.139,0.267,0.061,0.159
2020-01-01 10:00,2020-01-01 11:00,8.062,0.464,0.059,1.516
2020-01-01 11:00,2020-01-01 12:00,8.803,0.520,0.059,2.669
2020-01-01 12:00,2020-01-01 13:00,8.186,0.479,0.058,3.375
2020-01-01 13:00,2020-01-01 14:00,6.268,0.353,0.053,3.413
2020-01-01 14:00,2020-01-01 15:00,3.007,0.160,0.038,1.546
2020-01-01 15:00,2020-01-01 16:00,0.062,0.008,0.004,-0.795
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.383
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.507
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.474
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.567
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.837
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.900
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.706
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.691
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.971
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.117
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.185
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.355
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.415
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.363
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.178
2020-01-02 07:00,2020-01-02 08:00,0,0.001,0.002,-1.962
2020-01-02 08:00,2020-01-02 09:00,0.859,0.029,0.036,-1.159
2020-01-02 09:00,2020-01-02 10:00,2.170,0.068,0.078,0.009
2020-01-02 10:00,2020-01-02 11:00,2.544,0.069,0.100,1.307
2020-01-02 11:00,2020-01-02 12:00,2.833,0.076,0.111,2.427
2020-01-02 12:00,2020-01-02 13:00,1.897,0.038,0.093,3.070
2020-01-02 13:00,2020-01-02 14:00,1.258,0.024,0.068,3.257
2020-01-02 14:00,2020-01-02 15:00,0.545,0.013,0.034,2.860
2020-01-02 15:00,2020-01-02 16:00,0,0.001,0.003,2.109
2020-01-02 16:00,2020-01-02 17:00,0,0,0,1.802
2020-01-02 17:00,2020-01-02 18:00,0,0,0,1.574
2020-01-02 18:00,2020-01-02 19:00,0,0,0,1.661
2020-01-02 19:00,2020-01-02 20:00,0,0,0,1.686
2020-01-02 20:00,2020-01-02 21:00,0,0,0,1.573
2020-01-02 21:00,2020-01-02 22:00,0,0,0,1.499
2020-01-02 22:00,2020-01-02 23:00,0,0,0,1.806
2020-01-02 23:00,2020-01-03 00:00,0,0,0,2.357
2020-01-03 00:00,2020-01-03 01:00,0,0,0,3.271
2020-01-03 01:00,2020-01-03 02:00,0,0,0,3.913
2020-01-03 02:00,2020-01-03 03:00,0,0,0,3.997
2020-01-03 03:00,2020-01-03 04:00,0,0,0,4.073
2020-01-03 04:00,2020-01-03 05:00,0,0,0,4.267
2020-01-03 05:00,2020-01-03 06:00,0,0,0,4.434
2020-01-03 06:00,2020-01-03 07:00,0,0,0,4.688
2020-01-03 07:00,2020-01-03 08:00,0,0,0.001,4.866
2020-01-03 08:00,2020-01-03 09:00,0.229,0.003,0.022,5.329
2020-01-03 09:00,2020-01-03 10:00,0.640,0.006,0.048,5.956
2020-01-03 10:00,2020-01-03 11:00,0.669,0.004,0.052,6.374
2020-01-03 11:00,2020-01-03 12:00,0.761,0.005,0.057,6.765
2020-01-03 12:00,2020-01-03 13:00,0.814,0.006,0.060,7.246
2020-01-03 13:00,2020-01-03 14:00,0.615,0.005,0.048,7.861
2020-01-03 14:00,2020-01-03 15:00,0.176,0.002,0.020,8.137
2020-01-03 15:00,2020-01-03 16:00,0,0,0.001,8.064
2020-01-03 16:00,2020-01-03 17:00,0,0,0,7.848
2020-01-03 17:00,2020-01-03 18:00,0,0,0,7.262
2020-01-03 18:00,2020-01-03 19:00,0,0,0,6.057
2020-01-03 19:00,2020-01-03 20:00,0,0,0,4.599
2020-01-03 20:00,2020-01-03 21:00,0,0,0,3.792
2020-01-03 21:00,2020-01-03 22:00,0,0,0,3.340
2020-01-03 22:00,2020-01-03 23:00,0,0,0,3.186
2020-01-03 23:00,2020-01-04 00:00,0,0,0,2.772
2020-01-04 00:00,2020-01-04 01:00,0,0,0,2.541
2020-01-04 01:00,2020-01-04 02:00,0,0,0,2.384
2020-01-04 02:00,2020-01-04 03:00,0,0,0,2.231
2020-01-04 03:00,2020-01-04 04:00,0,0,0,1.947
2020-01-04 04:00,2020-01-04 05:00,0,0,0,1.452
2020-01-04 05:00,2020-01-04 06:00,0,0,0,1.086
2020-01-04 06:00,2020-01-04 07:00,0,0,0,1.110
2020-01-04 07:00,2020-01-04 08:00,0,0.001,0.002,1.227
2020-01-04 08:00,2020-01-04 09:00,0.274,0.005,0.023,1.928
2020-01-04 09:00,2020-01-04 10:00,0.714,0.008,0.050,2.724
2020-01-04 10:00,2020-01-04 11:00,1.409,0.019,0.082,3.592
2020-01-04 11:00,2020-01-04 12:00,2.140,0.041,0.106,4.580
2020-01-04 12:00,2020-01-04 13:00,2.274,0.051,0.105,5.438
2020-01-04 13:00,2020-01-04 14:00,1.193,0.020,0.069,5.914
2020-01-04 14:00,2020-01-04 15:00,0.284,0.004,0.025,5.897
2020-01-04 15:00,2020-01-04 16:00,0,0,0.001,5.591
2020-01-04 16:00,2020-01-04 17:00,0,0,0,5.364
2020-01-04 17:00,2020-01-04 18:00,0,0,0,5.307
2020-01-04 18:00,2020-01-04 19:00,0,0,0,5.232
2020-01-04 19:00,2020-01-04 20:00,0,0,0,5.151
2020-01-04 20:00,2020-01-04 21:00,0,0,0,5.044
2020-01-04 21:00,2020-01-04 22:00,0,0,0,4.874
2020-01-04 22:00,2020-01-04 23:00,0,0,0,4.774
2020-01-04 23:00,2020-01-05 00:00,0,0,0,4.676
2020-01-05 00:00,2020-01-05 01:00,0,0,0,4.537
