# Renewables.ninja Solar PV (Point API) - 50.978, 11.029 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "50.9777974", "lon": "11.0287364", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "48.24", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-0.507
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-0.769
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-0.986
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-1.115
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.235
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.406
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.940
2020-01-01 07:00,2020-01-01 08:00,1.155,0.028,0.008,-2.466
2020-01-01 08:00,2020-01-01 09:00,11.897,0.225,0.041,-0.953
2020-01-01 09:00,2020-01-01 10:00,21.292,0.430,0.049,0.564
2020-01-01 10:00,2020-01-01 11:00,25.746,0.539,0.052,1.767
2020-01-01 11:00,2020-01-01 12:00,26.569,0.562,0.052,2.660
2020-01-01 12:00,2020-01-01 13:00,24.088,0.503,0.050,2.960
2020-01-01 13:00,2020-01-01 14:00,17.933,0.360,0.044,2.228
2020-01-01 14:00,2020-01-01 15:00,7.426,0.144,0.027,-0.138
2020-01-01 15:00,2020-01-01 16:00,0,0.001,0,-1.941
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.957
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.969
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.990
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.961
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.992
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-2.139
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-2.407
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-2.709
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.965
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-3.156
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-3.292
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-3.382
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-3.431
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-3.478
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-3.558
2020-01-02 07:00,2020-01-02 08:00,1.561,0.037,0.009,-3.560
2020-01-02 08:00,2020-01-02 09:00,12.559,0.237,0.040,-2.578
2020-01-02 09:00,2020-01-02 10:00,21.504,0.429,0.050,-1.286
2020-01-02 10:00,2020-01-02 11:00,25.532,0.526,0.054,0.176
2020-01-02 11:00,2020-01-02 12:00,25.989,0.538,0.056,1.055
2020-01-02 12:00,2020-01-02 13:00,23.007,0.467,0.055,1.391
2020-01-02 13:00,2020-01-02 14:00,16.268,0.314,0.050,1.089
2020-01-02 14:00,2020-01-02 15:00,5.833,0.108,0.030,-0.146
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-1.438
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-1.603
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-1.581
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-1.347
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-0.858
2020-01-02 20:00,2020-01-02 21:00,0,0,0,-0.363
2020-01-02 21:00,2020-01-02 22:00,0,0,0,-0.087
2020-01-02 22:00,2020-01-02 23:00,0,0,0,-0.053
2020-01-02 23:00,2020-01-03 00:00,0,0,0,-0.146
2020-01-03 00:00,2020-01-03 01:00,0,0,0,-0.154
2020-01-03 01:00,2020-01-03 02:00,0,0,0,-0.242
2020-01-03 02:00,2020-01-03 03:00,0,0,0,-0.390
2020-01-03 03:00,2020-01-03 04:00,0,0,0,-0.160
2020-01-03 04:00,2020-01-03 05:00,0,0,0,0.369
2020-01-03 05:00,2020-01-03 06:00,0,0,0,0.703
2020-01-03 06:00,2020-01-03 07:00,0,0,0,0.945
2020-01-03 07:00,2020-01-03 08:00,0,0.001,0.004,1.247
2020-01-03 08:00,2020-01-03 09:00,0.797,0.003,0.026,1.939
2020-01-03 09:00,2020-01-03 10:00,2.312,0.007,0.057,2.633
2020-01-03 10:00,2020-01-03 11:00,3.444,0.011,0.078,3.262
2020-01-03 11:00,2020-01-03 12:00,3.025,0.008,0.072,3.532
2020-01-03 12:00,2020-01-03 13:00,1.900,0.004,0.051,3.526
2020-01-03 13:00,2020-01-03 14:00,1.080,0.002,0.033,3.351
2020-01-03 14:00,2020-01-03 15:00,0.191,0.001,0.011,3.070
2020-01-03 15:00,2020-01-03 16:00,0,0,0,2.941
2020-01-03 16:00,2020-01-03 17:00,0,0,0,2.985
2020-01-03 17:00,2020-01-03 18:00,0,0,0,3.330
2020-01-03 18:00,2020-01-03 19:00,0,0,0,3.586
2020-01-03 19:00,2020-01-03 20:00,0,0,0,3.840
2020-01-03 20:00,2020-01-03 21:00,0,0,0,4.020
2020-01-03 21:00,2020-01-03 22:00,0,0,0,3.947
2020-01-03 22:00,2020-01-03 23:00,0,0,0,3.463
2020-01-03 23:00,2020-01-04 00:00,0,0,0,1.830
2020-01-04 00:00,2020-01-04 01:00,0,0,0,0.460
2020-01-04 01:00,2020-01-04 02:00,0,0,0,0.219
2020-01-04 02:00,2020-01-04 03:00,0,0,0,0.259
2020-01-04 03:00,2020-01-04 04:00,0,0,0,0.159
2020-01-04 04:00,2020-01-04 05:00,0,0,0,0.178
2020-01-04 05:00,2020-01-04 06:00,0,0,0,0.214
2020-01-04 06:00,2020-01-04 07:00,0,0,0,0.311
2020-01-04 07:00,2020-01-04 08:00,0.023,0.001,0.005,0.514
2020-01-04 08:00,2020-01-04 09:00,0.894,0.003,0.028,1.259
2020-01-04 09:00,2020-01-04 10:00,1.728,0.004,0.047,1.868
2020-01-04 10:00,2020-01-04 11:00,1.605,0.003,0.045,2.223
2020-01-04 11:00,2020-01-04 12:00,1.605,0.002,0.045,2.533
2020-01-04 12:00,2020-01-04 13:00,2.160,0.005,0.056,2.951
2020-01-04 13:00,2020-01-04 14:00,1.280,0.003,0.037,3.171
2020-01-04 14:00,2020-01-04 15:00,0.182,0.001,0.011,3.115
2020-01-04 15:00,2020-01-04 16:00,0,0,0,2.902
2020-01-04 16:00,2020-01-04 17:00,0,0,0,2.741
2020-01-04 17:00,2020-01-04 18:00,0,0,0,2.697
2020-01-04 18:00,2020-01-04 19:00,0,0,0,2.690
2020-01-04 19:00,2020-01-04 20:00,0,0,0,2.432
2020-01-04 20:00,2020-01-04 21:00,0,0,0,1.896
2020-01-04 21:00,2020-01-04 22:00,0,0,0,0.773
2020-01-04 22:00,2020-01-04 23:00,0,0,0,-0.396
2020-01-04 23:00,2020-01-05 00:00,0,0,0,-1.218
