# Renewables.ninja Solar PV (Point API) - 53.550, 10.001 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "53.550341", "lon": "10.000654", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "11.61", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,0.158
2020-01-01 01:00,2020-01-01 02:00,0,0,0,0.565
2020-01-01 02:00,2020-01-01 03:00,0,0,0,0.851
2020-01-01 03:00,2020-01-01 04:00,0,0,0,1.113
2020-01-01 04:00,2020-01-01 05:00,0,0,0,1.063
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.835
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.487
2020-01-01 07:00,2020-01-01 08:00,0,0,0.001,0.142
2020-01-01 08:00,2020-01-01 09:00,0.136,0.004,0.019,-0.167
2020-01-01 09:00,2020-01-01 10:00,0.510,0.011,0.048,0.037
2020-01-01 10:00,2020-01-01 11:00,0.925,0.022,0.074,0.643
2020-01-01 11:00,2020-01-01 12:00,1.016,0.025,0.080,1.073
2020-01-01 12:00,2020-01-01 13:00,0.972,0.027,0.074,1.326
2020-01-01 13:00,2020-01-01 14:00,0.674,0.022,0.052,1.385
2020-01-01 14:00,2020-01-01 15:00,0.174,0.009,0.017,0.633
2020-01-01 15:00,2020-01-01 16:00,0,0,0,-0.281
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-0.721
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.174
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.320
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.172
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.318
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.527
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.742
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.878
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.920
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.860
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.784
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-1.680
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-1.566
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-1.518
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-1.489
2020-01-02 07:00,2020-01-02 08:00,0,0,0.001,-1.501
2020-01-02 08:00,2020-01-02 09:00,0.246,0.009,0.025,-1.431
2020-01-02 09:00,2020-01-02 10:00,0.804,0.026,0.059,-1.368
