# Renewables.ninja Solar PV (Point API) - 52.374, 9.739 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.3744779", "lon": "9.7385532", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "23.07", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,1.723
2020-01-01 01:00,2020-01-01 02:00,0,0,0,1.534
2020-01-01 02:00,2020-01-01 03:00,0,0,0,1.434
2020-01-01 03:00,2020-01-01 04:00,0,0,0,1.263
2020-01-01 04:00,2020-01-01 05:00,0,0,0,0.757
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.504
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-0.028
2020-01-01 07:00,2020-01-01 08:00,0.011,0.003,0.003,-0.593
2020-01-01 08:00,2020-01-01 09:00,2.592,0.091,0.039,0.100
2020-01-01 09:00,2020-01-01 10:00,6.966,0.266,0.060,1.266
2020-01-01 10:00,2020-01-01 11:00,10.604,0.446,0.059,2.313
2020-01-01 11:00,2020-01-01 12:00,11.565,0.501,0.056,3.450
2020-01-01 12:00,2020-01-01 13:00,10.521,0.452,0.053,4.073
2020-01-01 13:00,2020-01-01 14:00,7.638,0.316,0.047,3.655
2020-01-01 14:00,2020-01-01 15:00,2.856,0.115,0.026,1.189
2020-01-01 15:00,2020-01-01 16:00,0,0,0,-0.868
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.245
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.401
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.548
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.786
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.929
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-2.065
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-2.194
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-2.421
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.558
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.554
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.524
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.427
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.324
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.243
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.208
2020-01-02 07:00,2020-01-02 08:00,0.017,0.003,0.003,-2.266
2020-01-02 08:00,2020-01-02 09:00,1.792,0.055,0.038,-1.492
2020-01-02 09:00,2020-01-02 10:00,7.391,0.282,0.061,-0.514
2020-01-02 10:00,2020-01-02 11:00,10.289,0.421,0.063,0.602
