# Renewables.ninja Solar PV (Point API) - 54.323, 10.136 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "54.3227085", "lon": "10.135555", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "31.98", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,1.663
2020-01-01 01:00,2020-01-01 02:00,0,0,0,2.208
2020-01-01 02:00,2020-01-01 03:00,0,0,0,2.689
2020-01-01 03:00,2020-01-01 04:00,0,0,0,3.010
2020-01-01 04:00,2020-01-01 05:00,0,0,0,3.154
2020-01-01 05:00,2020-01-01 06:00,0,0,0,3.146
2020-01-01 06:00,2020-01-01 07:00,0,0,0,2.997
2020-01-01 07:00,2020-01-01 08:00,0,0,0.001,2.768
2020-01-01 08:00,2020-01-01 09:00,0.787,0.014,0.025,2.704
2020-01-01 09:00,2020-01-01 10:00,4.364,0.088,0.069,2.831
2020-01-01 10:00,2020-01-01 11:00,9.693,0.246,0.085,3.074
2020-01-01 11:00,2020-01-01 12:00,9.724,0.242,0.090,3.227
2020-01-01 12:00,2020-01-01 13:00,6.361,0.136,0.085,3.030
2020-01-01 13:00,2020-01-01 14:00,3.195,0.061,0.058,2.604
2020-01-01 14:00,2020-01-01 15:00,0.352,0.009,0.014,2.035
2020-01-01 15:00,2020-01-01 16:00,0,0,0,1.424
2020-01-01 16:00,2020-01-01 17:00,0,0,0,1.003
2020-01-01 17:00,2020-01-01 18:00,0,0,0,0.570
2020-01-01 18:00,2020-01-01 19:00,0,0,0,0.191
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-0.086
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-0.303
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-0.317
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-0.248
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-0.214
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-0.211
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-0.214
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-0.354
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-0.508
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-0.646
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-0.707
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-0.711
2020-01-02 07:00,2020-01-02 08:00,0,0,0.001,-0.705
2020-01-02 08:00,2020-01-02 09:00,0.464,0.006,0.021,-0.666
2020-01-02 09:00,2020-01-02 10:00,1.589,0.014,0.052,-0.608
2020-01-02 10:00,2020-01-02 11:00,2.569,0.023,0.075,-0.287
2020-01-02 11:00,2020-01-02 12:00,3.020,0.029,0.083,0.070
2020-01-02 12:00,2020-01-02 13:00,3.985,0.056,0.087,0.377
2020-01-02 13:00,2020-01-02 14:00,1.716,0.020,0.050,0.315
2020-01-02 14:00,2020-01-02 15:00,0.218,0.004,0.012,0.031
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-0.209
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-0.251
