# Renewables.ninja Solar PV (Point API) - 52.132, 11.640 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.1315889", "lon": "11.6399609", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "73.6", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,1.415
2020-01-01 01:00,2020-01-01 02:00,0,0,0,1.554
2020-01-01 02:00,2020-01-01 03:00,0,0,0,1.685
2020-01-01 03:00,2020-01-01 04:00,0,0,0,1.638
2020-01-01 04:00,2020-01-01 05:00,0,0,0,1.266
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.883
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.641
2020-01-01 07:00,2020-01-01 08:00,0.125,0.003,0.005,0.220
2020-01-01 08:00,2020-01-01 09:00,4.853,0.039,0.043,1.186
2020-01-01 09:00,2020-01-01 10:00,12.041,0.105,0.078,1.914
2020-01-01 10:00,2020-01-01 11:00,21.265,0.224,0.091,2.629
2020-01-01 11:00,2020-01-01 12:00,27.217,0.321,0.083,3.377
2020-01-01 12:00,2020-01-01 13:00,27.800,0.346,0.068,3.900
2020-01-01 13:00,2020-01-01 14:00,20.894,0.259,0.052,3.570
2020-01-01 14:00,2020-01-01 15:00,6.728,0.085,0.024,1.142
2020-01-01 15:00,2020-01-01 16:00,0,0,0,-0.760
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.283
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.698
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.988
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-2.121
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-2.237
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-2.442
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-2.665
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-2.816
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.895
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.970
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.978
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.902
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.743
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.655
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.581
2020-01-02 07:00,2020-01-02 08:00,1.442,0.025,0.007,-2.422
2020-01-02 08:00,2020-01-02 09:00,17.922,0.224,0.038,-0.680
2020-01-02 09:00,2020-01-02 10:00,30.816,0.405,0.049,0.781
2020-01-02 10:00,2020-01-02 11:00,36.845,0.499,0.054,2.157
2020-01-02 11:00,2020-01-02 12:00,37.416,0.510,0.055,3.281
2020-01-02 12:00,2020-01-02 13:00,32.739,0.437,0.054,3.685
2020-01-02 13:00,2020-01-02 14:00,22.270,0.282,0.047,2.584
2020-01-02 14:00,2020-01-02 15:00,6.491,0.081,0.023,0.086
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-1.405
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-1.454
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-1.507
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-1.429
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-1.119
2020-01-02 20:00,2020-01-02 21:00,0,0,0,-0.513
2020-01-02 21:00,2020-01-02 22:00,0,0,0,0.336
2020-01-02 22:00,2020-01-02 23:00,0,0,0,0.758
2020-01-02 23:00,2020-01-03 00:00,0,0,0,0.356
2020-01-03 00:00,2020-01-03 01:00,0,0,0,0.218
2020-01-03 01:00,2020-01-03 02:00,0,0,0,0.210
