# Renewables.ninja Solar PV (Point API) - 50.001, 8.276 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "50.0012314", "lon": "8.2762513", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "19.48", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-0.981
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-0.977
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-1.039
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-1.008
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.082
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.148
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.183
2020-01-01 07:00,2020-01-01 08:00,0.105,0.008,0.006,-1.079
2020-01-01 08:00,2020-01-01 09:00,2.459,0.097,0.046,-0.025
2020-01-01 09:00,2020-01-01 10:00,5.685,0.243,0.072,0.895
2020-01-01 10:00,2020-01-01 11:00,8.906,0.429,0.071,1.732
2020-01-01 11:00,2020-01-01 12:00,10.232,0.518,0.065,2.340
2020-01-01 12:00,2020-01-01 13:00,9.781,0.496,0.060,2.630
2020-01-01 13:00,2020-01-01 14:00,7.653,0.375,0.053,2.369
2020-01-01 14:00,2020-01-01 15:00,3.769,0.174,0.038,0.734
2020-01-01 15:00,2020-01-01 16:00,0.087,0.009,0.004,-0.855
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.348
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.525
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.605
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.580
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.397
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.381
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.555
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.787
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.812
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.730
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.843
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-1.952
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.045
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.113
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.165
2020-01-02 07:00,2020-01-02 08:00,0.002,0.001,0.004,-2.213
2020-01-02 08:00,2020-01-02 09:00,0.765,0.014,0.040,-2.029
2020-01-02 09:00,2020-01-02 10:00,1.861,0.031,0.080,-1.514
2020-01-02 10:00,2020-01-02 11:00,2.828,0.053,0.109,-0.649
2020-01-02 11:00,2020-01-02 12:00,3.130,0.060,0.119,0.174
2020-01-02 12:00,2020-01-02 13:00,2.531,0.042,0.106,0.740
2020-01-02 13:00,2020-01-02 14:00,0.951,0.009,0.056,0.842
2020-01-02 14:00,2020-01-02 15:00,0.198,0.002,0.019,0.591
2020-01-02 15:00,2020-01-02 16:00,0,0,0.001,0.383
2020-01-02 16:00,2020-01-02 17:00,0,0,0,0.368
2020-01-02 17:00,2020-01-02 18:00,0,0,0,0.287
2020-01-02 18:00,2020-01-02 19:00,0,0,0,0.373
2020-01-02 19:00,2020-01-02 20:00,0,0,0,0.436
2020-01-02 20:00,2020-01-02 21:00,0,0,0,0.372
2020-01-02 21:00,2020-01-02 22:00,0,0,0,0.306
2020-01-02 22:00,2020-01-02 23:00,0,0,0,0.450
2020-01-02 23:00,2020-01-03 00:00,0,0,0,0.420
2020-01-03 00:00,2020-01-03 01:00,0,0,0,0.625
2020-01-03 01:00,2020-01-03 02:00,0,0,0,0.899
2020-01-03 02:00,2020-01-03 03:00,0,0,0,1.071
2020-01-03 03:00,2020-01-03 04:00,0,0,0,1.480
2020-01-03 04:00,2020-01-03 05:00,0,0,0,1.672
2020-01-03 05:00,2020-01-03 06:00,0,0,0,1.766
2020-01-03 06:00,2020-01-03 07:00,0,0,0,1.614
2020-01-03 07:00,2020-01-03 08:00,0,0,0.003,1.482
2020-01-03 08:00,2020-01-03 09:00,0.287,0.003,0.024,1.769
2020-01-03 09:00,2020-01-03 10:00,0.529,0.003,0.038,2.139
2020-01-03 10:00,2020-01-03 11:00,0.588,0.002,0.042,2.599
2020-01-03 11:00,2020-01-03 12:00,0.848,0.004,0.056,2.977
2020-01-03 12:00,2020-01-03 13:00,1.196,0.007,0.071,3.638
2020-01-03 13:00,2020-01-03 14:00,0.664,0.004,0.045,3.966
2020-01-03 14:00,2020-01-03 15:00,0.388,0.004,0.029,4.065
2020-01-03 15:00,2020-01-03 16:00,0,0.001,0.003,3.812
2020-01-03 16:00,2020-01-03 17:00,0,0,0,3.534
2020-01-03 17:00,2020-01-03 18:00,0,0,0,3.578
2020-01-03 18:00,2020-01-03 19:00,0,0,0,3.916
2020-01-03 19:00,2020-01-03 20:00,0,0,0,4.174
2020-01-03 20:00,2020-01-03 21:00,0,0,0,4.060
2020-01-03 21:00,2020-01-03 22:00,0,0,0,3.857
2020-01-03 22:00,2020-01-03 23:00,0,0,0,2.526
2020-01-03 23:00,2020-01-04 00:00,0,0,0,1.308
2020-01-04 00:00,2020-01-04 01:00,0,0,0,1.051
2020-01-04 01:00,2020-01-04 02:00,0,0,0,0.772
2020-01-04 02:00,2020-01-04 03:00,0,0,0,0.691
2020-01-04 03:00,2020-01-04 04:00,0,0,0,0.495
2020-01-04 04:00,2020-01-04 05:00,0,0,0,0.251
2020-01-04 05:00,2020-01-04 06:00,0,0,0,-0.005
2020-01-04 06:00,2020-01-04 07:00,0,0,0,-0.326
2020-01-04 07:00,2020-01-04 08:00,0.006,0.001,0.004,-0.572
2020-01-04 08:00,2020-01-04 09:00,0.802,0.015,0.041,0.187
2020-01-04 09:00,2020-01-04 10:00,1.974,0.036,0.083,1.263
