# Renewables.ninja Solar PV (Point API) - 48.137, 11.575 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "48.1371079", "lon": "11.5753822", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "21.93", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-1.007
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-1.249
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-1.138
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-0.987
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.331
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.607
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.681
2020-01-01 07:00,2020-01-01 08:00,2.023,0.091,0.018,-1.450
2020-01-01 08:00,2020-01-01 09:00,7.360,0.316,0.045,0.058
2020-01-01 09:00,2020-01-01 10:00,11.160,0.511,0.050,1.736
2020-01-01 10:00,2020-01-01 11:00,12.912,0.610,0.053,3.033
2020-01-01 11:00,2020-01-01 12:00,13.162,0.627,0.053,3.793
2020-01-01 12:00,2020-01-01 13:00,12.024,0.564,0.051,3.869
2020-01-01 13:00,2020-01-01 14:00,9.295,0.418,0.047,3.090
2020-01-01 14:00,2020-01-01 15:00,4.610,0.196,0.034,0.795
2020-01-01 15:00,2020-01-01 16:00,0.049,0.006,0.003,-1.458
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.707
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.521
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.289
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-0.970
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-0.701
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-0.612
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-0.607
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-0.816
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.139
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.630
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.282
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-3.034
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-3.529
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-3.782
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-4.037
2020-01-02 07:00,2020-01-02 08:00,2.524,0.112,0.018,-3.695
2020-01-02 08:00,2020-01-02 09:00,7.516,0.321,0.045,-1.356
2020-01-02 09:00,2020-01-02 10:00,10.883,0.489,0.054,0.672
2020-01-02 10:00,2020-01-02 11:00,12.354,0.568,0.059,2.066
2020-01-02 11:00,2020-01-02 12:00,12.716,0.592,0.059,2.983
2020-01-02 12:00,2020-01-02 13:00,11.693,0.539,0.056,3.204
2020-01-02 13:00,2020-01-02 14:00,8.851,0.390,0.052,2.721
2020-01-02 14:00,2020-01-02 15:00,3.933,0.161,0.038,1.416
2020-01-02 15:00,2020-01-02 16:00,0.022,0.004,0.003,0.353
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-0.428
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-1.131
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-1.605
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-1.959
2020-01-02 20:00,2020-01-02 21:00,0,0,0,-2.088
2020-01-02 21:00,2020-01-02 22:00,0,0,0,-2.029
2020-01-02 22:00,2020-01-02 23:00,0,0,0,-1.957
2020-01-02 23:00,2020-01-03 00:00,0,0,0,-1.959
2020-01-03 00:00,2020-01-03 01:00,0,0,0,-2.088
2020-01-03 01:00,2020-01-03 02:00,0,0,0,-2.168
2020-01-03 02:00,2020-01-03 03:00,0,0,0,-2.085
2020-01-03 03:00,2020-01-03 04:00,0,0,0,-1.853
2020-01-03 04:00,2020-01-03 05:00,0,0,0,-1.491
2020-01-03 05:00,2020-01-03 06:00,0,0,0,-1.220
2020-01-03 06:00,2020-01-03 07:00,0,0,0,-1.287
2020-01-03 07:00,2020-01-03 08:00,0.459,0.015,0.018,-0.761
2020-01-03 08:00,2020-01-03 09:00,1.931,0.039,0.066,0.991
2020-01-03 09:00,2020-01-03 10:00,3.828,0.085,0.110,2.718
2020-01-03 10:00,2020-01-03 11:00,3.869,0.071,0.127,3.638
2020-01-03 11:00,2020-01-03 12:00,2.861,0.036,0.115,3.895
2020-01-03 12:00,2020-01-03 13:00,2.449,0.029,0.102,3.919
2020-01-03 13:00,2020-01-03 14:00,1.530,0.017,0.070,3.319
2020-01-03 14:00,2020-01-03 15:00,0.443,0.005,0.028,2.465
2020-01-03 15:00,2020-01-03 16:00,0,0,0.002,2.061
2020-01-03 16:00,2020-01-03 17:00,0,0,0,1.934
2020-01-03 17:00,2020-01-03 18:00,0,0,0,1.897
2020-01-03 18:00,2020-01-03 19:00,0,0,0,2.128
2020-01-03 19:00,2020-01-03 20:00,0,0,0,2.379
2020-01-03 20:00,2020-01-03 21:00,0,0,0,2.498
2020-01-03 21:00,2020-01-03 22:00,0,0,0,2.289
2020-01-03 22:00,2020-01-03 23:00,0,0,0,2.219
2020-01-03 23:00,2020-01-04 00:00,0,0,0,2.490
2020-01-04 00:00,2020-01-04 01:00,0,0,0,2.569
2020-01-04 01:00,2020-01-04 02:00,0,0,0,2.721
2020-01-04 02:00,2020-01-04 03:00,0,0,0,2.781
2020-01-04 03:00,2020-01-04 04:00,0,0,0,2.614
2020-01-04 04:00,2020-01-04 05:00,0,0,0,2.195
2020-01-04 05:00,2020-01-04 06:00,0,0,0,1.758
2020-01-04 06:00,2020-01-04 07:00,0,0,0,1.466
2020-01-04 07:00,2020-01-04 08:00,0.018,0.001,0.006,1.244
2020-01-04 08:00,2020-01-04 09:00,0.390,0.002,0.028,1.353
2020-01-04 09:00,2020-01-04 10:00,1.177,0.006,0.063,1.636
2020-01-04 10:00,2020-01-04 11:00,1.918,0.013,0.092,2.043
2020-01-04 11:00,2020-01-04 12:00,2.471,0.021,0.110,2.420
2020-01-04 12:00,2020-01-04 13:00,2.463,0.025,0.106,2.620
2020-01-04 13:00,2020-01-04 14:00,1.058,0.007,0.057,2.302
2020-01-04 14:00,2020-01-04 15:00,0.246,0.002,0.020,1.696
2020-01-04 15:00,2020-01-04 16:00,0,0,0.001,1.163
2020-01-04 16:00,2020-01-04 17:00,0,0,0,0.994
2020-01-04 17:00,2020-01-04 18:00,0,0,0,0.932
2020-01-04 18:00,2020-01-04 19:00,0,0,0,0.836
2020-01-04 19:00,2020-01-04 20:00,0,0,0,0.744
2020-01-04 20:00,2020-01-04 21:00,0,0,0,0.606
2020-01-04 21:00,2020-01-04 22:00,0,0,0,0.390
2020-01-04 22:00,2020-01-04 23:00,0,0,0,0.228
2020-01-04 23:00,2020-01-05 00:00,0,0,0,0.201
2020-01-05 00:00,2020-01-05 01:00,0,0,0,0.168
2020-01-05 01:00,2020-01-05 02:00,0,0,0,0.102
2020-01-05 02:00,2020-01-05 03:00,0,0,0,0.028
2020-01-05 03:00,2020-01-05 04:00,0,0,0,-0.043
2020-01-05 04:00,2020-01-05 05:00,0,0,0,-0.125
2020-01-05 05:00,2020-01-05 06:00,0,0,0,-0.303
2020-01-05 06:00,2020-01-05 07:00,0,0,0,-0.489
2020-01-05 07:00,2020-01-05 08:00,0.108,0.003,0.011,-0.496
2020-01-05 08:00,2020-01-05 09:00,0.963,0.010,0.048,0.146
2020-01-05 09:00,2020-01-05 10:00,2.251,0.029,0.091,0.889
2020-01-05 10:00,2020-01-05 11:00,4.349,0.089,0.130,1.811
2020-01-05 11:00,2020-01-05 12:00,5.309,0.129,0.135,2.408
2020-01-05 12:00,2020-01-05 13:00,5.298,0.142,0.123,2.622
2020-01-05 13:00,2020-01-05 14:00,3.292,0.078,0.092,2.377
2020-01-05 14:00,2020-01-05 15:00,1.205,0.027,0.043,1.008
