# Renewables.ninja Solar PV (Point API) - 52.401, 13.059 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.4009309", "lon": "13.0591397", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "79.03", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,0.791
2020-01-01 01:00,2020-01-01 02:00,0,0,0,0.769
2020-01-01 02:00,2020-01-01 03:00,0,0,0,0.787
2020-01-01 03:00,2020-01-01 04:00,0,0,0,0.857
2020-01-01 04:00,2020-01-01 05:00,0,0,0,0.784
2020-01-01 05:00,2020-01-01 06:00,0,0,0,0.673
2020-01-01 06:00,2020-01-01 07:00,0,0,0,0.589
2020-01-01 07:00,2020-01-01 08:00,0.031,0.001,0.004,0.652
2020-01-01 08:00,2020-01-01 09:00,2.046,0.008,0.032,1.166
2020-01-01 09:00,2020-01-01 10:00,5.004,0.017,0.063,1.408
2020-01-01 10:00,2020-01-01 11:00,7.634,0.029,0.086,1.876
2020-01-01 11:00,2020-01-01 12:00,8.938,0.039,0.093,2.445
2020-01-01 12:00,2020-01-01 13:00,9.200,0.049,0.086,2.909
2020-01-01 13:00,2020-01-01 14:00,5.955,0.036,0.057,2.889
2020-01-01 14:00,2020-01-01 15:00,1.228,0.012,0.016,1.958
2020-01-01 15:00,2020-01-01 16:00,0,0,0,1.098
2020-01-01 16:00,2020-01-01 17:00,0,0,0,0.357
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-0.912
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.667
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-2.064
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-2.089
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.842
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.845
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.722
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.089
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.208
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.365
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.685
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.790
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.916
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-3.028
2020-01-02 07:00,2020-01-02 08:00,1.401,0.021,0.008,-2.983
2020-01-02 08:00,2020-01-02 09:00,16.347,0.180,0.043,-1.974
2020-01-02 09:00,2020-01-02 10:00,33.749,0.410,0.050,-0.514
2020-01-02 10:00,2020-01-02 11:00,40.004,0.503,0.053,1.281
2020-01-02 11:00,2020-01-02 12:00,40.175,0.509,0.054,2.727
2020-01-02 12:00,2020-01-02 13:00,34.661,0.431,0.052,3.380
