# Renewables.ninja Solar PV (Point API) - 49.247, 6.997 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "49.247108100000005", "lon": "6.997495426501035", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "19.18", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-0.283
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-0.147
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-0.031
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-0.122
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-0.250
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-0.498
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-0.723
2020-01-01 07:00,2020-01-01 08:00,0.028,0.003,0.005,-0.873
2020-01-01 08:00,2020-01-01 09:00,1.250,0.037,0.044,-0.314
2020-01-01 09:00,2020-01-01 10:00,3.143,0.097,0.085,0.546
2020-01-01 10:00,2020-01-01 11:00,6.275,0.252,0.102,1.438
2020-01-01 11:00,2020-01-01 12:00,7.500,0.325,0.100,2.005
2020-01-01 12:00,2020-01-01 13:00,7.475,0.333,0.091,2.275
2020-01-01 13:00,2020-01-01 14:00,6.131,0.272,0.076,2.179
2020-01-01 14:00,2020-01-01 15:00,3.366,0.145,0.050,1.119
2020-01-01 15:00,2020-01-01 16:00,0.246,0.016,0.008,-0.525
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.097
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.196
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.156
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.055
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.170
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.365
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.500
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.792
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.039
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.227
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.370
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.469
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.496
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.450
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.325
2020-01-02 07:00,2020-01-02 08:00,0,0.001,0.003,-2.111
2020-01-02 08:00,2020-01-02 09:00,0.463,0.005,0.032,-1.591
2020-01-02 09:00,2020-01-02 10:00,0.933,0.007,0.057,-0.838
2020-01-02 10:00,2020-01-02 11:00,0.889,0.004,0.057,-0.146
2020-01-02 11:00,2020-01-02 12:00,0.937,0.004,0.060,0.376
2020-01-02 12:00,2020-01-02 13:00,0.863,0.004,0.057,0.746
2020-01-02 13:00,2020-01-02 14:00,0.499,0.002,0.037,0.870
2020-01-02 14:00,2020-01-02 15:00,0.157,0.001,0.017,0.678
2020-01-02 15:00,2020-01-02 16:00,0,0,0.002,0.327
2020-01-02 16:00,2020-01-02 17:00,0,0,0,0.256
2020-01-02 17:00,2020-01-02 18:00,0,0,0,0.293
2020-01-02 18:00,2020-01-02 19:00,0,0,0,0.296
2020-01-02 19:00,2020-01-02 20:00,0,0,0,0.272
2020-01-02 20:00,2020-01-02 21:00,0,0,0,0.256
2020-01-02 21:00,2020-01-02 22:00,0,0,0,0.291
2020-01-02 22:00,2020-01-02 23:00,0,0,0,0.463
2020-01-02 23:00,2020-01-03 00:00,0,0,0,0.699
2020-01-03 00:00,2020-01-03 01:00,0,0,0,0.899
2020-01-03 01:00,2020-01-03 02:00,0,0,0,1.296
2020-01-03 02:00,2020-01-03 03:00,0,0,0,1.484
2020-01-03 03:00,2020-01-03 04:00,0,0,0,1.660
2020-01-03 04:00,2020-01-03 05:00,0,0,0,1.550
2020-01-03 05:00,2020-01-03 06:00,0,0,0,1.327
2020-01-03 06:00,2020-01-03 07:00,0,0,0,1.301
2020-01-03 07:00,2020-01-03 08:00,0,0,0.001,1.324
2020-01-03 08:00,2020-01-03 09:00,0.037,0,0.008,1.455
2020-01-03 09:00,2020-01-03 10:00,0.154,0.001,0.017,1.999
2020-01-03 10:00,2020-01-03 11:00,0.349,0.001,0.030,2.469
2020-01-03 11:00,2020-01-03 12:00,0.563,0.002,0.042,3.051
2020-01-03 12:00,2020-01-03 13:00,0.666,0.002,0.048,3.675
2020-01-03 13:00,2020-01-03 14:00,0.308,0.001,0.027,4.032
2020-01-03 14:00,2020-01-03 15:00,0.069,0,0.011,4.261
2020-01-03 15:00,2020-01-03 16:00,0,0,0.003,4.347
2020-01-03 16:00,2020-01-03 17:00,0,0,0,4.380
2020-01-03 17:00,2020-01-03 18:00,0,0,0,4.656
2020-01-03 18:00,2020-01-03 19:00,0,0,0,5.099
2020-01-03 19:00,2020-01-03 20:00,0,0,0,4.688
2020-01-03 20:00,2020-01-03 21:00,0,0,0,4.329
2020-01-03 21:00,2020-01-03 22:00,0,0,0,3.917
2020-01-03 22:00,2020-01-03 23:00,0,0,0,3.310
2020-01-03 23:00,2020-01-04 00:00,0,0,0,2.289
2020-01-04 00:00,2020-01-04 01:00,0,0,0,1.550
2020-01-04 01:00,2020-01-04 02:00,0,0,0,0.890
2020-01-04 02:00,2020-01-04 03:00,0,0,0,0.274
2020-01-04 03:00,2020-01-04 04:00,0,0,0,0.379
2020-01-04 04:00,2020-01-04 05:00,0,0,0,0.322
2020-01-04 05:00,2020-01-04 06:00,0,0,0,0.015
2020-01-04 06:00,2020-01-04 07:00,0,0,0,-0.126
2020-01-04 07:00,2020-01-04 08:00,0.004,0.001,0.004,-0.387
2020-01-04 08:00,2020-01-04 09:00,0.666,0.010,0.039,0.174
2020-01-04 09:00,2020-01-04 10:00,1.318,0.014,0.071,0.721
2020-01-04 10:00,2020-01-04 11:00,1.045,0.006,0.064,1.271
2020-01-04 11:00,2020-01-04 12:00,0.819,0.004,0.054,1.605
2020-01-04 12:00,2020-01-04 13:00,1.659,0.014,0.090,1.966
2020-01-04 13:00,2020-01-04 14:00,1.032,0.008,0.062,1.980
2020-01-04 14:00,2020-01-04 15:00,0.397,0.004,0.030,1.745
2020-01-04 15:00,2020-01-04 16:00,0,0,0.003,1.453
2020-01-04 16:00,2020-01-04 17:00,0,0,0,1.631
2020-01-04 17:00,2020-01-04 18:00,0,0,0,1.955
2020-01-04 18:00,2020-01-04 19:00,0,0,0,2.270
2020-01-04 19:00,2020-01-04 20:00,0,0,0,2.365
2020-01-04 20:00,2020-01-04 21:00,0,0,0,2.172
2020-01-04 21:00,2020-01-04 22:00,0,0,0,1.852
2020-01-04 22:00,2020-01-04 23:00,0,0,0,1.613
2020-01-04 23:00,2020-01-05 00:00,0,0,0,1.424
2020-01-05 00:00,2020-01-05 01:00,0,0,0,1.316
2020-01-05 01:00,2020-01-05 02:00,0,0,0,1.269
2020-01-05 02:00,2020-01-05 03:00,0,0,0,1.128
2020-01-05 03:00,2020-01-05 04:00,0,0,0,0.963
2020-01-05 04:00,2020-01-05 05:00,0,0,0,0.836
2020-01-05 05:00,2020-01-05 06:00,0,0,0,0.682
2020-01-05 06:00,2020-01-05 07:00,0,0,0,0.708
2020-01-05 07:00,2020-01-05 08:00,0,0.001,0.003,0.843
2020-01-05 08:00,2020-01-05 09:00,0.411,0.005,0.029,1.290
2020-01-05 09:00,2020-01-05 10:00,1.102,0.011,0.063,1.775
2020-01-05 10:00,2020-01-05 11:00,1.661,0.017,0.088,2.307
2020-01-05 11:00,2020-01-05 12:00,2.092,0.024,0.103,3.072
2020-01-05 12:00,2020-01-05 13:00,2.372,0.036,0.108,3.793
2020-01-05 13:00,2020-01-05 14:00,2.181,0.042,0.091,4.093
2020-01-05 14:00,2020-01-05 15:00,1.196,0.027,0.052,3.724
2020-01-05 15:00,2020-01-05 16:00,0.089,0.005,0.008,2.477
2020-01-05 16:00,2020-01-05 17:00,0,0,0,1.996
2020-01-05 17:00,2020-01-05 18:00,0,0,0,1.687
2020-01-05 18:00,2020-01-05 19:00,0,0,0,1.424
2020-01-05 19:00,2020-01-05 20:00,0,0,0,1.202
2020-01-05 20:00,2020-01-05 21:00,0,0,0,1.023
2020-01-05 21:00,2020-01-05 22:00,0,0,0,0.775
2020-01-05 22:00,2020-01-05 23:00,0,0,0,0.408
2020-01-05 23:00,2020-01-06 00:00,0,0,0,0.156
2020-01-06 00:00,2020-01-06 01:00,0,0,0,-0.182
2020-01-06 01:00,2020-01-06 02:00,0,0,0,-0.192
2020-01-06 02:00,2020-01-06 03:00,0,0,0,-0.307
2020-01-06 03:00,2020-01-06 04:00,0,0,0,-0.550
2020-01-06 04:00,2020-01-06 05:00,0,0,0,-0.806
2020-01-06 05:00,2020-01-06 06:00,0,0,0,-1.117
2020-01-06 06:00,2020-01-06 07:00,0,0,0,-1.371
2020-01-06 07:00,2020-01-06 08:00,0.045,0.004,0.005,-1.497
2020-01-06 08:00,2020-01-06 09:00,1.261,0.036,0.046,-1.188
2020-01-06 09:00,2020-01-06 10:00,2.915,0.083,0.086,-0.458
2020-01-06 10:00,2020-01-06 11:00,5.625,0.211,0.105,0.786
2020-01-06 11:00,2020-01-06 12:00,9.506,0.464,0.081,1.728
2020-01-06 12:00,2020-01-06 13:00,10.418,0.543,0.062,2.441
2020-01-06 13:00,2020-01-06 14:00,8.420,0.426,0.056,2.669
2020-01-06 14:00,2020-01-06 15:00,4.763,0.226,0.044,1.677
2020-01-06 15:00,2020-01-06 16:00,0.509,0.031,0.009,-1.054
2020-01-06 16:00,2020-01-06 17:00,0,0,0,-1.888
2020-01-06 17:00,2020-01-06 18:00,0,0,0,-1.506
2020-01-06 18:00,2020-01-06 19:00,0,0,0,-1.146
2020-01-06 19:00,2020-01-06 20:00,0,0,0,-0.490
2020-01-06 20:00,2020-01-06 21:00,0,0,0,-0.129
2020-01-06 21:00,2020-01-06 22:00,0,0,0,-0.213
2020-01-06 22:00,2020-01-06 23:00,0,0,0,-0.198
2020-01-06 23:00,2020-01-07 00:00,0,0,0,0.123
2020-01-07 00:00,2020-01-07 01:00,0,0,0,0.529
2020-01-07 01:00,2020-01-07 02:00,0,0,0,0.870
2020-01-07 02:00,2020-01-07 03:00,0,0,0,1.249
2020-01-07 03:00,2020-01-07 04:00,0,0,0,1.352
2020-01-07 04:00,2020-01-07 05:00,0,0,0,1.449
2020-01-07 05:00,2020-01-07 06:00,0,0,0,1.561
2020-01-07 06:00,2020-01-07 07:00,0,0,0,1.655
2020-01-07 07:00,2020-01-07 08:00,0,0,0.002,1.689
2020-01-07 08:00,2020-01-07 09:00,0.167,0.001,0.017,2.102
2020-01-07 09:00,2020-01-07 10:00,0.629,0.004,0.044,2.675
2020-01-07 10:00,2020-01-07 11:00,1.091,0.006,0.067,3.311
2020-01-07 11:00,2020-01-07 12:00,1.665,0.013,0.092,3.908
