# Renewables.ninja Solar PV (Point API) - 53.629, 11.415 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "53.6288297", "lon": "11.4148038", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "100.11", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,1.253
2020-01-01 01:00,2020-01-01 02:00,0,0,0,1.153
2020-01-01 02:00,2020-01-01 03:00,0,0,0,1.075
2020-01-01 03:00,2020-01-01 04:00,0,0,0,1.014
2020-01-01 04:00,2020-01-01 05:00,0,0,0,1.127
2020-01-01 05:00,2020-01-01 06:00,0,0,0,1.392
2020-01-01 06:00,2020-01-01 07:00,0,0,0,1.558
2020-01-01 07:00,2020-01-01 08:00,0,0,0.001,1.442
2020-01-01 08:00,2020-01-01 09:00,0.969,0.003,0.017,1.205
2020-01-01 09:00,2020-01-01 10:00,4.076,0.009,0.047,1.212
2020-01-01 10:00,2020-01-01 11:00,6.933,0.017,0.069,1.605
2020-01-01 11:00,2020-01-01 12:00,11.144,0.040,0.089,1.818
2020-01-01 12:00,2020-01-01 13:00,9.381,0.035,0.076,1.802
2020-01-01 13:00,2020-01-01 14:00,5.061,0.019,0.048,1.640
2020-01-01 14:00,2020-01-01 15:00,0.794,0.006,0.012,1.266
2020-01-01 15:00,2020-01-01 16:00,0,0,0,0.472
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-0.339
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-0.862
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.264
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.119
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-0.994
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.091
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.391
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.618
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.774
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.791
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.900
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-1.849
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-1.790
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-1.702
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-1.687
2020-01-02 07:00,2020-01-02 08:00,0,0.001,0.002,-1.653
2020-01-02 08:00,2020-01-02 09:00,3.861,0.021,0.031,-1.182
2020-01-02 09:00,2020-01-02 10:00,12.263,0.072,0.068,-0.513
2020-01-02 10:00,2020-01-02 11:00,25.505,0.190,0.085,0.514
2020-01-02 11:00,2020-01-02 12:00,31.554,0.259,0.082,1.238
2020-01-02 12:00,2020-01-02 13:00,32.187,0.279,0.069,1.577
2020-01-02 13:00,2020-01-02 14:00,21.240,0.180,0.052,1.061
2020-01-02 14:00,2020-01-02 15:00,5.231,0.050,0.017,-0.908
2020-01-02 15:00,2020-01-02 16:00,0,0,0,-1.868
2020-01-02 16:00,2020-01-02 17:00,0,0,0,-1.766
2020-01-02 17:00,2020-01-02 18:00,0,0,0,-1.229
2020-01-02 18:00,2020-01-02 19:00,0,0,0,-0.710
2020-01-02 19:00,2020-01-02 20:00,0,0,0,-0.226
2020-01-02 20:00,2020-01-02 21:00,0,0,0,0.298
2020-01-02 21:00,2020-01-02 22:00,0,0,0,0.886
2020-01-02 22:00,2020-01-02 23:00,0,0,0,1.485
2020-01-02 23:00,2020-01-03 00:00,0,0,0,1.696
2020-01-03 00:00,2020-01-03 01:00,0,0,0,1.789
2020-01-03 01:00,2020-01-03 02:00,0,0,0,1.553
2020-01-03 02:00,2020-01-03 03:00,0,0,0,1.057
2020-01-03 03:00,2020-01-03 04:00,0,0,0,0.823
2020-01-03 04:00,2020-01-03 05:00,0,0,0,1.261
2020-01-03 05:00,2020-01-03 06:00,0,0,0,1.713
2020-01-03 06:00,2020-01-03 07:00,0,0,0,2.089
2020-01-03 07:00,2020-01-03 08:00,0,0,0.001,2.247
2020-01-03 08:00,2020-01-03 09:00,0.340,0.001,0.011,2.758
2020-01-03 09:00,2020-01-03 10:00,0.682,0.001,0.016,3.401
2020-01-03 10:00,2020-01-03 11:00,0.828,0.001,0.018,3.943
2020-01-03 11:00,2020-01-03 12:00,0.953,0.001,0.019,4.493
2020-01-03 12:00,2020-01-03 13:00,0.691,0.001,0.016,5.210
2020-01-03 13:00,2020-01-03 14:00,0.211,0,0.009,5.491
2020-01-03 14:00,2020-01-03 15:00,0,0,0.003,5.422
2020-01-03 15:00,2020-01-03 16:00,0,0,0,5.272
2020-01-03 16:00,2020-01-03 17:00,0,0,0,5.143
2020-01-03 17:00,2020-01-03 18:00,0,0,0,4.905
2020-01-03 18:00,2020-01-03 19:00,0,0,0,4.484
2020-01-03 19:00,2020-01-03 20:00,0,0,0,3.953
2020-01-03 20:00,2020-01-03 21:00,0,0,0,3.312
2020-01-03 21:00,2020-01-03 22:00,0,0,0,2.608
2020-01-03 22:00,2020-01-03 23:00,0,0,0,2.045
2020-01-03 23:00,2020-01-04 00:00,0,0,0,1.986
2020-01-04 00:00,2020-01-04 01:00,0,0,0,2.123
2020-01-04 01:00,2020-01-04 02:00,0,0,0,2.627
2020-01-04 02:00,2020-01-04 03:00,0,0,0,3.132
2020-01-04 03:00,2020-01-04 04:00,0,0,0,2.917
2020-01-04 04:00,2020-01-04 05:00,0,0,0,2.773
2020-01-04 05:00,2020-01-04 06:00,0,0,0,3.072
2020-01-04 06:00,2020-01-04 07:00,0,0,0,3.564
2020-01-04 07:00,2020-01-04 08:00,0,0,0.001,3.975
2020-01-04 08:00,2020-01-04 09:00,0.019,0,0.005,4.403
2020-01-04 09:00,2020-01-04 10:00,0.439,0.001,0.012,4.701
2020-01-04 10:00,2020-01-04 11:00,2.634,0.003,0.038,4.851
2020-01-04 11:00,2020-01-04 12:00,5.873,0.011,0.065,5.112
2020-01-04 12:00,2020-01-04 13:00,15.257,0.084,0.090,5.300
2020-01-04 13:00,2020-01-04 14:00,16.484,0.124,0.062,4.712
2020-01-04 14:00,2020-01-04 15:00,3.843,0.035,0.019,3.800
2020-01-04 15:00,2020-01-04 16:00,0,0,0,3.133
2020-01-04 16:00,2020-01-04 17:00,0,0,0,2.892
2020-01-04 17:00,2020-01-04 18:00,0,0,0,2.737
2020-01-04 18:00,2020-01-04 19:00,0,0,0,2.526
2020-01-04 19:00,2020-01-04 20:00,0,0,0,1.978
2020-01-04 20:00,2020-01-04 21:00,0,0,0,0.907
2020-01-04 21:00,2020-01-04 22:00,0,0,0,0.198
2020-01-04 22:00,2020-01-04 23:00,0,0,0,0.037
2020-01-04 23:00,2020-01-05 00:00,0,0,0,-0.178
2020-01-05 00:00,2020-01-05 01:00,0,0,0,-0.205
2020-01-05 01:00,2020-01-05 02:00,0,0,0,-0.030
2020-01-05 02:00,2020-01-05 03:00,0,0,0,-0.197
2020-01-05 03:00,2020-01-05 04:00,0,0,0,-0.824
2020-01-05 04:00,2020-01-05 05:00,0,0,0,-0.980
2020-01-05 05:00,2020-01-05 06:00,0,0,0,-0.830
2020-01-05 06:00,2020-01-05 07:00,0,0,0,-0.536
2020-01-05 07:00,2020-01-05 08:00,0,0.002,0.003,-0.655
2020-01-05 08:00,2020-01-05 09:00,5.960,0.037,0.038,-0.006
2020-01-05 09:00,2020-01-05 10:00,17.241,0.117,0.074,1.030
2020-01-05 10:00,2020-01-05 11:00,25.067,0.182,0.091,2.016
2020-01-05 11:00,2020-01-05 12:00,21.528,0.140,0.097,3.008
2020-01-05 12:00,2020-01-05 13:00,11.832,0.056,0.081,3.436
2020-01-05 13:00,2020-01-05 14:00,3.847,0.012,0.042,3.195
2020-01-05 14:00,2020-01-05 15:00,0.200,0.002,0.007,2.763
2020-01-05 15:00,2020-01-05 16:00,0,0,0,2.626
2020-01-05 16:00,2020-01-05 17:00,0,0,0,2.566
2020-01-05 17:00,2020-01-05 18:00,0,0,0,2.658
2020-01-05 18:00,2020-01-05 19:00,0,0,0,2.779
2020-01-05 19:00,2020-01-05 20:00,0,0,0,2.943
2020-01-05 20:00,2020-01-05 21:00,0,0,0,3.222
2020-01-05 21:00,2020-01-05 22:00,0,0,0,3.343
2020-01-05 22:00,2020-01-05 23:00,0,0,0,3.431
2020-01-05 23:00,2020-01-06 00:00,0,0,0,3.521
2020-01-06 00:00,2020-01-06 01:00,0,0,0,3.616
2020-01-06 01:00,2020-01-06 02:00,0,0,0,3.652
2020-01-06 02:00,2020-01-06 03:00,0,0,0,3.609
2020-01-06 03:00,2020-01-06 04:00,0,0,0,3.548
2020-01-06 04:00,2020-01-06 05:00,0,0,0,3.471
2020-01-06 05:00,2020-01-06 06:00,0,0,0,3.282
2020-01-06 06:00,2020-01-06 07:00,0,0,0,3.246
2020-01-06 07:00,2020-01-06 08:00,0,0,0.001,3.303
2020-01-06 08:00,2020-01-06 09:00,1.010,0.002,0.018,3.463
2020-01-06 09:00,2020-01-06 10:00,2.721,0.004,0.037,3.757
2020-01-06 10:00,2020-01-06 11:00,4.762,0.007,0.057,4.169
2020-01-06 11:00,2020-01-06 12:00,6.311,0.012,0.069,4.615
