# Renewables.ninja Solar PV (Point API) - 48.778, 9.180 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "48.7784485", "lon": "9.1800132", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "16.92205", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-1.298
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-1.335
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-1.523
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-1.716
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.834
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.881
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.950
2020-01-01 07:00,2020-01-01 08:00,0.243,0.016,0.010,-1.872
2020-01-01 08:00,2020-01-01 09:00,2.640,0.120,0.053,-0.848
2020-01-01 09:00,2020-01-01 10:00,6.937,0.381,0.062,0.639
2020-01-01 10:00,2020-01-01 11:00,9.502,0.570,0.056,2.109
2020-01-01 11:00,2020-01-01 12:00,9.940,0.606,0.056,3.215
2020-01-01 12:00,2020-01-01 13:00,9.198,0.555,0.054,3.672
2020-01-01 13:00,2020-01-01 14:00,7.252,0.421,0.050,3.297
2020-01-01 14:00,2020-01-01 15:00,3.857,0.211,0.038,1.325
2020-01-01 15:00,2020-01-01 16:00,0.154,0.014,0.005,-0.823
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.490
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.677
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.772
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.727
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.750
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.729
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.843
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-2.119
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-2.371
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-2.515
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-2.635
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.744
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.737
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.724
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.774
2020-01-02 07:00,2020-01-02 08:00,0.268,0.017,0.010,-2.812
