# Renewables.ninja Solar PV (Point API) - 50.082, 8.242 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "50.0820384", "lon": "8.2416556", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "16.77", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 01:00,0,0,0,-1.089
2020-01-01 01:00,2020-01-01 02:00,0,0,0,-1.102
2020-01-01 02:00,2020-01-01 03:00,0,0,0,-1.184
2020-01-01 03:00,2020-01-01 04:00,0,0,0,-1.181
2020-01-01 04:00,2020-01-01 05:00,0,0,0,-1.251
2020-01-01 05:00,2020-01-01 06:00,0,0,0,-1.332
2020-01-01 06:00,2020-01-01 07:00,0,0,0,-1.390
2020-01-01 07:00,2020-01-01 08:00,0.086,0.008,0.005,-1.316
2020-01-01 08:00,2020-01-01 09:00,2.136,0.099,0.046,-0.284
2020-01-01 09:00,2020-01-01 10:00,4.897,0.244,0.071,0.706
2020-01-01 10:00,2020-01-01 11:00,7.727,0.434,0.070,1.563
2020-01-01 11:00,2020-01-01 12:00,8.860,0.522,0.064,2.199
2020-01-01 12:00,2020-01-01 13:00,8.445,0.498,0.059,2.504
2020-01-01 13:00,2020-01-01 14:00,6.604,0.376,0.053,2.263
2020-01-01 14:00,2020-01-01 15:00,3.253,0.175,0.038,0.638
2020-01-01 15:00,2020-01-01 16:00,0.073,0.009,0.004,-0.965
2020-01-01 16:00,2020-01-01 17:00,0,0,0,-1.426
2020-01-01 17:00,2020-01-01 18:00,0,0,0,-1.613
2020-01-01 18:00,2020-01-01 19:00,0,0,0,-1.727
2020-01-01 19:00,2020-01-01 20:00,0,0,0,-1.739
2020-01-01 20:00,2020-01-01 21:00,0,0,0,-1.581
2020-01-01 21:00,2020-01-01 22:00,0,0,0,-1.559
2020-01-01 22:00,2020-01-01 23:00,0,0,0,-1.722
2020-01-01 23:00,2020-01-02 00:00,0,0,0,-1.944
2020-01-02 00:00,2020-01-02 01:00,0,0,0,-1.967
2020-01-02 01:00,2020-01-02 02:00,0,0,0,-1.878
2020-01-02 02:00,2020-01-02 03:00,0,0,0,-1.982
2020-01-02 03:00,2020-01-02 04:00,0,0,0,-2.104
2020-01-02 04:00,2020-01-02 05:00,0,0,0,-2.208
2020-01-02 05:00,2020-01-02 06:00,0,0,0,-2.283
2020-01-02 06:00,2020-01-02 07:00,0,0,0,-2.332
2020-01-02 07:00,2020-01-02 08:00,0.001,0.001,0.004,-2.374
2020-01-02 08:00,2020-01-02 09:00,0.657,0.014,0.039,-2.198
2020-01-02 09:00,2020-01-02 10:00,1.600,0.032,0.080,-1.697
2020-01-02 10:00,2020-01-02 11:00,2.441,0.053,0.109,-0.811
2020-01-02 11:00,2020-01-02 12:00,2.737,0.062,0.119,0.050
2020-01-02 12:00,2020-01-02 13:00,2.232,0.045,0.106,0.655
2020-01-02 13:00,2020-01-02 14:00,0.857,0.010,0.057,0.795
2020-01-02 14:00,2020-01-02 15:00,0.180,0.002,0.019,0.562
2020-01-02 15:00,2020-01-02 16:00,0,0,0.001,0.372
2020-01-02 16:00,2020-01-02 17:00,0,0,0,0.362
2020-01-02 17:00,2020-01-02 18:00,0,0,0,0.284
2020-01-02 18:00,2020-01-02 19:00,0,0,0,0.333
2020-01-02 19:00,2020-01-02 20:00,0,0,0,0.366
2020-01-02 20:00,2020-01-02 21:00,0,0,0,0.294
2020-01-02 21:00,2020-01-02 22:00,0,0,0,0.248
2020-01-02 22:00,2020-01-02 23:00,0,0,0,0.404
