# Renewables.ninja Wind (Point API) - 52.517, 13.389 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.5170365", "lon": "13.3888599", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1007.44", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,225.717,5.327
2020-01-01 01:00,2020-01-01 02:00,232.130,5.381
2020-01-01 02:00,2020-01-01 03:00,220.713,5.280
2020-01-01 03:00,2020-01-01 04:00,215.578,5.247
2020-01-01 04:00,2020-01-01 05:00,237.573,5.424
2020-01-01 05:00,2020-01-01 06:00,258.996,5.580
2020-01-01 06:00,2020-01-01 07:00,259.113,5.590
2020-01-01 07:00,2020-01-01 08:00,255.572,5.554
2020-01-01 08:00,2020-01-01 09:00,225.565,5.319
2020-01-01 09:00,2020-01-01 10:00,211.133,5.206
2020-01-01 10:00,2020-01-01 11:00,195.359,5.065
2020-01-01 11:00,2020-01-01 12:00,205.957,5.166
2020-01-01 12:00,2020-01-01 13:00,229.042,5.357
2020-01-01 13:00,2020-01-01 14:00,238.449,5.431
2020-01-01 14:00,2020-01-01 15:00,275.633,5.703
2020-01-01 15:00,2020-01-01 16:00,361.083,6.299
2020-01-01 16:00,2020-01-01 17:00,441.816,6.812
2020-01-01 17:00,2020-01-01 18:00,479.682,7.048
2020-01-01 18:00,2020-01-01 19:00,495.758,7.139
2020-01-01 19:00,2020-01-01 20:00,510.535,7.235
2020-01-01 20:00,2020-01-01 21:00,497.572,7.151
2020-01-01 21:00,2020-01-01 22:00,427.753,6.722
2020-01-01 22:00,2020-01-01 23:00,322.189,6.037
2020-01-01 23:00,2020-01-02 00:00,253.607,5.539
2020-01-02 00:00,2020-01-02 01:00,265.043,5.634
2020-01-02 01:00,2020-01-02 02:00,271.483,5.682
2020-01-02 02:00,2020-01-02 03:00,280.635,5.749
2020-01-02 03:00,2020-01-02 04:00,310.638,5.951
2020-01-02 04:00,2020-01-02 05:00,293.895,5.844
2020-01-02 05:00,2020-01-02 06:00,282.431,5.762
2020-01-02 06:00,2020-01-02 07:00,289.574,5.813
2020-01-02 07:00,2020-01-02 08:00,289.161,5.808
2020-01-02 08:00,2020-01-02 09:00,251.362,5.526
2020-01-02 09:00,2020-01-02 10:00,201.139,5.125
2020-01-02 10:00,2020-01-02 11:00,187.527,5.005
2020-01-02 11:00,2020-01-02 12:00,195.964,5.076
2020-01-02 12:00,2020-01-02 13:00,244.793,5.481
2020-01-02 13:00,2020-01-02 14:00,411.984,6.618
2020-01-02 14:00,2020-01-02 15:00,596.389,7.781
2020-01-02 15:00,2020-01-02 16:00,702.758,8.541
2020-01-02 16:00,2020-01-02 17:00,733.911,8.781
2020-01-02 17:00,2020-01-02 18:00,711.973,8.614
2020-01-02 18:00,2020-01-02 19:00,673.227,8.315
