# Renewables.ninja Wind (Point API) - 53.076, 8.807 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "53.0758196", "lon": "8.8071646", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "2199.04", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,281.149,4.415
2020-01-01 01:00,2020-01-01 02:00,292.680,4.478
2020-01-01 02:00,2020-01-01 03:00,315.562,4.590
2020-01-01 03:00,2020-01-01 04:00,332.422,4.664
2020-01-01 04:00,2020-01-01 05:00,286.867,4.449
2020-01-01 05:00,2020-01-01 06:00,264.743,4.334
2020-01-01 06:00,2020-01-01 07:00,259.305,4.305
2020-01-01 07:00,2020-01-01 08:00,276.511,4.386
2020-01-01 08:00,2020-01-01 09:00,281.140,4.414
2020-01-01 09:00,2020-01-01 10:00,290.018,4.465
2020-01-01 10:00,2020-01-01 11:00,314.554,4.585
2020-01-01 11:00,2020-01-01 12:00,319.147,4.607
2020-01-01 12:00,2020-01-01 13:00,322.143,4.616
2020-01-01 13:00,2020-01-01 14:00,322.219,4.616
2020-01-01 14:00,2020-01-01 15:00,420.654,5.042
2020-01-01 15:00,2020-01-01 16:00,581.175,5.643
2020-01-01 16:00,2020-01-01 17:00,832.326,6.427
2020-01-01 17:00,2020-01-01 18:00,1061.608,7.085
2020-01-01 18:00,2020-01-01 19:00,1080.083,7.136
2020-01-01 19:00,2020-01-01 20:00,939.678,6.732
2020-01-01 20:00,2020-01-01 21:00,748.145,6.169
2020-01-01 21:00,2020-01-01 22:00,522.281,5.438
2020-01-01 22:00,2020-01-01 23:00,423.430,5.053
2020-01-01 23:00,2020-01-02 00:00,369.796,4.838
2020-01-02 00:00,2020-01-02 01:00,322.456,4.617
2020-01-02 01:00,2020-01-02 02:00,327.885,4.639
2020-01-02 02:00,2020-01-02 03:00,382.915,4.894
2020-01-02 03:00,2020-01-02 04:00,450.117,5.168
2020-01-02 04:00,2020-01-02 05:00,528.941,5.452
2020-01-02 05:00,2020-01-02 06:00,601.439,5.702
2020-01-02 06:00,2020-01-02 07:00,650.652,5.873
2020-01-02 07:00,2020-01-02 08:00,683.362,5.968
2020-01-02 08:00,2020-01-02 09:00,720.184,6.091
2020-01-02 09:00,2020-01-02 10:00,862.589,6.519
2020-01-02 10:00,2020-01-02 11:00,943.821,6.744
2020-01-02 11:00,2020-01-02 12:00,995.024,6.897
2020-01-02 12:00,2020-01-02 13:00,982.395,6.862
2020-01-02 13:00,2020-01-02 14:00,845.903,6.465
2020-01-02 14:00,2020-01-02 15:00,722.002,6.094
2020-01-02 15:00,2020-01-02 16:00,808.652,6.358
2020-01-02 16:00,2020-01-02 17:00,1037.805,7.022
2020-01-02 17:00,2020-01-02 18:00,1042.693,7.036
2020-01-02 18:00,2020-01-02 19:00,1189.358,7.457
2020-01-02 19:00,2020-01-02 20:00,1224.695,7.561
2020-01-02 20:00,2020-01-02 21:00,1404.894,8.110
2020-01-02 21:00,2020-01-02 22:00,1590.193,8.738
2020-01-02 22:00,2020-01-02 23:00,1672.611,9.070
2020-01-02 23:00,2020-01-03 00:00,1685.772,9.125
2020-01-03 00:00,2020-01-03 01:00,1723.733,9.289
2020-01-03 01:00,2020-01-03 02:00,1710.170,9.229
2020-01-03 02:00,2020-01-03 03:00,1773.641,9.510
2020-01-03 03:00,2020-01-03 04:00,1710.773,9.231
2020-01-03 04:00,2020-01-03 05:00,1777.372,9.539
2020-01-03 05:00,2020-01-03 06:00,1760.247,9.453
2020-01-03 06:00,2020-01-03 07:00,1752.772,9.416
2020-01-03 07:00,2020-01-03 08:00,1801.571,9.656
2020-01-03 08:00,2020-01-03 09:00,1787.868,9.580
2020-01-03 09:00,2020-01-03 10:00,1778.613,9.545
2020-01-03 10:00,2020-01-03 11:00,1746.376,9.391
2020-01-03 11:00,2020-01-03 12:00,1714.944,9.249
2020-01-03 12:00,2020-01-03 13:00,1693.908,9.149
2020-01-03 13:00,2020-01-03 14:00,1635.172,8.914
2020-01-03 14:00,2020-01-03 15:00,1481.157,8.358
2020-01-03 15:00,2020-01-03 16:00,1248.262,7.626
2020-01-03 16:00,2020-01-03 17:00,1389.198,8.056
2020-01-03 17:00,2020-01-03 18:00,1670.506,9.061
2020-01-03 18:00,2020-01-03 19:00,1396.212,8.076
2020-01-03 19:00,2020-01-03 20:00,1454.177,8.269
2020-01-03 20:00,2020-01-03 21:00,1533.453,8.532
2020-01-03 21:00,2020-01-03 22:00,1566.938,8.652
2020-01-03 22:00,2020-01-03 23:00,1621.311,8.865
2020-01-03 23:00,2020-01-04 00:00,1670.282,9.059
2020-01-04 00:00,2020-01-04 01:00,1734.842,9.339
2020-01-04 01:00,2020-01-04 02:00,1789.164,9.598
2020-01-04 02:00,2020-01-04 03:00,1758.531,9.439
2020-01-04 03:00,2020-01-04 04:00,1660.588,9.015
2020-01-04 04:00,2020-01-04 05:00,1638.200,8.921
2020-01-04 05:00,2020-01-04 06:00,1721.206,9.278
2020-01-04 06:00,2020-01-04 07:00,1928.818,10.416
2020-01-04 07:00,2020-01-04 08:00,2030.088,11.306
2020-01-04 08:00,2020-01-04 09:00,2053.962,11.577
2020-01-04 09:00,2020-01-04 10:00,2086.271,12.042
2020-01-04 10:00,2020-01-04 11:00,2104.800,12.348
2020-01-04 11:00,2020-01-04 12:00,2088.486,12.077
2020-01-04 12:00,2020-01-04 13:00,2047.172,11.493
2020-01-04 13:00,2020-01-04 14:00,1971.542,10.747
2020-01-04 14:00,2020-01-04 15:00,1876.089,10.073
2020-01-04 15:00,2020-01-04 16:00,1769.446,9.493
2020-01-04 16:00,2020-01-04 17:00,1703.615,9.193
2020-01-04 17:00,2020-01-04 18:00,1639.045,8.934
2020-01-04 18:00,2020-01-04 19:00,1580.244,8.705
2020-01-04 19:00,2020-01-04 20:00,1527.686,8.518
2020-01-04 20:00,2020-01-04 21:00,1405.966,8.112
2020-01-04 21:00,2020-01-04 22:00,1267.268,7.686
2020-01-04 22:00,2020-01-04 23:00,1075.603,7.122
2020-01-04 23:00,2020-01-05 00:00,925.160,6.694
2020-01-05 00:00,2020-01-05 01:00,817.603,6.386
2020-01-05 01:00,2020-01-05 02:00,743.876,6.163
2020-01-05 02:00,2020-01-05 03:00,712.563,6.069
2020-01-05 03:00,2020-01-05 04:00,761.801,6.210
2020-01-05 04:00,2020-01-05 05:00,856.123,6.492
2020-01-05 05:00,2020-01-05 06:00,978.373,6.846
2020-01-05 06:00,2020-01-05 07:00,1005.520,6.926
2020-01-05 07:00,2020-01-05 08:00,893.959,6.603
2020-01-05 08:00,2020-01-05 09:00,695.033,6.007
2020-01-05 09:00,2020-01-05 10:00,569.316,5.603
2020-01-05 10:00,2020-01-05 11:00,511.725,5.400
2020-01-05 11:00,2020-01-05 12:00,533.828,5.479
2020-01-05 12:00,2020-01-05 13:00,536.106,5.487
2020-01-05 13:00,2020-01-05 14:00,631.089,5.803
2020-01-05 14:00,2020-01-05 15:00,856.341,6.500
2020-01-05 15:00,2020-01-05 16:00,1204.027,7.493
2020-01-05 16:00,2020-01-05 17:00,1303.574,7.796
2020-01-05 17:00,2020-01-05 18:00,1295.150,7.766
2020-01-05 18:00,2020-01-05 19:00,1295.155,7.765
2020-01-05 19:00,2020-01-05 20:00,1222.908,7.555
2020-01-05 20:00,2020-01-05 21:00,1271.740,7.700
2020-01-05 21:00,2020-01-05 22:00,1189.496,7.458
2020-01-05 22:00,2020-01-05 23:00,1131.498,7.290
2020-01-05 23:00,2020-01-06 00:00,1159.760,7.366
2020-01-06 00:00,2020-01-06 01:00,1257.890,7.649
2020-01-06 01:00,2020-01-06 02:00,1148.854,7.335
2020-01-06 02:00,2020-01-06 03:00,1130.282,7.278
2020-01-06 03:00,2020-01-06 04:00,1109.371,7.226
2020-01-06 04:00,2020-01-06 05:00,1136.047,7.303
2020-01-06 05:00,2020-01-06 06:00,1135.821,7.302
2020-01-06 06:00,2020-01-06 07:00,1087.715,7.162
2020-01-06 07:00,2020-01-06 08:00,1043.926,7.039
2020-01-06 08:00,2020-01-06 09:00,898.758,6.617
2020-01-06 09:00,2020-01-06 10:00,794.480,6.318
2020-01-06 10:00,2020-01-06 11:00,650.503,5.873
2020-01-06 11:00,2020-01-06 12:00,627.226,5.788
2020-01-06 12:00,2020-01-06 13:00,652.604,5.879
2020-01-06 13:00,2020-01-06 14:00,603.874,5.716
2020-01-06 14:00,2020-01-06 15:00,821.985,6.399
2020-01-06 15:00,2020-01-06 16:00,1131.497,7.289
2020-01-06 16:00,2020-01-06 17:00,1327.592,7.864
2020-01-06 17:00,2020-01-06 18:00,1414.773,8.141
2020-01-06 18:00,2020-01-06 19:00,1418.787,8.147
2020-01-06 19:00,2020-01-06 20:00,1362.511,7.976
2020-01-06 20:00,2020-01-06 21:00,1248.266,7.624
2020-01-06 21:00,2020-01-06 22:00,1162.707,7.373
2020-01-06 22:00,2020-01-06 23:00,1179.976,7.427
2020-01-06 23:00,2020-01-07 00:00,1265.923,7.682
2020-01-07 00:00,2020-01-07 01:00,1255.512,7.641
2020-01-07 01:00,2020-01-07 02:00,1186.865,7.449
2020-01-07 02:00,2020-01-07 03:00,1265.033,7.670
2020-01-07 03:00,2020-01-07 04:00,1272.569,7.702
2020-01-07 04:00,2020-01-07 05:00,1258.695,7.651
2020-01-07 05:00,2020-01-07 06:00,1331.277,7.870
2020-01-07 06:00,2020-01-07 07:00,1376.280,8.010
2020-01-07 07:00,2020-01-07 08:00,1229.785,7.573
2020-01-07 08:00,2020-01-07 09:00,1006.061,6.931
2020-01-07 09:00,2020-01-07 10:00,856.304,6.500
2020-01-07 10:00,2020-01-07 11:00,853.957,6.484
2020-01-07 11:00,2020-01-07 12:00,1012.541,6.947
2020-01-07 12:00,2020-01-07 13:00,1054.177,7.069
2020-01-07 13:00,2020-01-07 14:00,1037.097,7.018
2020-01-07 14:00,2020-01-07 15:00,1186.857,7.440
2020-01-07 15:00,2020-01-07 16:00,1324.836,7.852
2020-01-07 16:00,2020-01-07 17:00,1325.663,7.861
2020-01-07 17:00,2020-01-07 18:00,1403.965,8.098
2020-01-07 18:00,2020-01-07 19:00,1410.037,8.118
2020-01-07 19:00,2020-01-07 20:00,1597.787,8.772
2020-01-07 20:00,2020-01-07 21:00,1694.230,9.155
2020-01-07 21:00,2020-01-07 22:00,1725.566,9.297
2020-01-07 22:00,2020-01-07 23:00,1776.882,9.537
2020-01-07 23:00,2020-01-08 00:00,1846.558,9.896
2020-01-08 00:00,2020-01-08 01:00,1871.531,10.049
2020-01-08 01:00,2020-01-08 02:00,1851.381,9.929
2020-01-08 02:00,2020-01-08 03:00,1859.963,9.980
2020-01-08 03:00,2020-01-08 04:00,1889.797,10.161
2020-01-08 04:00,2020-01-08 05:00,1912.769,10.311
2020-01-08 05:00,2020-01-08 06:00,1881.773,10.103
2020-01-08 06:00,2020-01-08 07:00,1626.302,8.884
2020-01-08 07:00,2020-01-08 08:00,1495.950,8.404
2020-01-08 08:00,2020-01-08 09:00,1411.164,8.128
2020-01-08 09:00,2020-01-08 10:00,1361.228,7.972
2020-01-08 10:00,2020-01-08 11:00,1257.869,7.648
2020-01-08 11:00,2020-01-08 12:00,1324.801,7.858
2020-01-08 12:00,2020-01-08 13:00,1246.253,7.617
2020-01-08 13:00,2020-01-08 14:00,1117.550,7.244
2020-01-08 14:00,2020-01-08 15:00,1241.491,7.608
2020-01-08 15:00,2020-01-08 16:00,1217.698,7.538
2020-01-08 16:00,2020-01-08 17:00,1086.133,7.158
2020-01-08 17:00,2020-01-08 18:00,961.837,6.805
2020-01-08 18:00,2020-01-08 19:00,856.206,6.498
2020-01-08 19:00,2020-01-08 20:00,738.842,6.150
2020-01-08 20:00,2020-01-08 21:00,612.198,5.747
2020-01-08 21:00,2020-01-08 22:00,471.099,5.249
2020-01-08 22:00,2020-01-08 23:00,358.606,4.780
2020-01-08 23:00,2020-01-09 00:00,276.561,4.387
2020-01-09 00:00,2020-01-09 01:00,229.671,4.131
2020-01-09 01:00,2020-01-09 02:00,276.204,4.385
2020-01-09 02:00,2020-01-09 03:00,365.739,4.818
2020-01-09 03:00,2020-01-09 04:00,453.642,5.182
2020-01-09 04:00,2020-01-09 05:00,602.770,5.707
2020-01-09 05:00,2020-01-09 06:00,861.252,6.515
2020-01-09 06:00,2020-01-09 07:00,1186.864,7.448
2020-01-09 07:00,2020-01-09 08:00,1324.802,7.858
2020-01-09 08:00,2020-01-09 09:00,1371.569,8.002
2020-01-09 09:00,2020-01-09 10:00,1583.208,8.715
2020-01-09 10:00,2020-01-09 11:00,1626.978,8.887
2020-01-09 11:00,2020-01-09 12:00,1906.272,10.268
2020-01-09 12:00,2020-01-09 13:00,1957.506,10.637
2020-01-09 13:00,2020-01-09 14:00,1939.531,10.500
2020-01-09 14:00,2020-01-09 15:00,1892.941,10.172
2020-01-09 15:00,2020-01-09 16:00,1851.350,9.930
2020-01-09 16:00,2020-01-09 17:00,1826.982,9.794
2020-01-09 17:00,2020-01-09 18:00,1764.677,9.478
2020-01-09 18:00,2020-01-09 19:00,1719.611,9.263
2020-01-09 19:00,2020-01-09 20:00,1644.515,8.956
2020-01-09 20:00,2020-01-09 21:00,1547.544,8.582
2020-01-09 21:00,2020-01-09 22:00,1547.461,8.587
2020-01-09 22:00,2020-01-09 23:00,1555.072,8.617
2020-01-09 23:00,2020-01-10 00:00,1549.906,8.599
2020-01-10 00:00,2020-01-10 01:00,1494.297,8.397
2020-01-10 01:00,2020-01-10 02:00,1392.151,8.069
2020-01-10 02:00,2020-01-10 03:00,1350.577,7.939
2020-01-10 03:00,2020-01-10 04:00,1301.787,7.783
2020-01-10 04:00,2020-01-10 05:00,1351.986,7.944
2020-01-10 05:00,2020-01-10 06:00,1241.493,7.607
2020-01-10 06:00,2020-01-10 07:00,1173.069,7.400
2020-01-10 07:00,2020-01-10 08:00,1314.970,7.825
2020-01-10 08:00,2020-01-10 09:00,1398.650,8.087
2020-01-10 09:00,2020-01-10 10:00,1507.593,8.445
2020-01-10 10:00,2020-01-10 11:00,1583.127,8.720
2020-01-10 11:00,2020-01-10 12:00,1572.397,8.673
