# Renewables.ninja Wind (Point API) - 51.049, 13.738 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "51.0493286", "lon": "13.7381437", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1426.38", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,417.575,5.851
2020-01-01 01:00,2020-01-01 02:00,361.748,5.553
2020-01-01 02:00,2020-01-01 03:00,337.679,5.432
2020-01-01 03:00,2020-01-01 04:00,289.754,5.155
2020-01-01 04:00,2020-01-01 05:00,260.619,4.974
2020-01-01 05:00,2020-01-01 06:00,255.690,4.942
2020-01-01 06:00,2020-01-01 07:00,266.320,5.010
2020-01-01 07:00,2020-01-01 08:00,245.744,4.869
2020-01-01 08:00,2020-01-01 09:00,196.228,4.524
2020-01-01 09:00,2020-01-01 10:00,170.542,4.324
2020-01-01 10:00,2020-01-01 11:00,157.113,4.211
2020-01-01 11:00,2020-01-01 12:00,144.369,4.098
2020-01-01 12:00,2020-01-01 13:00,122.652,3.883
2020-01-01 13:00,2020-01-01 14:00,135.348,4.015
2020-01-01 14:00,2020-01-01 15:00,205.341,4.595
2020-01-01 15:00,2020-01-01 16:00,325.512,5.364
2020-01-01 16:00,2020-01-01 17:00,490.317,6.201
2020-01-01 17:00,2020-01-01 18:00,668.114,6.991
2020-01-01 18:00,2020-01-01 19:00,812.189,7.636
2020-01-01 19:00,2020-01-01 20:00,907.250,8.081
2020-01-01 20:00,2020-01-01 21:00,960.792,8.351
2020-01-01 21:00,2020-01-01 22:00,979.141,8.457
2020-01-01 22:00,2020-01-01 23:00,972.143,8.415
2020-01-01 23:00,2020-01-02 00:00,939.744,8.251
2020-01-02 00:00,2020-01-02 01:00,873.484,7.918
2020-01-02 01:00,2020-01-02 02:00,771.212,7.456
2020-01-02 02:00,2020-01-02 03:00,683.273,7.066
2020-01-02 03:00,2020-01-02 04:00,617.032,6.775
2020-01-02 04:00,2020-01-02 05:00,595.562,6.670
2020-01-02 05:00,2020-01-02 06:00,641.220,6.881
2020-01-02 06:00,2020-01-02 07:00,788.132,7.526
2020-01-02 07:00,2020-01-02 08:00,939.937,8.252
2020-01-02 08:00,2020-01-02 09:00,888.210,7.989
2020-01-02 09:00,2020-01-02 10:00,656.695,6.940
2020-01-02 10:00,2020-01-02 11:00,495.948,6.224
2020-01-02 11:00,2020-01-02 12:00,425.619,5.891
2020-01-02 12:00,2020-01-02 13:00,439.667,5.950
2020-01-02 13:00,2020-01-02 14:00,575.355,6.580
2020-01-02 14:00,2020-01-02 15:00,760.510,7.398
2020-01-02 15:00,2020-01-02 16:00,894.452,8.024
2020-01-02 16:00,2020-01-02 17:00,901.111,8.052
2020-01-02 17:00,2020-01-02 18:00,869.896,7.907
2020-01-02 18:00,2020-01-02 19:00,857.673,7.846
2020-01-02 19:00,2020-01-02 20:00,829.538,7.721
2020-01-02 20:00,2020-01-02 21:00,810.324,7.632
2020-01-02 21:00,2020-01-02 22:00,784.468,7.508
2020-01-02 22:00,2020-01-02 23:00,749.688,7.356
2020-01-02 23:00,2020-01-03 00:00,703.392,7.145
2020-01-03 00:00,2020-01-03 01:00,668.637,7.001
2020-01-03 01:00,2020-01-03 02:00,672.701,7.019
2020-01-03 02:00,2020-01-03 03:00,765.373,7.421
2020-01-03 03:00,2020-01-03 04:00,777.127,7.481
2020-01-03 04:00,2020-01-03 05:00,810.080,7.631
2020-01-03 05:00,2020-01-03 06:00,844.373,7.788
2020-01-03 06:00,2020-01-03 07:00,890.739,8.005
2020-01-03 07:00,2020-01-03 08:00,922.409,8.163
2020-01-03 08:00,2020-01-03 09:00,939.332,8.245
2020-01-03 09:00,2020-01-03 10:00,892.788,8.010
2020-01-03 10:00,2020-01-03 11:00,898.398,8.043
2020-01-03 11:00,2020-01-03 12:00,888.606,7.990
2020-01-03 12:00,2020-01-03 13:00,900.029,8.047
2020-01-03 13:00,2020-01-03 14:00,926.228,8.184
2020-01-03 14:00,2020-01-03 15:00,997.653,8.548
2020-01-03 15:00,2020-01-03 16:00,1065.575,8.949
2020-01-03 16:00,2020-01-03 17:00,1148.823,9.504
2020-01-03 17:00,2020-01-03 18:00,1247.371,10.382
2020-01-03 18:00,2020-01-03 19:00,1269.157,10.627
2020-01-03 19:00,2020-01-03 20:00,1310.888,11.209
2020-01-03 20:00,2020-01-03 21:00,1334.029,11.620
2020-01-03 21:00,2020-01-03 22:00,1341.352,11.767
2020-01-03 22:00,2020-01-03 23:00,1330.258,11.547
2020-01-03 23:00,2020-01-04 00:00,1290.895,10.904
2020-01-04 00:00,2020-01-04 01:00,1219.811,10.096
2020-01-04 01:00,2020-01-04 02:00,1094.147,9.129
2020-01-04 02:00,2020-01-04 03:00,998.334,8.550
2020-01-04 03:00,2020-01-04 04:00,897.004,8.031
2020-01-04 04:00,2020-01-04 05:00,871.341,7.913
2020-01-04 05:00,2020-01-04 06:00,908.061,8.092
2020-01-04 06:00,2020-01-04 07:00,1039.666,8.792
2020-01-04 07:00,2020-01-04 08:00,1118.300,9.291
2020-01-04 08:00,2020-01-04 09:00,1147.602,9.489
2020-01-04 09:00,2020-01-04 10:00,1193.160,9.863
2020-01-04 10:00,2020-01-04 11:00,1307.048,11.144
2020-01-04 11:00,2020-01-04 12:00,1338.528,11.711
2020-01-04 12:00,2020-01-04 13:00,1364.683,12.332
2020-01-04 13:00,2020-01-04 14:00,1379.200,12.806
2020-01-04 14:00,2020-01-04 15:00,1386.804,13.107
2020-01-04 15:00,2020-01-04 16:00,1375.598,12.669
2020-01-04 16:00,2020-01-04 17:00,1337.963,11.700
2020-01-04 17:00,2020-01-04 18:00,1291.412,10.918
2020-01-04 18:00,2020-01-04 19:00,1311.310,11.215
2020-01-04 19:00,2020-01-04 20:00,1302.171,11.072
2020-01-04 20:00,2020-01-04 21:00,1263.335,10.561
2020-01-04 21:00,2020-01-04 22:00,1234.518,10.248
2020-01-04 22:00,2020-01-04 23:00,1207.526,9.990
2020-01-04 23:00,2020-01-05 00:00,1125.618,9.341
2020-01-05 00:00,2020-01-05 01:00,966.523,8.390
2020-01-05 01:00,2020-01-05 02:00,888.846,8.000
2020-01-05 02:00,2020-01-05 03:00,849.623,7.815
2020-01-05 03:00,2020-01-05 04:00,772.033,7.460
2020-01-05 04:00,2020-01-05 05:00,704.503,7.156
2020-01-05 05:00,2020-01-05 06:00,605.738,6.722
2020-01-05 06:00,2020-01-05 07:00,520.104,6.333
2020-01-05 07:00,2020-01-05 08:00,443.218,5.968
2020-01-05 08:00,2020-01-05 09:00,391.146,5.708
2020-01-05 09:00,2020-01-05 10:00,320.109,5.333
2020-01-05 10:00,2020-01-05 11:00,277.865,5.082
2020-01-05 11:00,2020-01-05 12:00,298.940,5.206
2020-01-05 12:00,2020-01-05 13:00,333.184,5.407
2020-01-05 13:00,2020-01-05 14:00,343.454,5.454
2020-01-05 14:00,2020-01-05 15:00,377.822,5.648
2020-01-05 15:00,2020-01-05 16:00,383.609,5.678
2020-01-05 16:00,2020-01-05 17:00,396.711,5.745
2020-01-05 17:00,2020-01-05 18:00,439.976,5.952
2020-01-05 18:00,2020-01-05 19:00,511.970,6.302
2020-01-05 19:00,2020-01-05 20:00,598.421,6.686
2020-01-05 20:00,2020-01-05 21:00,636.300,6.853
2020-01-05 21:00,2020-01-05 22:00,625.031,6.810
2020-01-05 22:00,2020-01-05 23:00,631.764,6.833
2020-01-05 23:00,2020-01-06 00:00,633.559,6.844
2020-01-06 00:00,2020-01-06 01:00,606.773,6.725
2020-01-06 01:00,2020-01-06 02:00,584.232,6.620
2020-01-06 02:00,2020-01-06 03:00,593.177,6.665
2020-01-06 03:00,2020-01-06 04:00,624.133,6.806
2020-01-06 04:00,2020-01-06 05:00,645.417,6.899
2020-01-06 05:00,2020-01-06 06:00,641.180,6.881
2020-01-06 06:00,2020-01-06 07:00,619.280,6.785
2020-01-06 07:00,2020-01-06 08:00,598.663,6.687
2020-01-06 08:00,2020-01-06 09:00,475.516,6.132
2020-01-06 09:00,2020-01-06 10:00,384.512,5.683
2020-01-06 10:00,2020-01-06 11:00,340.948,5.445
2020-01-06 11:00,2020-01-06 12:00,371.074,5.612
2020-01-06 12:00,2020-01-06 13:00,381.007,5.664
2020-01-06 13:00,2020-01-06 14:00,380.720,5.663
2020-01-06 14:00,2020-01-06 15:00,440.213,5.953
2020-01-06 15:00,2020-01-06 16:00,470.802,6.105
2020-01-06 16:00,2020-01-06 17:00,471.009,6.111
2020-01-06 17:00,2020-01-06 18:00,489.886,6.194
2020-01-06 18:00,2020-01-06 19:00,558.160,6.513
2020-01-06 19:00,2020-01-06 20:00,697.706,7.130
2020-01-06 20:00,2020-01-06 21:00,834.420,7.737
2020-01-06 21:00,2020-01-06 22:00,845.586,7.796
2020-01-06 22:00,2020-01-06 23:00,785.417,7.510
2020-01-06 23:00,2020-01-07 00:00,726.708,7.254
2020-01-07 00:00,2020-01-07 01:00,676.999,7.039
2020-01-07 01:00,2020-01-07 02:00,670.129,7.004
2020-01-07 02:00,2020-01-07 03:00,734.079,7.291
2020-01-07 03:00,2020-01-07 04:00,811.470,7.634
2020-01-07 04:00,2020-01-07 05:00,844.926,7.793
2020-01-07 05:00,2020-01-07 06:00,865.613,7.890
2020-01-07 06:00,2020-01-07 07:00,869.892,7.908
2020-01-07 07:00,2020-01-07 08:00,809.669,7.626
2020-01-07 08:00,2020-01-07 09:00,640.855,6.875
2020-01-07 09:00,2020-01-07 10:00,528.847,6.373
2020-01-07 10:00,2020-01-07 11:00,511.847,6.302
2020-01-07 11:00,2020-01-07 12:00,452.489,6.021
2020-01-07 12:00,2020-01-07 13:00,432.291,5.924
2020-01-07 13:00,2020-01-07 14:00,451.995,6.015
2020-01-07 14:00,2020-01-07 15:00,524.478,6.353
2020-01-07 15:00,2020-01-07 16:00,584.343,6.623
2020-01-07 16:00,2020-01-07 17:00,643.302,6.885
2020-01-07 17:00,2020-01-07 18:00,656.769,6.946
2020-01-07 18:00,2020-01-07 19:00,645.418,6.899
2020-01-07 19:00,2020-01-07 20:00,604.609,6.714
2020-01-07 20:00,2020-01-07 21:00,579.908,6.609
2020-01-07 21:00,2020-01-07 22:00,610.416,6.736
2020-01-07 22:00,2020-01-07 23:00,575.428,6.589
2020-01-07 23:00,2020-01-08 00:00,580.555,6.611
2020-01-08 00:00,2020-01-08 01:00,615.946,6.770
2020-01-08 01:00,2020-01-08 02:00,645.803,6.902
2020-01-08 02:00,2020-01-08 03:00,741.787,7.322
2020-01-08 03:00,2020-01-08 04:00,800.881,7.588
2020-01-08 04:00,2020-01-08 05:00,814.183,7.641
2020-01-08 05:00,2020-01-08 06:00,821.813,7.686
2020-01-08 06:00,2020-01-08 07:00,843.859,7.779
2020-01-08 07:00,2020-01-08 08:00,869.910,7.904
2020-01-08 08:00,2020-01-08 09:00,885.154,7.981
2020-01-08 09:00,2020-01-08 10:00,892.832,8.020
2020-01-08 10:00,2020-01-08 11:00,869.911,7.903
2020-01-08 11:00,2020-01-08 12:00,951.089,8.305
2020-01-08 12:00,2020-01-08 13:00,1042.518,8.801
2020-01-08 13:00,2020-01-08 14:00,1095.082,9.135
2020-01-08 14:00,2020-01-08 15:00,1100.397,9.165
2020-01-08 15:00,2020-01-08 16:00,1023.418,8.695
2020-01-08 16:00,2020-01-08 17:00,921.377,8.159
2020-01-08 17:00,2020-01-08 18:00,905.353,8.075
2020-01-08 18:00,2020-01-08 19:00,951.100,8.303
2020-01-08 19:00,2020-01-08 20:00,933.636,8.221
2020-01-08 20:00,2020-01-08 21:00,863.735,7.881
2020-01-08 21:00,2020-01-08 22:00,803.321,7.596
2020-01-08 22:00,2020-01-08 23:00,710.959,7.184
2020-01-08 23:00,2020-01-09 00:00,632.734,6.842
2020-01-09 00:00,2020-01-09 01:00,615.218,6.757
2020-01-09 01:00,2020-01-09 02:00,570.558,6.568
2020-01-09 02:00,2020-01-09 03:00,549.489,6.472
2020-01-09 03:00,2020-01-09 04:00,520.138,6.336
2020-01-09 04:00,2020-01-09 05:00,520.082,6.330
2020-01-09 05:00,2020-01-09 06:00,557.960,6.512
2020-01-09 06:00,2020-01-09 07:00,619.025,6.784
2020-01-09 07:00,2020-01-09 08:00,672.679,7.014
2020-01-09 08:00,2020-01-09 09:00,672.697,7.018
2020-01-09 09:00,2020-01-09 10:00,682.132,7.061
2020-01-09 10:00,2020-01-09 11:00,717.732,7.218
2020-01-09 11:00,2020-01-09 12:00,765.375,7.424
2020-01-09 12:00,2020-01-09 13:00,798.704,7.575
2020-01-09 13:00,2020-01-09 14:00,848.439,7.809
2020-01-09 14:00,2020-01-09 15:00,921.388,8.157
2020-01-09 15:00,2020-01-09 16:00,974.087,8.428
2020-01-09 16:00,2020-01-09 17:00,991.952,8.523
2020-01-09 17:00,2020-01-09 18:00,997.410,8.548
2020-01-09 18:00,2020-01-09 19:00,1016.394,8.650
2020-01-09 19:00,2020-01-09 20:00,1063.271,8.935
2020-01-09 20:00,2020-01-09 21:00,1073.894,8.990
2020-01-09 21:00,2020-01-09 22:00,970.351,8.402
2020-01-09 22:00,2020-01-09 23:00,903.615,8.071
2020-01-09 23:00,2020-01-10 00:00,854.800,7.829
2020-01-10 00:00,2020-01-10 01:00,831.733,7.731
2020-01-10 01:00,2020-01-10 02:00,835.784,7.741
2020-01-10 02:00,2020-01-10 03:00,824.103,7.696
2020-01-10 03:00,2020-01-10 04:00,872.310,7.916
2020-01-10 04:00,2020-01-10 05:00,911.299,8.105
2020-01-10 05:00,2020-01-10 06:00,996.532,8.545
2020-01-10 06:00,2020-01-10 07:00,1097.644,9.146
2020-01-10 07:00,2020-01-10 08:00,1098.880,9.160
2020-01-10 08:00,2020-01-10 09:00,1023.476,8.690
2020-01-10 09:00,2020-01-10 10:00,970.316,8.406
2020-01-10 10:00,2020-01-10 11:00,998.258,8.559
2020-01-10 11:00,2020-01-10 12:00,1019.858,8.678
2020-01-10 12:00,2020-01-10 13:00,1016.324,8.657
2020-01-10 13:00,2020-01-10 14:00,1027.533,8.724
2020-01-10 14:00,2020-01-10 15:00,1049.490,8.852
2020-01-10 15:00,2020-01-10 16:00,1090.471,9.105
2020-01-10 16:00,2020-01-10 17:00,1119.645,9.300
2020-01-10 17:00,2020-01-10 18:00,1140.468,9.438
2020-01-10 18:00,2020-01-10 19:00,1110.474,9.233
2020-01-10 19:00,2020-01-10 20:00,1012.208,8.637
2020-01-10 20:00,2020-01-10 21:00,1143.608,9.467
2020-01-10 21:00,2020-01-10 22:00,1118.963,9.295
2020-01-10 22:00,2020-01-10 23:00,1130.656,9.377
2020-01-10 23:00,2020-01-11 00:00,1115.384,9.264
2020-01-11 00:00,2020-01-11 01:00,1032.187,8.743
2020-01-11 01:00,2020-01-11 02:00,1003.782,8.583
2020-01-11 02:00,2020-01-11 03:00,972.048,8.415
2020-01-11 03:00,2020-01-11 04:00,943.233,8.269
2020-01-11 04:00,2020-01-11 05:00,915.807,8.132
2020-01-11 05:00,2020-01-11 06:00,863.553,7.879
2020-01-11 06:00,2020-01-11 07:00,785.415,7.518
2020-01-11 07:00,2020-01-11 08:00,632.963,6.843
2020-01-11 08:00,2020-01-11 09:00,460.318,6.055
2020-01-11 09:00,2020-01-11 10:00,444.526,5.974
2020-01-11 10:00,2020-01-11 11:00,423.888,5.882
2020-01-11 11:00,2020-01-11 12:00,344.228,5.458
2020-01-11 12:00,2020-01-11 13:00,274.947,5.055
2020-01-11 13:00,2020-01-11 14:00,239.383,4.834
2020-01-11 14:00,2020-01-11 15:00,298.883,5.202
2020-01-11 15:00,2020-01-11 16:00,399.069,5.758
2020-01-11 16:00,2020-01-11 17:00,539.894,6.429
2020-01-11 17:00,2020-01-11 18:00,700.751,7.137
2020-01-11 18:00,2020-01-11 19:00,798.161,7.574
2020-01-11 19:00,2020-01-11 20:00,826.057,7.705
2020-01-11 20:00,2020-01-11 21:00,835.784,7.741
2020-01-11 21:00,2020-01-11 22:00,820.487,7.669
2020-01-11 22:00,2020-01-11 23:00,814.446,7.642
2020-01-11 23:00,2020-01-12 00:00,815.354,7.646
2020-01-12 00:00,2020-01-12 01:00,810.738,7.632
2020-01-12 01:00,2020-01-12 02:00,808.046,7.616
