# Renewables.ninja Wind (Point API) - 51.225, 6.776 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "51.2254018", "lon": "6.7763137", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1733.73", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,817.607,7.011
2020-01-01 01:00,2020-01-01 02:00,803.790,6.962
2020-01-01 02:00,2020-01-01 03:00,767.873,6.831
2020-01-01 03:00,2020-01-01 04:00,701.667,6.594
2020-01-01 04:00,2020-01-01 05:00,644.141,6.385
2020-01-01 05:00,2020-01-01 06:00,616.461,6.280
2020-01-01 06:00,2020-01-01 07:00,596.564,6.202
2020-01-01 07:00,2020-01-01 08:00,567.121,6.084
2020-01-01 08:00,2020-01-01 09:00,502.807,5.831
2020-01-01 09:00,2020-01-01 10:00,418.878,5.469
2020-01-01 10:00,2020-01-01 11:00,422.951,5.488
2020-01-01 11:00,2020-01-01 12:00,385.925,5.309
2020-01-01 12:00,2020-01-01 13:00,334.994,5.059
2020-01-01 13:00,2020-01-01 14:00,289.720,4.827
2020-01-01 14:00,2020-01-01 15:00,341.963,5.104
2020-01-01 15:00,2020-01-01 16:00,476.265,5.720
2020-01-01 16:00,2020-01-01 17:00,667.979,6.472
2020-01-01 17:00,2020-01-01 18:00,874.135,7.225
2020-01-01 18:00,2020-01-01 19:00,1015.864,7.745
2020-01-01 19:00,2020-01-01 20:00,1039.333,7.832
2020-01-01 20:00,2020-01-01 21:00,950.594,7.502
2020-01-01 21:00,2020-01-01 22:00,755.564,6.795
