# Renewables.ninja Wind (Point API) - 50.978, 11.029 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "50.9777974", "lon": "11.0287364", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1984.05", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,264.439,4.480
2020-01-01 01:00,2020-01-01 02:00,210.301,4.153
2020-01-01 02:00,2020-01-01 03:00,195.262,4.062
2020-01-01 03:00,2020-01-01 04:00,174.412,3.919
2020-01-01 04:00,2020-01-01 05:00,141.706,3.673
2020-01-01 05:00,2020-01-01 06:00,149.386,3.734
2020-01-01 06:00,2020-01-01 07:00,191.880,4.032
2020-01-01 07:00,2020-01-01 08:00,252.408,4.403
2020-01-01 08:00,2020-01-01 09:00,290.224,4.615
2020-01-01 09:00,2020-01-01 10:00,206.387,4.125
2020-01-01 10:00,2020-01-01 11:00,203.301,4.112
2020-01-01 11:00,2020-01-01 12:00,194.488,4.057
2020-01-01 12:00,2020-01-01 13:00,199.592,4.090
2020-01-01 13:00,2020-01-01 14:00,277.889,4.554
2020-01-01 14:00,2020-01-01 15:00,470.313,5.434
2020-01-01 15:00,2020-01-01 16:00,724.309,6.341
2020-01-01 16:00,2020-01-01 17:00,913.524,6.943
2020-01-01 17:00,2020-01-01 18:00,1020.876,7.290
2020-01-01 18:00,2020-01-01 19:00,1120.122,7.604
2020-01-01 19:00,2020-01-01 20:00,1199.166,7.867
2020-01-01 20:00,2020-01-01 21:00,1234.624,7.987
2020-01-01 21:00,2020-01-01 22:00,1225.622,7.964
2020-01-01 22:00,2020-01-01 23:00,1168.538,7.763
2020-01-01 23:00,2020-01-02 00:00,1072.948,7.457
2020-01-02 00:00,2020-01-02 01:00,973.404,7.135
2020-01-02 01:00,2020-01-02 02:00,892.530,6.882
2020-01-02 02:00,2020-01-02 03:00,841.214,6.720
2020-01-02 03:00,2020-01-02 04:00,806.559,6.603
2020-01-02 04:00,2020-01-02 05:00,794.141,6.570
2020-01-02 05:00,2020-01-02 06:00,812.801,6.623
2020-01-02 06:00,2020-01-02 07:00,828.435,6.673
2020-01-02 07:00,2020-01-02 08:00,813.841,6.633
2020-01-02 08:00,2020-01-02 09:00,678.996,6.186
2020-01-02 09:00,2020-01-02 10:00,582.030,5.855
2020-01-02 10:00,2020-01-02 11:00,792.012,6.563
2020-01-02 11:00,2020-01-02 12:00,883.015,6.847
2020-01-02 12:00,2020-01-02 13:00,929.366,6.997
2020-01-02 13:00,2020-01-02 14:00,885.059,6.851
2020-01-02 14:00,2020-01-02 15:00,936.798,7.023
2020-01-02 15:00,2020-01-02 16:00,1114.002,7.587
2020-01-02 16:00,2020-01-02 17:00,1126.235,7.621
2020-01-02 17:00,2020-01-02 18:00,1098.655,7.531
2020-01-02 18:00,2020-01-02 19:00,1070.148,7.439
2020-01-02 19:00,2020-01-02 20:00,1022.210,7.294
2020-01-02 20:00,2020-01-02 21:00,979.957,7.160
2020-01-02 21:00,2020-01-02 22:00,994.046,7.205
2020-01-02 22:00,2020-01-02 23:00,1013.262,7.258
2020-01-02 23:00,2020-01-03 00:00,1079.385,7.478
2020-01-03 00:00,2020-01-03 01:00,1197.010,7.863
2020-01-03 01:00,2020-01-03 02:00,1210.014,7.904
2020-01-03 02:00,2020-01-03 03:00,1195.322,7.851
2020-01-03 03:00,2020-01-03 04:00,1219.437,7.942
2020-01-03 04:00,2020-01-03 05:00,1331.059,8.332
2020-01-03 05:00,2020-01-03 06:00,1388.267,8.549
2020-01-03 06:00,2020-01-03 07:00,1428.442,8.714
2020-01-03 07:00,2020-01-03 08:00,1416.926,8.666
2020-01-03 08:00,2020-01-03 09:00,1408.917,8.640
2020-01-03 09:00,2020-01-03 10:00,1366.247,8.473
2020-01-03 10:00,2020-01-03 11:00,1482.393,8.950
2020-01-03 11:00,2020-01-03 12:00,1493.728,8.998
2020-01-03 12:00,2020-01-03 13:00,1551.316,9.259
2020-01-03 13:00,2020-01-03 14:00,1621.025,9.636
2020-01-03 14:00,2020-01-03 15:00,1628.296,9.668
2020-01-03 15:00,2020-01-03 16:00,1659.260,9.861
2020-01-03 16:00,2020-01-03 17:00,1766.148,10.637
