# Renewables.ninja Wind (Point API) - 53.550, 10.001 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "53.550341", "lon": "10.000654", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1781.28", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,505.893,5.779
2020-01-01 01:00,2020-01-01 02:00,465.850,5.623
2020-01-01 02:00,2020-01-01 03:00,457.520,5.578
2020-01-01 03:00,2020-01-01 04:00,455.006,5.567
2020-01-01 04:00,2020-01-01 05:00,408.446,5.372
2020-01-01 05:00,2020-01-01 06:00,373.960,5.213
2020-01-01 06:00,2020-01-01 07:00,371.307,5.195
2020-01-01 07:00,2020-01-01 08:00,349.139,5.093
2020-01-01 08:00,2020-01-01 09:00,299.428,4.837
2020-01-01 09:00,2020-01-01 10:00,281.049,4.736
2020-01-01 10:00,2020-01-01 11:00,327.002,4.982
2020-01-01 11:00,2020-01-01 12:00,359.153,5.142
2020-01-01 12:00,2020-01-01 13:00,369.880,5.192
2020-01-01 13:00,2020-01-01 14:00,369.353,5.190
2020-01-01 14:00,2020-01-01 15:00,366.519,5.177
2020-01-01 15:00,2020-01-01 16:00,419.821,5.423
2020-01-01 16:00,2020-01-01 17:00,590.317,6.119
2020-01-01 17:00,2020-01-01 18:00,709.605,6.558
2020-01-01 18:00,2020-01-01 19:00,724.132,6.603
2020-01-01 19:00,2020-01-01 20:00,623.494,6.234
2020-01-01 20:00,2020-01-01 21:00,525.730,5.868
2020-01-01 21:00,2020-01-01 22:00,444.083,5.525
2020-01-01 22:00,2020-01-01 23:00,353.412,5.114
2020-01-01 23:00,2020-01-02 00:00,340.018,5.038
2020-01-02 00:00,2020-01-02 01:00,353.457,5.114
2020-01-02 01:00,2020-01-02 02:00,393.617,5.295
2020-01-02 02:00,2020-01-02 03:00,441.599,5.519
2020-01-02 03:00,2020-01-02 04:00,489.113,5.713
2020-01-02 04:00,2020-01-02 05:00,517.519,5.835
2020-01-02 05:00,2020-01-02 06:00,541.341,5.930
2020-01-02 06:00,2020-01-02 07:00,556.754,5.988
2020-01-02 07:00,2020-01-02 08:00,546.999,5.946
2020-01-02 08:00,2020-01-02 09:00,564.411,6.012
2020-01-02 09:00,2020-01-02 10:00,663.348,6.390
2020-01-02 10:00,2020-01-02 11:00,696.815,6.512
2020-01-02 11:00,2020-01-02 12:00,755.073,6.718
2020-01-02 12:00,2020-01-02 13:00,827.147,6.974
2020-01-02 13:00,2020-01-02 14:00,794.662,6.859
2020-01-02 14:00,2020-01-02 15:00,788.941,6.832
2020-01-02 15:00,2020-01-02 16:00,763.088,6.739
2020-01-02 16:00,2020-01-02 17:00,770.265,6.774
2020-01-02 17:00,2020-01-02 18:00,758.478,6.726
2020-01-02 18:00,2020-01-02 19:00,840.050,7.014
2020-01-02 19:00,2020-01-02 20:00,886.171,7.181
2020-01-02 20:00,2020-01-02 21:00,982.811,7.524
2020-01-02 21:00,2020-01-02 22:00,1075.809,7.865
2020-01-02 22:00,2020-01-02 23:00,1261.644,8.626
2020-01-02 23:00,2020-01-03 00:00,1298.974,8.793
2020-01-03 00:00,2020-01-03 01:00,1252.878,8.577
2020-01-03 01:00,2020-01-03 02:00,1368.206,9.139
2020-01-03 02:00,2020-01-03 03:00,1375.232,9.167
2020-01-03 03:00,2020-01-03 04:00,1406.793,9.348
2020-01-03 04:00,2020-01-03 05:00,1401.588,9.318
2020-01-03 05:00,2020-01-03 06:00,1365.243,9.123
2020-01-03 06:00,2020-01-03 07:00,1269.247,8.653
2020-01-03 07:00,2020-01-03 08:00,1227.933,8.479
2020-01-03 08:00,2020-01-03 09:00,1211.795,8.401
2020-01-03 09:00,2020-01-03 10:00,1270.877,8.664
2020-01-03 10:00,2020-01-03 11:00,1278.106,8.692
2020-01-03 11:00,2020-01-03 12:00,1273.673,8.674
2020-01-03 12:00,2020-01-03 13:00,1345.150,9.013
2020-01-03 13:00,2020-01-03 14:00,1261.395,8.625
2020-01-03 14:00,2020-01-03 15:00,1159.620,8.196
2020-01-03 15:00,2020-01-03 16:00,986.371,7.533
2020-01-03 16:00,2020-01-03 17:00,904.146,7.238
2020-01-03 17:00,2020-01-03 18:00,1118.974,8.028
2020-01-03 18:00,2020-01-03 19:00,1075.189,7.864
2020-01-03 19:00,2020-01-03 20:00,1046.930,7.756
2020-01-03 20:00,2020-01-03 21:00,1120.074,8.030
2020-01-03 21:00,2020-01-03 22:00,1194.089,8.326
2020-01-03 22:00,2020-01-03 23:00,1308.240,8.841
2020-01-03 23:00,2020-01-04 00:00,1382.621,9.215
2020-01-04 00:00,2020-01-04 01:00,1486.673,9.840
2020-01-04 01:00,2020-01-04 02:00,1533.343,10.172
2020-01-04 02:00,2020-01-04 03:00,1499.721,9.926
2020-01-04 03:00,2020-01-04 04:00,1432.084,9.486
2020-01-04 04:00,2020-01-04 05:00,1422.295,9.433
2020-01-04 05:00,2020-01-04 06:00,1565.204,10.438
2020-01-04 06:00,2020-01-04 07:00,1648.537,11.350
2020-01-04 07:00,2020-01-04 08:00,1687.239,11.984
2020-01-04 08:00,2020-01-04 09:00,1716.273,12.637
2020-01-04 09:00,2020-01-04 10:00,1729.675,13.033
2020-01-04 10:00,2020-01-04 11:00,1717.957,12.672
2020-01-04 11:00,2020-01-04 12:00,1672.120,11.721
2020-01-04 12:00,2020-01-04 13:00,1630.822,11.129
2020-01-04 13:00,2020-01-04 14:00,1585.038,10.622
2020-01-04 14:00,2020-01-04 15:00,1562.180,10.415
2020-01-04 15:00,2020-01-04 16:00,1562.340,10.416
2020-01-04 16:00,2020-01-04 17:00,1546.545,10.288
2020-01-04 17:00,2020-01-04 18:00,1514.638,10.038
2020-01-04 18:00,2020-01-04 19:00,1449.022,9.596
2020-01-04 19:00,2020-01-04 20:00,1349.078,9.036
2020-01-04 20:00,2020-01-04 21:00,1234.769,8.504
2020-01-04 21:00,2020-01-04 22:00,1179.953,8.274
2020-01-04 22:00,2020-01-04 23:00,1131.042,8.076
2020-01-04 23:00,2020-01-05 00:00,1073.130,7.857
2020-01-05 00:00,2020-01-05 01:00,1005.897,7.610
2020-01-05 01:00,2020-01-05 02:00,908.419,7.256
2020-01-05 02:00,2020-01-05 03:00,784.893,6.823
2020-01-05 03:00,2020-01-05 04:00,685.202,6.465
2020-01-05 04:00,2020-01-05 05:00,666.621,6.402
2020-01-05 05:00,2020-01-05 06:00,695.193,6.506
2020-01-05 06:00,2020-01-05 07:00,724.190,6.609
2020-01-05 07:00,2020-01-05 08:00,761.467,6.733
2020-01-05 08:00,2020-01-05 09:00,665.262,6.397
2020-01-05 09:00,2020-01-05 10:00,475.817,5.664
2020-01-05 10:00,2020-01-05 11:00,398.999,5.321
2020-01-05 11:00,2020-01-05 12:00,442.359,5.521
2020-01-05 12:00,2020-01-05 13:00,494.596,5.742
2020-01-05 13:00,2020-01-05 14:00,587.909,6.103
2020-01-05 14:00,2020-01-05 15:00,703.888,6.537
2020-01-05 15:00,2020-01-05 16:00,857.053,7.075
2020-01-05 16:00,2020-01-05 17:00,975.294,7.490
2020-01-05 17:00,2020-01-05 18:00,986.120,7.530
2020-01-05 18:00,2020-01-05 19:00,961.389,7.445
2020-01-05 19:00,2020-01-05 20:00,1011.127,7.624
2020-01-05 20:00,2020-01-05 21:00,1091.645,7.930
2020-01-05 21:00,2020-01-05 22:00,1111.743,8.004
2020-01-05 22:00,2020-01-05 23:00,1061.564,7.817
2020-01-05 23:00,2020-01-06 00:00,1016.850,7.641
2020-01-06 00:00,2020-01-06 01:00,959.854,7.437
2020-01-06 01:00,2020-01-06 02:00,1031.287,7.704
2020-01-06 02:00,2020-01-06 03:00,1024.453,7.669
2020-01-06 03:00,2020-01-06 04:00,961.390,7.446
2020-01-06 04:00,2020-01-06 05:00,885.450,7.175
2020-01-06 05:00,2020-01-06 06:00,940.671,7.368
2020-01-06 06:00,2020-01-06 07:00,920.991,7.306
2020-01-06 07:00,2020-01-06 08:00,920.949,7.306
2020-01-06 08:00,2020-01-06 09:00,853.005,7.066
2020-01-06 09:00,2020-01-06 10:00,759.502,6.728
2020-01-06 10:00,2020-01-06 11:00,636.304,6.291
2020-01-06 11:00,2020-01-06 12:00,600.889,6.159
2020-01-06 12:00,2020-01-06 13:00,556.643,5.980
2020-01-06 13:00,2020-01-06 14:00,521.696,5.852
2020-01-06 14:00,2020-01-06 15:00,674.190,6.426
2020-01-06 15:00,2020-01-06 16:00,900.016,7.231
2020-01-06 16:00,2020-01-06 17:00,1035.019,7.718
2020-01-06 17:00,2020-01-06 18:00,1070.045,7.844
2020-01-06 18:00,2020-01-06 19:00,1054.465,7.787
2020-01-06 19:00,2020-01-06 20:00,1023.200,7.664
2020-01-06 20:00,2020-01-06 21:00,955.813,7.430
2020-01-06 21:00,2020-01-06 22:00,851.574,7.060
2020-01-06 22:00,2020-01-06 23:00,749.372,6.690
2020-01-06 23:00,2020-01-07 00:00,703.198,6.535
2020-01-07 00:00,2020-01-07 01:00,691.214,6.482
2020-01-07 01:00,2020-01-07 02:00,653.172,6.347
2020-01-07 02:00,2020-01-07 03:00,634.877,6.286
2020-01-07 03:00,2020-01-07 04:00,658.867,6.367
2020-01-07 04:00,2020-01-07 05:00,674.161,6.424
2020-01-07 05:00,2020-01-07 06:00,820.170,6.945
2020-01-07 06:00,2020-01-07 07:00,916.530,7.285
2020-01-07 07:00,2020-01-07 08:00,957.652,7.433
2020-01-07 08:00,2020-01-07 09:00,930.600,7.335
2020-01-07 09:00,2020-01-07 10:00,835.368,7.002
2020-01-07 10:00,2020-01-07 11:00,777.531,6.799
2020-01-07 11:00,2020-01-07 12:00,776.425,6.796
2020-01-07 12:00,2020-01-07 13:00,879.137,7.148
2020-01-07 13:00,2020-01-07 14:00,954.280,7.417
2020-01-07 14:00,2020-01-07 15:00,1016.802,7.641
2020-01-07 15:00,2020-01-07 16:00,1093.801,7.939
2020-01-07 16:00,2020-01-07 17:00,1129.539,8.073
2020-01-07 17:00,2020-01-07 18:00,1204.506,8.380
2020-01-07 18:00,2020-01-07 19:00,1216.459,8.427
2020-01-07 19:00,2020-01-07 20:00,1187.709,8.307
2020-01-07 20:00,2020-01-07 21:00,1187.729,8.305
2020-01-07 21:00,2020-01-07 22:00,1187.702,8.308
2020-01-07 22:00,2020-01-07 23:00,1222.939,8.458
2020-01-07 23:00,2020-01-08 00:00,1315.775,8.876
2020-01-08 00:00,2020-01-08 01:00,1374.760,9.166
2020-01-08 01:00,2020-01-08 02:00,1376.355,9.181
2020-01-08 02:00,2020-01-08 03:00,1439.344,9.537
2020-01-08 03:00,2020-01-08 04:00,1584.968,10.626
2020-01-08 04:00,2020-01-08 05:00,1509.688,10.002
2020-01-08 05:00,2020-01-08 06:00,1489.863,9.862
2020-01-08 06:00,2020-01-08 07:00,1450.362,9.604
2020-01-08 07:00,2020-01-08 08:00,1356.315,9.077
2020-01-08 08:00,2020-01-08 09:00,1307.426,8.828
2020-01-08 09:00,2020-01-08 10:00,1293.299,8.764
2020-01-08 10:00,2020-01-08 11:00,1232.829,8.498
2020-01-08 11:00,2020-01-08 12:00,1205.054,8.382
2020-01-08 12:00,2020-01-08 13:00,1182.338,8.279
2020-01-08 13:00,2020-01-08 14:00,1132.971,8.083
2020-01-08 14:00,2020-01-08 15:00,1113.701,8.007
2020-01-08 15:00,2020-01-08 16:00,1016.649,7.640
2020-01-08 16:00,2020-01-08 17:00,930.601,7.335
2020-01-08 17:00,2020-01-08 18:00,838.764,7.008
2020-01-08 18:00,2020-01-08 19:00,757.370,6.724
2020-01-08 19:00,2020-01-08 20:00,628.312,6.256
2020-01-08 20:00,2020-01-08 21:00,477.159,5.670
2020-01-08 21:00,2020-01-08 22:00,348.770,5.091
2020-01-08 22:00,2020-01-08 23:00,227.745,4.415
2020-01-08 23:00,2020-01-09 00:00,142.369,3.804
2020-01-09 00:00,2020-01-09 01:00,82.245,3.213
2020-01-09 01:00,2020-01-09 02:00,78.937,3.184
2020-01-09 02:00,2020-01-09 03:00,107.784,3.483
2020-01-09 03:00,2020-01-09 04:00,131.955,3.706
