# Renewables.ninja Wind (Point API) - 52.374, 9.739 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.3744779", "lon": "9.7385532", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1895.57", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,262.823,4.530
2020-01-01 01:00,2020-01-01 02:00,268.428,4.570
2020-01-01 02:00,2020-01-01 03:00,277.199,4.614
2020-01-01 03:00,2020-01-01 04:00,277.658,4.616
2020-01-01 04:00,2020-01-01 05:00,258.866,4.516
2020-01-01 05:00,2020-01-01 06:00,244.272,4.431
2020-01-01 06:00,2020-01-01 07:00,254.382,4.490
2020-01-01 07:00,2020-01-01 08:00,304.674,4.765
2020-01-01 08:00,2020-01-01 09:00,333.513,4.911
2020-01-01 09:00,2020-01-01 10:00,261.772,4.526
2020-01-01 10:00,2020-01-01 11:00,212.467,4.235
2020-01-01 11:00,2020-01-01 12:00,256.790,4.504
2020-01-01 12:00,2020-01-01 13:00,312.641,4.797
2020-01-01 13:00,2020-01-01 14:00,344.891,4.967
2020-01-01 14:00,2020-01-01 15:00,521.624,5.724
2020-01-01 15:00,2020-01-01 16:00,749.848,6.540
2020-01-01 16:00,2020-01-01 17:00,968.896,7.259
2020-01-01 17:00,2020-01-01 18:00,1122.122,7.787
2020-01-01 18:00,2020-01-01 19:00,1187.676,8.022
2020-01-01 19:00,2020-01-01 20:00,1172.560,7.969
2020-01-01 20:00,2020-01-01 21:00,1080.968,7.639
2020-01-01 21:00,2020-01-01 22:00,937.029,7.161
2020-01-01 22:00,2020-01-01 23:00,823.495,6.786
2020-01-01 23:00,2020-01-02 00:00,753.299,6.552
2020-01-02 00:00,2020-01-02 01:00,694.137,6.345
2020-01-02 01:00,2020-01-02 02:00,671.936,6.273
2020-01-02 02:00,2020-01-02 03:00,693.903,6.345
2020-01-02 03:00,2020-01-02 04:00,699.656,6.365
2020-01-02 04:00,2020-01-02 05:00,691.279,6.340
2020-01-02 05:00,2020-01-02 06:00,665.292,6.244
2020-01-02 06:00,2020-01-02 07:00,625.304,6.099
2020-01-02 07:00,2020-01-02 08:00,590.547,5.973
2020-01-02 08:00,2020-01-02 09:00,590.758,5.974
2020-01-02 09:00,2020-01-02 10:00,577.047,5.933
2020-01-02 10:00,2020-01-02 11:00,691.919,6.341
2020-01-02 11:00,2020-01-02 12:00,731.191,6.473
2020-01-02 12:00,2020-01-02 13:00,769.899,6.599
2020-01-02 13:00,2020-01-02 14:00,664.058,6.236
2020-01-02 14:00,2020-01-02 15:00,757.213,6.565
2020-01-02 15:00,2020-01-02 16:00,942.271,7.177
2020-01-02 16:00,2020-01-02 17:00,1017.140,7.429
2020-01-02 17:00,2020-01-02 18:00,986.289,7.323
2020-01-02 18:00,2020-01-02 19:00,964.533,7.252
