# Renewables.ninja Wind (Point API) - 54.323, 10.136 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.3227085", "lon": "10.135555", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "2116.68", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,1275.086,7.850
2020-01-01 01:00,2020-01-01 02:00,1268.870,7.839
2020-01-01 02:00,2020-01-01 03:00,1302.675,7.948
2020-01-01 03:00,2020-01-01 04:00,1332.597,8.043
2020-01-01 04:00,2020-01-01 05:00,1373.037,8.170
2020-01-01 05:00,2020-01-01 06:00,1407.669,8.294
2020-01-01 06:00,2020-01-01 07:00,1469.191,8.508
2020-01-01 07:00,2020-01-01 08:00,1490.985,8.596
2020-01-01 08:00,2020-01-01 09:00,1399.765,8.265
2020-01-01 09:00,2020-01-01 10:00,1231.158,7.722
2020-01-01 10:00,2020-01-01 11:00,1219.921,7.687
2020-01-01 11:00,2020-01-01 12:00,1308.579,7.967
2020-01-01 12:00,2020-01-01 13:00,1307.943,7.965
2020-01-01 13:00,2020-01-01 14:00,1243.664,7.755
2020-01-01 14:00,2020-01-01 15:00,1194.994,7.608
2020-01-01 15:00,2020-01-01 16:00,1214.797,7.661
2020-01-01 16:00,2020-01-01 17:00,1259.128,7.809
2020-01-01 17:00,2020-01-01 18:00,1301.573,7.944
2020-01-01 18:00,2020-01-01 19:00,1399.740,8.267
2020-01-01 19:00,2020-01-01 20:00,1331.649,8.041
2020-01-01 20:00,2020-01-01 21:00,1255.090,7.797
2020-01-01 21:00,2020-01-01 22:00,1201.509,7.627
2020-01-01 22:00,2020-01-01 23:00,1093.229,7.302
2020-01-01 23:00,2020-01-02 00:00,1095.650,7.310
2020-01-02 00:00,2020-01-02 01:00,1172.091,7.540
2020-01-02 01:00,2020-01-02 02:00,1280.619,7.869
2020-01-02 02:00,2020-01-02 03:00,1324.925,8.019
2020-01-02 03:00,2020-01-02 04:00,1367.365,8.150
2020-01-02 04:00,2020-01-02 05:00,1393.906,8.246
2020-01-02 05:00,2020-01-02 06:00,1425.694,8.357
2020-01-02 06:00,2020-01-02 07:00,1455.709,8.467
2020-01-02 07:00,2020-01-02 08:00,1470.443,8.520
2020-01-02 08:00,2020-01-02 09:00,1488.484,8.576
2020-01-02 09:00,2020-01-02 10:00,1529.285,8.735
2020-01-02 10:00,2020-01-02 11:00,1554.518,8.836
2020-01-02 11:00,2020-01-02 12:00,1620.358,9.115
2020-01-02 12:00,2020-01-02 13:00,1684.368,9.399
