# Renewables.ninja Wind (Point API) - 52.132, 11.640 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.1315889", "lon": "11.6399609", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1865.4", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,363.220,5.081
2020-01-01 01:00,2020-01-01 02:00,363.569,5.083
2020-01-01 02:00,2020-01-01 03:00,352.560,5.026
2020-01-01 03:00,2020-01-01 04:00,347.490,5.006
2020-01-01 04:00,2020-01-01 05:00,345.002,4.994
2020-01-01 05:00,2020-01-01 06:00,357.664,5.046
2020-01-01 06:00,2020-01-01 07:00,367.030,5.099
2020-01-01 07:00,2020-01-01 08:00,381.783,5.168
2020-01-01 08:00,2020-01-01 09:00,321.286,4.869
2020-01-01 09:00,2020-01-01 10:00,232.589,4.374
2020-01-01 10:00,2020-01-01 11:00,208.903,4.234
2020-01-01 11:00,2020-01-01 12:00,212.084,4.254
2020-01-01 12:00,2020-01-01 13:00,254.391,4.514
2020-01-01 13:00,2020-01-01 14:00,323.912,4.886
2020-01-01 14:00,2020-01-01 15:00,495.195,5.652
2020-01-01 15:00,2020-01-01 16:00,699.188,6.406
2020-01-01 16:00,2020-01-01 17:00,865.880,6.973
2020-01-01 17:00,2020-01-01 18:00,975.436,7.341
2020-01-01 18:00,2020-01-01 19:00,1053.129,7.609
2020-01-01 19:00,2020-01-01 20:00,1082.971,7.715
2020-01-01 20:00,2020-01-01 21:00,1053.135,7.606
2020-01-01 21:00,2020-01-01 22:00,979.971,7.349
2020-01-01 22:00,2020-01-01 23:00,882.033,7.028
2020-01-01 23:00,2020-01-02 00:00,784.819,6.696
2020-01-02 00:00,2020-01-02 01:00,654.716,6.245
2020-01-02 01:00,2020-01-02 02:00,559.676,5.902
2020-01-02 02:00,2020-01-02 03:00,568.045,5.934
2020-01-02 03:00,2020-01-02 04:00,602.038,6.058
2020-01-02 04:00,2020-01-02 05:00,631.028,6.163
2020-01-02 05:00,2020-01-02 06:00,685.879,6.351
2020-01-02 06:00,2020-01-02 07:00,744.915,6.564
2020-01-02 07:00,2020-01-02 08:00,805.486,6.765
2020-01-02 08:00,2020-01-02 09:00,694.807,6.391
2020-01-02 09:00,2020-01-02 10:00,454.639,5.486
2020-01-02 10:00,2020-01-02 11:00,396.950,5.237
2020-01-02 11:00,2020-01-02 12:00,462.125,5.518
2020-01-02 12:00,2020-01-02 13:00,517.218,5.739
2020-01-02 13:00,2020-01-02 14:00,627.837,6.154
2020-01-02 14:00,2020-01-02 15:00,812.449,6.793
2020-01-02 15:00,2020-01-02 16:00,959.815,7.286
2020-01-02 16:00,2020-01-02 17:00,1053.134,7.606
2020-01-02 17:00,2020-01-02 18:00,1073.165,7.674
2020-01-02 18:00,2020-01-02 19:00,1066.475,7.647
2020-01-02 19:00,2020-01-02 20:00,1039.117,7.561
2020-01-02 20:00,2020-01-02 21:00,1011.481,7.466
2020-01-02 21:00,2020-01-02 22:00,993.739,7.395
2020-01-02 22:00,2020-01-02 23:00,1046.716,7.579
2020-01-02 23:00,2020-01-03 00:00,1137.641,7.906
2020-01-03 00:00,2020-01-03 01:00,1256.499,8.352
2020-01-03 01:00,2020-01-03 02:00,1229.640,8.252
2020-01-03 02:00,2020-01-03 03:00,1184.266,8.076
2020-01-03 03:00,2020-01-03 04:00,1157.635,7.982
2020-01-03 04:00,2020-01-03 05:00,1186.449,8.086
2020-01-03 05:00,2020-01-03 06:00,1273.141,8.418
2020-01-03 06:00,2020-01-03 07:00,1358.921,8.781
2020-01-03 07:00,2020-01-03 08:00,1476.485,9.365
2020-01-03 08:00,2020-01-03 09:00,1387.620,8.915
2020-01-03 09:00,2020-01-03 10:00,1225.310,8.234
2020-01-03 10:00,2020-01-03 11:00,1191.018,8.099
2020-01-03 11:00,2020-01-03 12:00,1198.553,8.136
2020-01-03 12:00,2020-01-03 13:00,1219.347,8.215
2020-01-03 13:00,2020-01-03 14:00,1305.505,8.559
2020-01-03 14:00,2020-01-03 15:00,1500.930,9.496
2020-01-03 15:00,2020-01-03 16:00,1611.943,10.228
2020-01-03 16:00,2020-01-03 17:00,1634.747,10.405
2020-01-03 17:00,2020-01-03 18:00,1598.958,10.131
2020-01-03 18:00,2020-01-03 19:00,1578.990,9.988
2020-01-03 19:00,2020-01-03 20:00,1531.564,9.674
2020-01-03 20:00,2020-01-03 21:00,1477.502,9.371
2020-01-03 21:00,2020-01-03 22:00,1484.923,9.400
2020-01-03 22:00,2020-01-03 23:00,1329.142,8.656
2020-01-03 23:00,2020-01-04 00:00,1178.750,8.061
2020-01-04 00:00,2020-01-04 01:00,1146.442,7.942
2020-01-04 01:00,2020-01-04 02:00,1211.910,8.187
2020-01-04 02:00,2020-01-04 03:00,1389.330,8.919
2020-01-04 03:00,2020-01-04 04:00,1422.992,9.090
2020-01-04 04:00,2020-01-04 05:00,1464.790,9.303
2020-01-04 05:00,2020-01-04 06:00,1423.177,9.091
2020-01-04 06:00,2020-01-04 07:00,1427.216,9.111
2020-01-04 07:00,2020-01-04 08:00,1550.566,9.799
2020-01-04 08:00,2020-01-04 09:00,1692.826,10.961
2020-01-04 09:00,2020-01-04 10:00,1742.753,11.582
2020-01-04 10:00,2020-01-04 11:00,1774.150,12.126
2020-01-04 11:00,2020-01-04 12:00,1800.341,12.715
2020-01-04 12:00,2020-01-04 13:00,1811.302,13.031
2020-01-04 13:00,2020-01-04 14:00,1788.653,12.419
2020-01-04 14:00,2020-01-04 15:00,1720.933,11.286
2020-01-04 15:00,2020-01-04 16:00,1626.144,10.339
2020-01-04 16:00,2020-01-04 17:00,1612.211,10.230
2020-01-04 17:00,2020-01-04 18:00,1582.597,10.013
2020-01-04 18:00,2020-01-04 19:00,1538.213,9.722
2020-01-04 19:00,2020-01-04 20:00,1445.099,9.195
2020-01-04 20:00,2020-01-04 21:00,1338.348,8.700
2020-01-04 21:00,2020-01-04 22:00,1233.641,8.260
2020-01-04 22:00,2020-01-04 23:00,1131.593,7.888
2020-01-04 23:00,2020-01-05 00:00,1064.951,7.641
2020-01-05 00:00,2020-01-05 01:00,986.306,7.377
2020-01-05 01:00,2020-01-05 02:00,868.912,6.982
2020-01-05 02:00,2020-01-05 03:00,800.964,6.745
2020-01-05 03:00,2020-01-05 04:00,705.966,6.421
2020-01-05 04:00,2020-01-05 05:00,606.191,6.073
2020-01-05 05:00,2020-01-05 06:00,501.588,5.678
2020-01-05 06:00,2020-01-05 07:00,432.075,5.391
2020-01-05 07:00,2020-01-05 08:00,346.396,5.001
2020-01-05 08:00,2020-01-05 09:00,256.997,4.525
2020-01-05 09:00,2020-01-05 10:00,204.877,4.207
2020-01-05 10:00,2020-01-05 11:00,208.214,4.229
2020-01-05 11:00,2020-01-05 12:00,229.244,4.362
2020-01-05 12:00,2020-01-05 13:00,252.560,4.503
2020-01-05 13:00,2020-01-05 14:00,325.072,4.896
2020-01-05 14:00,2020-01-05 15:00,540.603,5.830
2020-01-05 15:00,2020-01-05 16:00,792.020,6.722
2020-01-05 16:00,2020-01-05 17:00,912.429,7.126
2020-01-05 17:00,2020-01-05 18:00,912.057,7.119
2020-01-05 18:00,2020-01-05 19:00,887.125,7.045
2020-01-05 19:00,2020-01-05 20:00,885.031,7.038
2020-01-05 20:00,2020-01-05 21:00,876.521,7.005
2020-01-05 21:00,2020-01-05 22:00,858.904,6.945
2020-01-05 22:00,2020-01-05 23:00,805.133,6.759
2020-01-05 23:00,2020-01-06 00:00,758.372,6.607
2020-01-06 00:00,2020-01-06 01:00,752.459,6.582
2020-01-06 01:00,2020-01-06 02:00,778.963,6.680
2020-01-06 02:00,2020-01-06 03:00,814.601,6.801
2020-01-06 03:00,2020-01-06 04:00,858.895,6.944
2020-01-06 04:00,2020-01-06 05:00,927.372,7.180
2020-01-06 05:00,2020-01-06 06:00,962.938,7.301
2020-01-06 06:00,2020-01-06 07:00,963.472,7.302
2020-01-06 07:00,2020-01-06 08:00,934.627,7.205
2020-01-06 08:00,2020-01-06 09:00,797.997,6.735
2020-01-06 09:00,2020-01-06 10:00,569.643,5.940
2020-01-06 10:00,2020-01-06 11:00,432.045,5.391
2020-01-06 11:00,2020-01-06 12:00,403.695,5.267
2020-01-06 12:00,2020-01-06 13:00,420.953,5.343
2020-01-06 13:00,2020-01-06 14:00,466.443,5.528
2020-01-06 14:00,2020-01-06 15:00,627.361,6.152
2020-01-06 15:00,2020-01-06 16:00,799.168,6.739
2020-01-06 16:00,2020-01-06 17:00,934.032,7.203
2020-01-06 17:00,2020-01-06 18:00,1036.610,7.553
2020-01-06 18:00,2020-01-06 19:00,1106.183,7.797
2020-01-06 19:00,2020-01-06 20:00,1106.688,7.799
2020-01-06 20:00,2020-01-06 21:00,1040.628,7.567
2020-01-06 21:00,2020-01-06 22:00,908.851,7.114
2020-01-06 22:00,2020-01-06 23:00,761.612,6.616
2020-01-06 23:00,2020-01-07 00:00,680.085,6.330
2020-01-07 00:00,2020-01-07 01:00,683.385,6.346
2020-01-07 01:00,2020-01-07 02:00,703.052,6.415
2020-01-07 02:00,2020-01-07 03:00,745.153,6.565
2020-01-07 03:00,2020-01-07 04:00,819.999,6.819
2020-01-07 04:00,2020-01-07 05:00,890.039,7.055
2020-01-07 05:00,2020-01-07 06:00,927.929,7.181
2020-01-07 06:00,2020-01-07 07:00,906.490,7.106
2020-01-07 07:00,2020-01-07 08:00,872.403,6.988
2020-01-07 08:00,2020-01-07 09:00,844.042,6.895
2020-01-07 09:00,2020-01-07 10:00,826.236,6.836
2020-01-07 10:00,2020-01-07 11:00,744.188,6.561
2020-01-07 11:00,2020-01-07 12:00,646.268,6.214
2020-01-07 12:00,2020-01-07 13:00,605.517,6.071
2020-01-07 13:00,2020-01-07 14:00,703.004,6.415
2020-01-07 14:00,2020-01-07 15:00,826.006,6.830
2020-01-07 15:00,2020-01-07 16:00,924.916,7.166
2020-01-07 16:00,2020-01-07 17:00,986.301,7.374
2020-01-07 17:00,2020-01-07 18:00,995.255,7.410
2020-01-07 18:00,2020-01-07 19:00,1042.259,7.571
2020-01-07 19:00,2020-01-07 20:00,1104.268,7.786
2020-01-07 20:00,2020-01-07 21:00,995.100,7.407
2020-01-07 21:00,2020-01-07 22:00,924.495,7.165
2020-01-07 22:00,2020-01-07 23:00,912.415,7.123
2020-01-07 23:00,2020-01-08 00:00,911.650,7.119
2020-01-08 00:00,2020-01-08 01:00,935.544,7.208
2020-01-08 01:00,2020-01-08 02:00,986.307,7.377
2020-01-08 02:00,2020-01-08 03:00,1069.401,7.657
2020-01-08 03:00,2020-01-08 04:00,1158.136,7.982
2020-01-08 04:00,2020-01-08 05:00,1245.618,8.314
2020-01-08 05:00,2020-01-08 06:00,1339.117,8.702
2020-01-08 06:00,2020-01-08 07:00,1393.854,8.950
2020-01-08 07:00,2020-01-08 08:00,1402.307,8.985
2020-01-08 08:00,2020-01-08 09:00,1458.433,9.259
2020-01-08 09:00,2020-01-08 10:00,1382.638,8.894
2020-01-08 10:00,2020-01-08 11:00,1381.592,8.892
2020-01-08 11:00,2020-01-08 12:00,1267.186,8.396
2020-01-08 12:00,2020-01-08 13:00,1133.381,7.892
2020-01-08 13:00,2020-01-08 14:00,1103.070,7.778
2020-01-08 14:00,2020-01-08 15:00,1129.366,7.874
2020-01-08 15:00,2020-01-08 16:00,1162.256,7.994
2020-01-08 16:00,2020-01-08 17:00,1098.658,7.763
2020-01-08 17:00,2020-01-08 18:00,1114.247,7.823
2020-01-08 18:00,2020-01-08 19:00,990.405,7.387
2020-01-08 19:00,2020-01-08 20:00,906.778,7.110
2020-01-08 20:00,2020-01-08 21:00,873.752,6.991
2020-01-08 21:00,2020-01-08 22:00,864.865,6.967
2020-01-08 22:00,2020-01-08 23:00,869.607,6.983
2020-01-08 23:00,2020-01-09 00:00,814.622,6.801
2020-01-09 00:00,2020-01-09 01:00,758.352,6.605
2020-01-09 01:00,2020-01-09 02:00,762.022,6.616
2020-01-09 02:00,2020-01-09 03:00,797.447,6.733
2020-01-09 03:00,2020-01-09 04:00,788.426,6.706
2020-01-09 04:00,2020-01-09 05:00,772.546,6.658
2020-01-09 05:00,2020-01-09 06:00,771.062,6.653
2020-01-09 06:00,2020-01-09 07:00,805.524,6.770
2020-01-09 07:00,2020-01-09 08:00,904.045,7.096
2020-01-09 08:00,2020-01-09 09:00,986.310,7.379
2020-01-09 09:00,2020-01-09 10:00,1008.637,7.456
2020-01-09 10:00,2020-01-09 11:00,947.983,7.241
2020-01-09 11:00,2020-01-09 12:00,1030.818,7.526
2020-01-09 12:00,2020-01-09 13:00,1167.686,8.012
2020-01-09 13:00,2020-01-09 14:00,1173.065,8.034
2020-01-09 14:00,2020-01-09 15:00,1186.589,8.090
2020-01-09 15:00,2020-01-09 16:00,1243.812,8.306
2020-01-09 16:00,2020-01-09 17:00,1250.982,8.328
2020-01-09 17:00,2020-01-09 18:00,1228.419,8.248
2020-01-09 18:00,2020-01-09 19:00,1256.488,8.353
2020-01-09 19:00,2020-01-09 20:00,1246.854,8.316
2020-01-09 20:00,2020-01-09 21:00,1214.926,8.198
2020-01-09 21:00,2020-01-09 22:00,1210.260,8.174
2020-01-09 22:00,2020-01-09 23:00,1146.274,7.942
2020-01-09 23:00,2020-01-10 00:00,1186.441,8.087
2020-01-10 00:00,2020-01-10 01:00,1217.888,8.209
2020-01-10 01:00,2020-01-10 02:00,1154.692,7.972
2020-01-10 02:00,2020-01-10 03:00,1246.201,8.315
2020-01-10 03:00,2020-01-10 04:00,1320.272,8.622
2020-01-10 04:00,2020-01-10 05:00,1093.011,7.746
2020-01-10 05:00,2020-01-10 06:00,1068.210,7.653
2020-01-10 06:00,2020-01-10 07:00,1096.201,7.756
2020-01-10 07:00,2020-01-10 08:00,1201.254,8.143
2020-01-10 08:00,2020-01-10 09:00,1168.082,8.021
2020-01-10 09:00,2020-01-10 10:00,1049.501,7.594
2020-01-10 10:00,2020-01-10 11:00,1243.852,8.302
2020-01-10 11:00,2020-01-10 12:00,1472.041,9.341
2020-01-10 12:00,2020-01-10 13:00,1453.395,9.236
2020-01-10 13:00,2020-01-10 14:00,1338.989,8.701
2020-01-10 14:00,2020-01-10 15:00,1295.878,8.520
2020-01-10 15:00,2020-01-10 16:00,1343.822,8.724
2020-01-10 16:00,2020-01-10 17:00,1370.046,8.831
2020-01-10 17:00,2020-01-10 18:00,1419.729,9.074
2020-01-10 18:00,2020-01-10 19:00,1506.550,9.533
2020-01-10 19:00,2020-01-10 20:00,1506.479,9.532
2020-01-10 20:00,2020-01-10 21:00,1437.204,9.154
2020-01-10 21:00,2020-01-10 22:00,1335.022,8.683
2020-01-10 22:00,2020-01-10 23:00,1268.944,8.407
2020-01-10 23:00,2020-01-11 00:00,1210.905,8.183
2020-01-11 00:00,2020-01-11 01:00,1144.250,7.934
2020-01-11 01:00,2020-01-11 02:00,1127.266,7.866
2020-01-11 02:00,2020-01-11 03:00,1037.949,7.557
2020-01-11 03:00,2020-01-11 04:00,963.962,7.304
2020-01-11 04:00,2020-01-11 05:00,876.359,7.004
2020-01-11 05:00,2020-01-11 06:00,776.288,6.666
2020-01-11 06:00,2020-01-11 07:00,660.702,6.271
2020-01-11 07:00,2020-01-11 08:00,504.528,5.689
2020-01-11 08:00,2020-01-11 09:00,370.301,5.115
2020-01-11 09:00,2020-01-11 10:00,354.355,5.030
2020-01-11 10:00,2020-01-11 11:00,378.480,5.153
2020-01-11 11:00,2020-01-11 12:00,487.585,5.622
2020-01-11 12:00,2020-01-11 13:00,615.740,6.107
2020-01-11 13:00,2020-01-11 14:00,717.617,6.469
2020-01-11 14:00,2020-01-11 15:00,950.647,7.254
2020-01-11 15:00,2020-01-11 16:00,1118.274,7.831
2020-01-11 16:00,2020-01-11 17:00,1094.146,7.752
2020-01-11 17:00,2020-01-11 18:00,1093.023,7.742
2020-01-11 18:00,2020-01-11 19:00,1137.639,7.907
2020-01-11 19:00,2020-01-11 20:00,1178.452,8.053
2020-01-11 20:00,2020-01-11 21:00,1191.763,8.107
2020-01-11 21:00,2020-01-11 22:00,1178.539,8.061
2020-01-11 22:00,2020-01-11 23:00,1154.184,7.970
2020-01-11 23:00,2020-01-12 00:00,1134.655,7.895
2020-01-12 00:00,2020-01-12 01:00,1111.181,7.815
2020-01-12 01:00,2020-01-12 02:00,1077.327,7.695
2020-01-12 02:00,2020-01-12 03:00,1052.819,7.599
2020-01-12 03:00,2020-01-12 04:00,1078.757,7.700
2020-01-12 04:00,2020-01-12 05:00,1118.434,7.840
2020-01-12 05:00,2020-01-12 06:00,1115.659,7.825
2020-01-12 06:00,2020-01-12 07:00,1083.169,7.715
2020-01-12 07:00,2020-01-12 08:00,1073.159,7.676
2020-01-12 08:00,2020-01-12 09:00,1093.025,7.742
2020-01-12 09:00,2020-01-12 10:00,962.283,7.298
2020-01-12 10:00,2020-01-12 11:00,1243.815,8.305
2020-01-12 11:00,2020-01-12 12:00,1408.565,9.019
2020-01-12 12:00,2020-01-12 13:00,1400.547,8.981
2020-01-12 13:00,2020-01-12 14:00,1360.273,8.793
2020-01-12 14:00,2020-01-12 15:00,1385.251,8.907
2020-01-12 15:00,2020-01-12 16:00,1408.568,9.019
2020-01-12 16:00,2020-01-12 17:00,1504.468,9.514
2020-01-12 17:00,2020-01-12 18:00,1588.916,10.058
2020-01-12 18:00,2020-01-12 19:00,1583.150,10.017
2020-01-12 19:00,2020-01-12 20:00,1585.592,10.034
2020-01-12 20:00,2020-01-12 21:00,1593.471,10.080
2020-01-12 21:00,2020-01-12 22:00,1621.924,10.306
2020-01-12 22:00,2020-01-12 23:00,1604.610,10.166
2020-01-12 23:00,2020-01-13 00:00,1534.337,9.688
2020-01-13 00:00,2020-01-13 01:00,1448.311,9.217
2020-01-13 01:00,2020-01-13 02:00,1322.335,8.631
2020-01-13 02:00,2020-01-13 03:00,1189.501,8.096
2020-01-13 03:00,2020-01-13 04:00,1104.268,7.786
2020-01-13 04:00,2020-01-13 05:00,970.804,7.324
2020-01-13 05:00,2020-01-13 06:00,893.596,7.067
2020-01-13 06:00,2020-01-13 07:00,838.123,6.878
2020-01-13 07:00,2020-01-13 08:00,801.325,6.746
2020-01-13 08:00,2020-01-13 09:00,747.385,6.571
2020-01-13 09:00,2020-01-13 10:00,663.258,6.280
2020-01-13 10:00,2020-01-13 11:00,610.178,6.083
2020-01-13 11:00,2020-01-13 12:00,596.552,6.036
2020-01-13 12:00,2020-01-13 13:00,615.694,6.104
2020-01-13 13:00,2020-01-13 14:00,618.786,6.121
2020-01-13 14:00,2020-01-13 15:00,757.956,6.599
2020-01-13 15:00,2020-01-13 16:00,933.192,7.195
2020-01-13 16:00,2020-01-13 17:00,986.304,7.376
2020-01-13 17:00,2020-01-13 18:00,1006.787,7.441
