# Renewables.ninja Wind (Point API) - 50.001, 8.276 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "50.0012314", "lon": "8.2762513", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "2152.97", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,479.095,5.308
2020-01-01 01:00,2020-01-01 02:00,443.682,5.180
2020-01-01 02:00,2020-01-01 03:00,436.063,5.150
2020-01-01 03:00,2020-01-01 04:00,437.417,5.155
2020-01-01 04:00,2020-01-01 05:00,448.504,5.195
2020-01-01 05:00,2020-01-01 06:00,466.985,5.271
2020-01-01 06:00,2020-01-01 07:00,500.346,5.397
2020-01-01 07:00,2020-01-01 08:00,537.982,5.527
2020-01-01 08:00,2020-01-01 09:00,433.531,5.140
2020-01-01 09:00,2020-01-01 10:00,307.239,4.582
2020-01-01 10:00,2020-01-01 11:00,240.204,4.229
2020-01-01 11:00,2020-01-01 12:00,187.014,3.895
2020-01-01 12:00,2020-01-01 13:00,158.246,3.698
2020-01-01 13:00,2020-01-01 14:00,153.090,3.668
2020-01-01 14:00,2020-01-01 15:00,187.767,3.900
2020-01-01 15:00,2020-01-01 16:00,249.308,4.275
2020-01-01 16:00,2020-01-01 17:00,325.439,4.662
2020-01-01 17:00,2020-01-01 18:00,385.231,4.939
2020-01-01 18:00,2020-01-01 19:00,439.443,5.163
2020-01-01 19:00,2020-01-01 20:00,477.818,5.303
2020-01-01 20:00,2020-01-01 21:00,466.403,5.269
2020-01-01 21:00,2020-01-01 22:00,391.470,4.966
2020-01-01 22:00,2020-01-01 23:00,277.971,4.434
2020-01-01 23:00,2020-01-02 00:00,172.286,3.805
2020-01-02 00:00,2020-01-02 01:00,106.706,3.290
2020-01-02 01:00,2020-01-02 02:00,87.938,3.109
2020-01-02 02:00,2020-01-02 03:00,96.581,3.193
2020-01-02 03:00,2020-01-02 04:00,121.970,3.423
2020-01-02 04:00,2020-01-02 05:00,169.476,3.786
2020-01-02 05:00,2020-01-02 06:00,223.113,4.120
2020-01-02 06:00,2020-01-02 07:00,282.088,4.455
2020-01-02 07:00,2020-01-02 08:00,333.751,4.709
2020-01-02 08:00,2020-01-02 09:00,348.594,4.774
2020-01-02 09:00,2020-01-02 10:00,342.217,4.748
2020-01-02 10:00,2020-01-02 11:00,343.968,4.756
2020-01-02 11:00,2020-01-02 12:00,352.194,4.784
2020-01-02 12:00,2020-01-02 13:00,360.431,4.830
2020-01-02 13:00,2020-01-02 14:00,377.105,4.904
2020-01-02 14:00,2020-01-02 15:00,450.177,5.198
2020-01-02 15:00,2020-01-02 16:00,567.133,5.637
2020-01-02 16:00,2020-01-02 17:00,650.654,5.918
2020-01-02 17:00,2020-01-02 18:00,688.481,6.033
2020-01-02 18:00,2020-01-02 19:00,785.094,6.336
2020-01-02 19:00,2020-01-02 20:00,798.426,6.380
2020-01-02 20:00,2020-01-02 21:00,838.836,6.502
2020-01-02 21:00,2020-01-02 22:00,912.561,6.711
2020-01-02 22:00,2020-01-02 23:00,939.351,6.798
2020-01-02 23:00,2020-01-03 00:00,953.595,6.835
2020-01-03 00:00,2020-01-03 01:00,995.552,6.956
2020-01-03 01:00,2020-01-03 02:00,996.209,6.957
2020-01-03 02:00,2020-01-03 03:00,1037.589,7.077
2020-01-03 03:00,2020-01-03 04:00,1238.588,7.680
2020-01-03 04:00,2020-01-03 05:00,1208.847,7.587
2020-01-03 05:00,2020-01-03 06:00,1250.168,7.715
2020-01-03 06:00,2020-01-03 07:00,1152.258,7.416
2020-01-03 07:00,2020-01-03 08:00,1108.772,7.293
2020-01-03 08:00,2020-01-03 09:00,1147.646,7.397
2020-01-03 09:00,2020-01-03 10:00,1171.333,7.478
2020-01-03 10:00,2020-01-03 11:00,1309.190,7.894
2020-01-03 11:00,2020-01-03 12:00,1169.519,7.472
2020-01-03 12:00,2020-01-03 13:00,1544.705,8.698
2020-01-03 13:00,2020-01-03 14:00,1664.588,9.183
2020-01-03 14:00,2020-01-03 15:00,1723.320,9.453
2020-01-03 15:00,2020-01-03 16:00,1754.716,9.613
2020-01-03 16:00,2020-01-03 17:00,1720.077,9.435
2020-01-03 17:00,2020-01-03 18:00,1701.272,9.352
2020-01-03 18:00,2020-01-03 19:00,1682.563,9.258
2020-01-03 19:00,2020-01-03 20:00,1603.343,8.919
2020-01-03 20:00,2020-01-03 21:00,1527.584,8.636
2020-01-03 21:00,2020-01-03 22:00,1458.741,8.390
2020-01-03 22:00,2020-01-03 23:00,1362.254,8.067
2020-01-03 23:00,2020-01-04 00:00,1273.183,7.778
2020-01-04 00:00,2020-01-04 01:00,1077.060,7.196
2020-01-04 01:00,2020-01-04 02:00,1008.507,6.999
2020-01-04 02:00,2020-01-04 03:00,838.220,6.495
2020-01-04 03:00,2020-01-04 04:00,674.929,5.996
2020-01-04 04:00,2020-01-04 05:00,602.042,5.756
2020-01-04 05:00,2020-01-04 06:00,589.994,5.706
2020-01-04 06:00,2020-01-04 07:00,602.552,5.758
2020-01-04 07:00,2020-01-04 08:00,697.609,6.069
2020-01-04 08:00,2020-01-04 09:00,905.844,6.700
2020-01-04 09:00,2020-01-04 10:00,896.300,6.666
2020-01-04 10:00,2020-01-04 11:00,892.510,6.660
2020-01-04 11:00,2020-01-04 12:00,1163.580,7.455
2020-01-04 12:00,2020-01-04 13:00,1274.516,7.783
2020-01-04 13:00,2020-01-04 14:00,1385.402,8.141
2020-01-04 14:00,2020-01-04 15:00,1490.191,8.491
2020-01-04 15:00,2020-01-04 16:00,1544.832,8.690
2020-01-04 16:00,2020-01-04 17:00,1590.980,8.879
2020-01-04 17:00,2020-01-04 18:00,1549.069,8.708
2020-01-04 18:00,2020-01-04 19:00,1542.428,8.686
2020-01-04 19:00,2020-01-04 20:00,1464.609,8.404
