# Renewables.ninja Wind (Point API) - 48.137, 11.575 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "48.1371079", "lon": "11.5753822", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "2021.19", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,219.050,4.189
2020-01-01 01:00,2020-01-01 02:00,316.687,4.725
2020-01-01 02:00,2020-01-01 03:00,352.085,4.895
2020-01-01 03:00,2020-01-01 04:00,388.044,5.048
2020-01-01 04:00,2020-01-01 05:00,468.164,5.391
2020-01-01 05:00,2020-01-01 06:00,475.726,5.421
2020-01-01 06:00,2020-01-01 07:00,451.347,5.314
2020-01-01 07:00,2020-01-01 08:00,418.003,5.186
2020-01-01 08:00,2020-01-01 09:00,334.467,4.803
2020-01-01 09:00,2020-01-01 10:00,262.809,4.444
2020-01-01 10:00,2020-01-01 11:00,231.574,4.265
2020-01-01 11:00,2020-01-01 12:00,214.232,4.153
2020-01-01 12:00,2020-01-01 13:00,241.801,4.325
2020-01-01 13:00,2020-01-01 14:00,343.873,4.856
2020-01-01 14:00,2020-01-01 15:00,567.073,5.763
2020-01-01 15:00,2020-01-01 16:00,780.431,6.475
2020-01-01 16:00,2020-01-01 17:00,850.324,6.693
2020-01-01 17:00,2020-01-01 18:00,716.481,6.273
2020-01-01 18:00,2020-01-01 19:00,543.416,5.677
2020-01-01 19:00,2020-01-01 20:00,401.689,5.117
2020-01-01 20:00,2020-01-01 21:00,304.862,4.657
2020-01-01 21:00,2020-01-01 22:00,242.204,4.327
2020-01-01 22:00,2020-01-01 23:00,203.741,4.093
2020-01-01 23:00,2020-01-02 00:00,186.822,3.982
2020-01-02 00:00,2020-01-02 01:00,192.000,4.016
2020-01-02 01:00,2020-01-02 02:00,220.709,4.199
2020-01-02 02:00,2020-01-02 03:00,265.646,4.460
2020-01-02 03:00,2020-01-02 04:00,341.632,4.846
2020-01-02 04:00,2020-01-02 05:00,441.760,5.278
2020-01-02 05:00,2020-01-02 06:00,560.227,5.739
2020-01-02 06:00,2020-01-02 07:00,694.142,6.192
2020-01-02 07:00,2020-01-02 08:00,694.198,6.195
2020-01-02 08:00,2020-01-02 09:00,468.414,5.392
2020-01-02 09:00,2020-01-02 10:00,232.066,4.268
2020-01-02 10:00,2020-01-02 11:00,143.140,3.664
2020-01-02 11:00,2020-01-02 12:00,109.653,3.370
2020-01-02 12:00,2020-01-02 13:00,89.400,3.182
2020-01-02 13:00,2020-01-02 14:00,75.988,3.037
2020-01-02 14:00,2020-01-02 15:00,56.456,2.787
2020-01-02 15:00,2020-01-02 16:00,49.785,2.697
2020-01-02 16:00,2020-01-02 17:00,100.358,3.291
2020-01-02 17:00,2020-01-02 18:00,165.424,3.832
2020-01-02 18:00,2020-01-02 19:00,250.849,4.369
2020-01-02 19:00,2020-01-02 20:00,341.755,4.846
2020-01-02 20:00,2020-01-02 21:00,404.525,5.129
2020-01-02 21:00,2020-01-02 22:00,474.348,5.415
2020-01-02 22:00,2020-01-02 23:00,544.759,5.682
2020-01-02 23:00,2020-01-03 00:00,640.432,6.012
2020-01-03 00:00,2020-01-03 01:00,751.968,6.388
2020-01-03 01:00,2020-01-03 02:00,871.629,6.757
2020-01-03 02:00,2020-01-03 03:00,967.822,7.065
2020-01-03 03:00,2020-01-03 04:00,1001.645,7.165
2020-01-03 04:00,2020-01-03 05:00,1041.594,7.295
2020-01-03 05:00,2020-01-03 06:00,1106.650,7.500
2020-01-03 06:00,2020-01-03 07:00,1160.240,7.662
2020-01-03 07:00,2020-01-03 08:00,1158.046,7.655
2020-01-03 08:00,2020-01-03 09:00,1011.784,7.202
2020-01-03 09:00,2020-01-03 10:00,743.210,6.355
2020-01-03 10:00,2020-01-03 11:00,584.810,5.826
2020-01-03 11:00,2020-01-03 12:00,687.800,6.170
2020-01-03 12:00,2020-01-03 13:00,914.537,6.896
2020-01-03 13:00,2020-01-03 14:00,1151.667,7.637
2020-01-03 14:00,2020-01-03 15:00,1355.944,8.335
2020-01-03 15:00,2020-01-03 16:00,1472.335,8.786
2020-01-03 16:00,2020-01-03 17:00,1509.691,8.948
2020-01-03 17:00,2020-01-03 18:00,1583.511,9.285
