# Renewables.ninja Wind (Point API) - 52.401, 13.059 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.4009309", "lon": "13.0591397", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1931.64", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,413.683,5.248
2020-01-01 01:00,2020-01-01 02:00,425.759,5.291
2020-01-01 02:00,2020-01-01 03:00,407.860,5.223
2020-01-01 03:00,2020-01-01 04:00,400.069,5.189
2020-01-01 04:00,2020-01-01 05:00,432.107,5.318
2020-01-01 05:00,2020-01-01 06:00,466.022,5.458
2020-01-01 06:00,2020-01-01 07:00,474.784,5.503
2020-01-01 07:00,2020-01-01 08:00,469.131,5.480
2020-01-01 08:00,2020-01-01 09:00,395.547,5.169
2020-01-01 09:00,2020-01-01 10:00,354.445,4.981
2020-01-01 10:00,2020-01-01 11:00,325.487,4.841
2020-01-01 11:00,2020-01-01 12:00,349.184,4.956
2020-01-01 12:00,2020-01-01 13:00,390.910,5.148
2020-01-01 13:00,2020-01-01 14:00,431.983,5.317
2020-01-01 14:00,2020-01-01 15:00,530.361,5.711
2020-01-01 15:00,2020-01-01 16:00,720.099,6.393
2020-01-01 16:00,2020-01-01 17:00,889.371,6.940
2020-01-01 17:00,2020-01-01 18:00,954.070,7.160
2020-01-01 18:00,2020-01-01 19:00,1001.854,7.316
2020-01-01 19:00,2020-01-01 20:00,1037.065,7.431
2020-01-01 20:00,2020-01-01 21:00,996.919,7.300
2020-01-01 21:00,2020-01-01 22:00,843.280,6.800
2020-01-01 22:00,2020-01-01 23:00,654.882,6.165
2020-01-01 23:00,2020-01-02 00:00,530.186,5.709
2020-01-02 00:00,2020-01-02 01:00,497.561,5.593
2020-01-02 01:00,2020-01-02 02:00,478.541,5.518
2020-01-02 02:00,2020-01-02 03:00,522.200,5.688
2020-01-02 03:00,2020-01-02 04:00,588.695,5.936
2020-01-02 04:00,2020-01-02 05:00,566.348,5.854
2020-01-02 05:00,2020-01-02 06:00,554.445,5.809
2020-01-02 06:00,2020-01-02 07:00,587.379,5.931
2020-01-02 07:00,2020-01-02 08:00,603.691,5.984
2020-01-02 08:00,2020-01-02 09:00,520.997,5.684
2020-01-02 09:00,2020-01-02 10:00,404.780,5.203
2020-01-02 10:00,2020-01-02 11:00,364.653,5.025
2020-01-02 11:00,2020-01-02 12:00,374.798,5.066
2020-01-02 12:00,2020-01-02 13:00,459.293,5.440
2020-01-02 13:00,2020-01-02 14:00,753.151,6.503
2020-01-02 14:00,2020-01-02 15:00,1096.470,7.628
2020-01-02 15:00,2020-01-02 16:00,1314.071,8.402
2020-01-02 16:00,2020-01-02 17:00,1382.071,8.682
2020-01-02 17:00,2020-01-02 18:00,1341.948,8.516
2020-01-02 18:00,2020-01-02 19:00,1262.489,8.214
2020-01-02 19:00,2020-01-02 20:00,1185.178,7.935
2020-01-02 20:00,2020-01-02 21:00,1118.053,7.703
2020-01-02 21:00,2020-01-02 22:00,1002.390,7.318
2020-01-02 22:00,2020-01-02 23:00,935.583,7.095
2020-01-02 23:00,2020-01-03 00:00,916.367,7.037
2020-01-03 00:00,2020-01-03 01:00,1054.549,7.485
2020-01-03 01:00,2020-01-03 02:00,1137.683,7.760
2020-01-03 02:00,2020-01-03 03:00,1164.333,7.861
2020-01-03 03:00,2020-01-03 04:00,1148.076,7.806
