# Renewables.ninja Wind (Point API) - 49.247, 6.997 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "49.247108100000005", "lon": "6.997495426501035", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "2349.19", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,758.057,6.051
2020-01-01 01:00,2020-01-01 02:00,670.974,5.790
2020-01-01 02:00,2020-01-01 03:00,599.854,5.567
2020-01-01 03:00,2020-01-01 04:00,552.291,5.419
2020-01-01 04:00,2020-01-01 05:00,557.032,5.435
2020-01-01 05:00,2020-01-01 06:00,605.413,5.594
2020-01-01 06:00,2020-01-01 07:00,621.357,5.645
2020-01-01 07:00,2020-01-01 08:00,570.180,5.479
2020-01-01 08:00,2020-01-01 09:00,367.036,4.721
2020-01-01 09:00,2020-01-01 10:00,278.314,4.311
2020-01-01 10:00,2020-01-01 11:00,216.071,3.966
2020-01-01 11:00,2020-01-01 12:00,134.663,3.435
2020-01-01 12:00,2020-01-01 13:00,98.183,3.130
2020-01-01 13:00,2020-01-01 14:00,95.034,3.101
2020-01-01 14:00,2020-01-01 15:00,122.274,3.338
2020-01-01 15:00,2020-01-01 16:00,158.817,3.611
2020-01-01 16:00,2020-01-01 17:00,204.900,3.902
2020-01-01 17:00,2020-01-01 18:00,236.779,4.093
2020-01-01 18:00,2020-01-01 19:00,261.511,4.226
2020-01-01 19:00,2020-01-01 20:00,260.072,4.218
2020-01-01 20:00,2020-01-01 21:00,248.974,4.151
2020-01-01 21:00,2020-01-01 22:00,258.709,4.211
2020-01-01 22:00,2020-01-01 23:00,250.323,4.166
2020-01-01 23:00,2020-01-02 00:00,235.817,4.088
2020-01-02 00:00,2020-01-02 01:00,223.451,4.018
2020-01-02 01:00,2020-01-02 02:00,216.759,3.973
2020-01-02 02:00,2020-01-02 03:00,217.482,3.984
2020-01-02 03:00,2020-01-02 04:00,251.463,4.173
2020-01-02 04:00,2020-01-02 05:00,311.234,4.471
2020-01-02 05:00,2020-01-02 06:00,372.442,4.744
2020-01-02 06:00,2020-01-02 07:00,436.663,5.003
2020-01-02 07:00,2020-01-02 08:00,464.921,5.109
2020-01-02 08:00,2020-01-02 09:00,492.385,5.209
2020-01-02 09:00,2020-01-02 10:00,496.406,5.224
2020-01-02 10:00,2020-01-02 11:00,488.493,5.193
2020-01-02 11:00,2020-01-02 12:00,501.445,5.242
2020-01-02 12:00,2020-01-02 13:00,522.126,5.306
2020-01-02 13:00,2020-01-02 14:00,561.716,5.445
2020-01-02 14:00,2020-01-02 15:00,705.940,5.906
2020-01-02 15:00,2020-01-02 16:00,857.958,6.342
2020-01-02 16:00,2020-01-02 17:00,999.098,6.724
2020-01-02 17:00,2020-01-02 18:00,1027.197,6.804
2020-01-02 18:00,2020-01-02 19:00,1047.890,6.850
2020-01-02 19:00,2020-01-02 20:00,1089.120,6.961
2020-01-02 20:00,2020-01-02 21:00,1134.071,7.081
2020-01-02 21:00,2020-01-02 22:00,1171.128,7.185
2020-01-02 22:00,2020-01-02 23:00,1133.477,7.079
2020-01-02 23:00,2020-01-03 00:00,1167.747,7.175
2020-01-03 00:00,2020-01-03 01:00,1227.308,7.339
2020-01-03 01:00,2020-01-03 02:00,1401.104,7.820
2020-01-03 02:00,2020-01-03 03:00,1507.600,8.120
2020-01-03 03:00,2020-01-03 04:00,1539.206,8.226
2020-01-03 04:00,2020-01-03 05:00,1384.503,7.771
2020-01-03 05:00,2020-01-03 06:00,1248.468,7.389
2020-01-03 06:00,2020-01-03 07:00,1319.018,7.589
2020-01-03 07:00,2020-01-03 08:00,1303.720,7.548
2020-01-03 08:00,2020-01-03 09:00,1384.258,7.771
2020-01-03 09:00,2020-01-03 10:00,1609.692,8.439
2020-01-03 10:00,2020-01-03 11:00,1679.739,8.674
2020-01-03 11:00,2020-01-03 12:00,1841.792,9.291
2020-01-03 12:00,2020-01-03 13:00,2002.998,10.069
2020-01-03 13:00,2020-01-03 14:00,2018.718,10.156
2020-01-03 14:00,2020-01-03 15:00,1987.177,9.981
2020-01-03 15:00,2020-01-03 16:00,1981.671,9.942
2020-01-03 16:00,2020-01-03 17:00,1983.851,9.956
2020-01-03 17:00,2020-01-03 18:00,2018.799,10.153
2020-01-03 18:00,2020-01-03 19:00,2001.497,10.061
2020-01-03 19:00,2020-01-03 20:00,1819.959,9.192
2020-01-03 20:00,2020-01-03 21:00,1699.138,8.739
2020-01-03 21:00,2020-01-03 22:00,1595.570,8.396
2020-01-03 22:00,2020-01-03 23:00,1453.200,7.970
2020-01-03 23:00,2020-01-04 00:00,1227.296,7.335
2020-01-04 00:00,2020-01-04 01:00,1066.036,6.908
2020-01-04 01:00,2020-01-04 02:00,1000.153,6.726
2020-01-04 02:00,2020-01-04 03:00,915.606,6.503
2020-01-04 03:00,2020-01-04 04:00,736.211,5.996
2020-01-04 04:00,2020-01-04 05:00,585.645,5.525
2020-01-04 05:00,2020-01-04 06:00,526.361,5.329
2020-01-04 06:00,2020-01-04 07:00,527.528,5.334
2020-01-04 07:00,2020-01-04 08:00,652.128,5.742
2020-01-04 08:00,2020-01-04 09:00,791.953,6.157
2020-01-04 09:00,2020-01-04 10:00,775.471,6.109
2020-01-04 10:00,2020-01-04 11:00,988.314,6.692
2020-01-04 11:00,2020-01-04 12:00,1234.710,7.358
2020-01-04 12:00,2020-01-04 13:00,1302.142,7.544
2020-01-04 13:00,2020-01-04 14:00,1282.826,7.485
2020-01-04 14:00,2020-01-04 15:00,1239.205,7.366
2020-01-04 15:00,2020-01-04 16:00,1253.180,7.408
2020-01-04 16:00,2020-01-04 17:00,1326.256,7.610
2020-01-04 17:00,2020-01-04 18:00,1308.430,7.561
2020-01-04 18:00,2020-01-04 19:00,1362.773,7.712
2020-01-04 19:00,2020-01-04 20:00,1253.660,7.411
2020-01-04 20:00,2020-01-04 21:00,1162.146,7.162
2020-01-04 21:00,2020-01-04 22:00,1077.817,6.935
2020-01-04 22:00,2020-01-04 23:00,983.249,6.683
2020-01-04 23:00,2020-01-05 00:00,875.285,6.392
2020-01-05 00:00,2020-01-05 01:00,782.874,6.131
2020-01-05 01:00,2020-01-05 02:00,670.521,5.789
2020-01-05 02:00,2020-01-05 03:00,566.479,5.457
2020-01-05 03:00,2020-01-05 04:00,471.720,5.135
2020-01-05 04:00,2020-01-05 05:00,384.999,4.787
2020-01-05 05:00,2020-01-05 06:00,294.453,4.382
2020-01-05 06:00,2020-01-05 07:00,223.410,4.018
2020-01-05 07:00,2020-01-05 08:00,179.209,3.749
2020-01-05 08:00,2020-01-05 09:00,140.318,3.469
2020-01-05 09:00,2020-01-05 10:00,126.659,3.367
2020-01-05 10:00,2020-01-05 11:00,123.559,3.348
2020-01-05 11:00,2020-01-05 12:00,124.256,3.354
2020-01-05 12:00,2020-01-05 13:00,123.442,3.347
2020-01-05 13:00,2020-01-05 14:00,108.663,3.215
2020-01-05 14:00,2020-01-05 15:00,101.558,3.161
2020-01-05 15:00,2020-01-05 16:00,92.217,3.074
2020-01-05 16:00,2020-01-05 17:00,85.628,3.010
2020-01-05 17:00,2020-01-05 18:00,88.104,3.035
2020-01-05 18:00,2020-01-05 19:00,90.147,3.054
2020-01-05 19:00,2020-01-05 20:00,90.612,3.059
2020-01-05 20:00,2020-01-05 21:00,93.043,3.082
2020-01-05 21:00,2020-01-05 22:00,94.689,3.098
2020-01-05 22:00,2020-01-05 23:00,95.219,3.103
2020-01-05 23:00,2020-01-06 00:00,96.433,3.112
2020-01-06 00:00,2020-01-06 01:00,103.614,3.179
2020-01-06 01:00,2020-01-06 02:00,104.245,3.185
2020-01-06 02:00,2020-01-06 03:00,92.594,3.078
2020-01-06 03:00,2020-01-06 04:00,82.604,2.971
2020-01-06 04:00,2020-01-06 05:00,76.549,2.917
2020-01-06 05:00,2020-01-06 06:00,80.785,2.952
2020-01-06 06:00,2020-01-06 07:00,94.880,3.099
2020-01-06 07:00,2020-01-06 08:00,129.560,3.396
2020-01-06 08:00,2020-01-06 09:00,154.457,3.581
2020-01-06 09:00,2020-01-06 10:00,193.527,3.840
2020-01-06 10:00,2020-01-06 11:00,280.556,4.323
2020-01-06 11:00,2020-01-06 12:00,294.214,4.381
2020-01-06 12:00,2020-01-06 13:00,294.355,4.381
2020-01-06 13:00,2020-01-06 14:00,320.465,4.514
2020-01-06 14:00,2020-01-06 15:00,407.904,4.885
2020-01-06 15:00,2020-01-06 16:00,674.581,5.811
2020-01-06 16:00,2020-01-06 17:00,1062.959,6.897
2020-01-06 17:00,2020-01-06 18:00,1339.102,7.638
2020-01-06 18:00,2020-01-06 19:00,1383.569,7.769
2020-01-06 19:00,2020-01-06 20:00,1279.501,7.481
2020-01-06 20:00,2020-01-06 21:00,1141.036,7.099
2020-01-06 21:00,2020-01-06 22:00,1107.850,7.011
2020-01-06 22:00,2020-01-06 23:00,1147.493,7.118
2020-01-06 23:00,2020-01-07 00:00,1231.153,7.345
2020-01-07 00:00,2020-01-07 01:00,1300.845,7.536
2020-01-07 01:00,2020-01-07 02:00,1293.548,7.517
2020-01-07 02:00,2020-01-07 03:00,1526.928,8.189
2020-01-07 03:00,2020-01-07 04:00,1395.962,7.805
2020-01-07 04:00,2020-01-07 05:00,1286.238,7.498
2020-01-07 05:00,2020-01-07 06:00,1208.735,7.284
2020-01-07 06:00,2020-01-07 07:00,1065.560,6.907
2020-01-07 07:00,2020-01-07 08:00,965.375,6.638
2020-01-07 08:00,2020-01-07 09:00,806.916,6.199
2020-01-07 09:00,2020-01-07 10:00,631.055,5.676
2020-01-07 10:00,2020-01-07 11:00,576.693,5.500
2020-01-07 11:00,2020-01-07 12:00,649.829,5.734
2020-01-07 12:00,2020-01-07 13:00,674.158,5.802
2020-01-07 13:00,2020-01-07 14:00,624.655,5.655
2020-01-07 14:00,2020-01-07 15:00,599.709,5.566
2020-01-07 15:00,2020-01-07 16:00,579.160,5.508
2020-01-07 16:00,2020-01-07 17:00,555.000,5.428
2020-01-07 17:00,2020-01-07 18:00,799.686,6.170
2020-01-07 18:00,2020-01-07 19:00,1298.437,7.527
2020-01-07 19:00,2020-01-07 20:00,1448.392,7.956
2020-01-07 20:00,2020-01-07 21:00,1388.738,7.777
2020-01-07 21:00,2020-01-07 22:00,1242.106,7.378
2020-01-07 22:00,2020-01-07 23:00,1081.619,6.940
2020-01-07 23:00,2020-01-08 00:00,999.536,6.725
2020-01-08 00:00,2020-01-08 01:00,972.296,6.657
2020-01-08 01:00,2020-01-08 02:00,955.028,6.605
2020-01-08 02:00,2020-01-08 03:00,974.909,6.662
2020-01-08 03:00,2020-01-08 04:00,1014.418,6.768
2020-01-08 04:00,2020-01-08 05:00,1067.195,6.911
2020-01-08 05:00,2020-01-08 06:00,1029.782,6.811
2020-01-08 06:00,2020-01-08 07:00,1040.465,6.831
2020-01-08 07:00,2020-01-08 08:00,1088.493,6.959
2020-01-08 08:00,2020-01-08 09:00,1100,6.990
2020-01-08 09:00,2020-01-08 10:00,1149.081,7.128
2020-01-08 10:00,2020-01-08 11:00,1302.231,7.544
2020-01-08 11:00,2020-01-08 12:00,1301.782,7.543
2020-01-08 12:00,2020-01-08 13:00,1231.279,7.345
2020-01-08 13:00,2020-01-08 14:00,1125.009,7.066
2020-01-08 14:00,2020-01-08 15:00,1137.012,7.094
2020-01-08 15:00,2020-01-08 16:00,1220.293,7.321
2020-01-08 16:00,2020-01-08 17:00,1259.854,7.419
2020-01-08 17:00,2020-01-08 18:00,1291.436,7.507
2020-01-08 18:00,2020-01-08 19:00,1226.465,7.329
2020-01-08 19:00,2020-01-08 20:00,1193.873,7.248
2020-01-08 20:00,2020-01-08 21:00,1182.074,7.218
2020-01-08 21:00,2020-01-08 22:00,1175.228,7.197
2020-01-08 22:00,2020-01-08 23:00,1184.682,7.225
2020-01-08 23:00,2020-01-09 00:00,1222.967,7.324
2020-01-09 00:00,2020-01-09 01:00,1242.096,7.373
2020-01-09 01:00,2020-01-09 02:00,1233.145,7.348
2020-01-09 02:00,2020-01-09 03:00,1302.804,7.545
2020-01-09 03:00,2020-01-09 04:00,1333.497,7.624
2020-01-09 04:00,2020-01-09 05:00,1479.272,8.043
2020-01-09 05:00,2020-01-09 06:00,1584.586,8.367
2020-01-09 06:00,2020-01-09 07:00,1679.672,8.678
2020-01-09 07:00,2020-01-09 08:00,1542.268,8.233
2020-01-09 08:00,2020-01-09 09:00,1553.488,8.260
2020-01-09 09:00,2020-01-09 10:00,1501.893,8.112
2020-01-09 10:00,2020-01-09 11:00,1501.366,8.111
2020-01-09 11:00,2020-01-09 12:00,1470.523,8.012
2020-01-09 12:00,2020-01-09 13:00,1432.685,7.907
2020-01-09 13:00,2020-01-09 14:00,1410.275,7.843
2020-01-09 14:00,2020-01-09 15:00,1439.592,7.929
2020-01-09 15:00,2020-01-09 16:00,1555.831,8.274
2020-01-09 16:00,2020-01-09 17:00,1582.309,8.357
2020-01-09 17:00,2020-01-09 18:00,1625.868,8.499
2020-01-09 18:00,2020-01-09 19:00,1610.510,8.447
2020-01-09 19:00,2020-01-09 20:00,1524.087,8.178
2020-01-09 20:00,2020-01-09 21:00,1586.828,8.374
2020-01-09 21:00,2020-01-09 22:00,1711.257,8.786
2020-01-09 22:00,2020-01-09 23:00,1881.836,9.456
2020-01-09 23:00,2020-01-10 00:00,1943.048,9.751
2020-01-10 00:00,2020-01-10 01:00,1904.081,9.564
2020-01-10 01:00,2020-01-10 02:00,1971.978,9.894
2020-01-10 02:00,2020-01-10 03:00,1960.898,9.830
2020-01-10 03:00,2020-01-10 04:00,1909.935,9.591
2020-01-10 04:00,2020-01-10 05:00,1863.007,9.381
2020-01-10 05:00,2020-01-10 06:00,1954.705,9.810
2020-01-10 06:00,2020-01-10 07:00,2006.869,10.080
2020-01-10 07:00,2020-01-10 08:00,1955.425,9.813
2020-01-10 08:00,2020-01-10 09:00,1879.458,9.451
2020-01-10 09:00,2020-01-10 10:00,1810.989,9.162
2020-01-10 10:00,2020-01-10 11:00,1705.666,8.763
2020-01-10 11:00,2020-01-10 12:00,1566.437,8.302
2020-01-10 12:00,2020-01-10 13:00,1437.666,7.917
2020-01-10 13:00,2020-01-10 14:00,1358.487,7.700
2020-01-10 14:00,2020-01-10 15:00,1435.855,7.915
2020-01-10 15:00,2020-01-10 16:00,1575.073,8.327
2020-01-10 16:00,2020-01-10 17:00,1528.272,8.193
2020-01-10 17:00,2020-01-10 18:00,1350.628,7.668
2020-01-10 18:00,2020-01-10 19:00,1142.172,7.111
2020-01-10 19:00,2020-01-10 20:00,968.006,6.645
2020-01-10 20:00,2020-01-10 21:00,876.027,6.394
2020-01-10 21:00,2020-01-10 22:00,793.656,6.161
2020-01-10 22:00,2020-01-10 23:00,674.290,5.809
2020-01-10 23:00,2020-01-11 00:00,602.055,5.574
2020-01-11 00:00,2020-01-11 01:00,440.227,5.016
2020-01-11 01:00,2020-01-11 02:00,275.868,4.290
2020-01-11 02:00,2020-01-11 03:00,173.453,3.702
2020-01-11 03:00,2020-01-11 04:00,115.942,3.285
2020-01-11 04:00,2020-01-11 05:00,125.009,3.360
2020-01-11 05:00,2020-01-11 06:00,145.900,3.519
2020-01-11 06:00,2020-01-11 07:00,96.126,3.111
2020-01-11 07:00,2020-01-11 08:00,72.683,2.875
2020-01-11 08:00,2020-01-11 09:00,93.769,3.089
2020-01-11 09:00,2020-01-11 10:00,122.106,3.336
2020-01-11 10:00,2020-01-11 11:00,156.297,3.594
2020-01-11 11:00,2020-01-11 12:00,217.120,3.982
2020-01-11 12:00,2020-01-11 13:00,258.575,4.210
2020-01-11 13:00,2020-01-11 14:00,275.960,4.295
2020-01-11 14:00,2020-01-11 15:00,311.558,4.473
2020-01-11 15:00,2020-01-11 16:00,349.571,4.636
2020-01-11 16:00,2020-01-11 17:00,381.175,4.775
2020-01-11 17:00,2020-01-11 18:00,424.774,4.956
2020-01-11 18:00,2020-01-11 19:00,471.365,5.133
2020-01-11 19:00,2020-01-11 20:00,516.752,5.287
