# Renewables.ninja Wind (Point API) - 53.629, 11.415 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "53.6288297", "lon": "11.4148038", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1771.28", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,477.711,5.684
2020-01-01 01:00,2020-01-01 02:00,427.823,5.461
2020-01-01 02:00,2020-01-01 03:00,382.772,5.264
2020-01-01 03:00,2020-01-01 04:00,366.044,5.185
2020-01-01 04:00,2020-01-01 05:00,371.300,5.210
2020-01-01 05:00,2020-01-01 06:00,434.781,5.500
2020-01-01 06:00,2020-01-01 07:00,475.811,5.676
2020-01-01 07:00,2020-01-01 08:00,491.681,5.742
2020-01-01 08:00,2020-01-01 09:00,460.260,5.610
2020-01-01 09:00,2020-01-01 10:00,415.579,5.415
2020-01-01 10:00,2020-01-01 11:00,483.355,5.699
2020-01-01 11:00,2020-01-01 12:00,508.412,5.809
2020-01-01 12:00,2020-01-01 13:00,503.966,5.782
2020-01-01 13:00,2020-01-01 14:00,493.085,5.747
2020-01-01 14:00,2020-01-01 15:00,508.423,5.810
2020-01-01 15:00,2020-01-01 16:00,621.733,6.249
2020-01-01 16:00,2020-01-01 17:00,662.013,6.399
2020-01-01 17:00,2020-01-01 18:00,750.849,6.719
2020-01-01 18:00,2020-01-01 19:00,821.795,6.972
2020-01-01 19:00,2020-01-01 20:00,795.835,6.878
2020-01-01 20:00,2020-01-01 21:00,553.551,5.982
2020-01-01 21:00,2020-01-01 22:00,438.785,5.517
2020-01-01 22:00,2020-01-01 23:00,407.108,5.377
2020-01-01 23:00,2020-01-02 00:00,388.419,5.281
2020-01-02 00:00,2020-01-02 01:00,408.384,5.382
2020-01-02 01:00,2020-01-02 02:00,486.506,5.720
2020-01-02 02:00,2020-01-02 03:00,566.469,6.037
2020-01-02 03:00,2020-01-02 04:00,620.810,6.237
2020-01-02 04:00,2020-01-02 05:00,629.098,6.277
2020-01-02 05:00,2020-01-02 06:00,617.417,6.227
2020-01-02 06:00,2020-01-02 07:00,603.005,6.171
2020-01-02 07:00,2020-01-02 08:00,594.751,6.148
2020-01-02 08:00,2020-01-02 09:00,603.038,6.173
2020-01-02 09:00,2020-01-02 10:00,600.583,6.165
2020-01-02 10:00,2020-01-02 11:00,639.035,6.314
2020-01-02 11:00,2020-01-02 12:00,694.699,6.518
2020-01-02 12:00,2020-01-02 13:00,734.075,6.660
2020-01-02 13:00,2020-01-02 14:00,726.069,6.631
2020-01-02 14:00,2020-01-02 15:00,874.558,7.149
2020-01-02 15:00,2020-01-02 16:00,984.050,7.552
2020-01-02 16:00,2020-01-02 17:00,1030.477,7.723
2020-01-02 17:00,2020-01-02 18:00,955.989,7.441
2020-01-02 18:00,2020-01-02 19:00,872.959,7.143
2020-01-02 19:00,2020-01-02 20:00,835.333,7.014
2020-01-02 20:00,2020-01-02 21:00,868.151,7.133
2020-01-02 21:00,2020-01-02 22:00,1006.757,7.632
2020-01-02 22:00,2020-01-02 23:00,1126.620,8.082
2020-01-02 23:00,2020-01-03 00:00,1214.239,8.440
2020-01-03 00:00,2020-01-03 01:00,1296.567,8.820
2020-01-03 01:00,2020-01-03 02:00,1294.562,8.804
2020-01-03 02:00,2020-01-03 03:00,1236.310,8.543
2020-01-03 03:00,2020-01-03 04:00,1294.559,8.810
