# Renewables.ninja Wind (Point API) - 48.778, 9.180 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "48.7784485", "lon": "9.1800132", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1896.65", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,569.941,5.906
2020-01-01 01:00,2020-01-01 02:00,551.386,5.836
2020-01-01 02:00,2020-01-01 03:00,533.471,5.768
2020-01-01 03:00,2020-01-01 04:00,509.871,5.677
2020-01-01 04:00,2020-01-01 05:00,491.725,5.606
2020-01-01 05:00,2020-01-01 06:00,465.049,5.498
2020-01-01 06:00,2020-01-01 07:00,450.252,5.437
2020-01-01 07:00,2020-01-01 08:00,424.895,5.324
2020-01-01 08:00,2020-01-01 09:00,385.813,5.157
2020-01-01 09:00,2020-01-01 10:00,350.846,4.994
2020-01-01 10:00,2020-01-01 11:00,268.711,4.571
2020-01-01 11:00,2020-01-01 12:00,209.059,4.212
2020-01-01 12:00,2020-01-01 13:00,168.305,3.931
2020-01-01 13:00,2020-01-01 14:00,172.824,3.955
2020-01-01 14:00,2020-01-01 15:00,236.749,4.376
2020-01-01 15:00,2020-01-01 16:00,351.902,5.000
2020-01-01 16:00,2020-01-01 17:00,487.737,5.585
2020-01-01 17:00,2020-01-01 18:00,554.755,5.849
2020-01-01 18:00,2020-01-01 19:00,533.746,5.769
2020-01-01 19:00,2020-01-01 20:00,489.440,5.596
2020-01-01 20:00,2020-01-01 21:00,437.888,5.385
2020-01-01 21:00,2020-01-01 22:00,397.550,5.210
2020-01-01 22:00,2020-01-01 23:00,334.940,4.917
2020-01-01 23:00,2020-01-02 00:00,274.338,4.602
2020-01-02 00:00,2020-01-02 01:00,228.089,4.332
2020-01-02 01:00,2020-01-02 02:00,185.934,4.057
2020-01-02 02:00,2020-01-02 03:00,158.385,3.856
2020-01-02 03:00,2020-01-02 04:00,168.759,3.934
2020-01-02 04:00,2020-01-02 05:00,186.025,4.057
2020-01-02 05:00,2020-01-02 06:00,174.875,3.969
2020-01-02 06:00,2020-01-02 07:00,180.656,4.020
2020-01-02 07:00,2020-01-02 08:00,197.357,4.126
2020-01-02 08:00,2020-01-02 09:00,168.283,3.930
2020-01-02 09:00,2020-01-02 10:00,132.668,3.645
2020-01-02 10:00,2020-01-02 11:00,122.095,3.558
2020-01-02 11:00,2020-01-02 12:00,112.427,3.461
2020-01-02 12:00,2020-01-02 13:00,115.951,3.493
2020-01-02 13:00,2020-01-02 14:00,116.726,3.506
2020-01-02 14:00,2020-01-02 15:00,133.770,3.659
2020-01-02 15:00,2020-01-02 16:00,205.977,4.192
2020-01-02 16:00,2020-01-02 17:00,365.065,5.052
2020-01-02 17:00,2020-01-02 18:00,586.189,5.956
2020-01-02 18:00,2020-01-02 19:00,729.605,6.467
2020-01-02 19:00,2020-01-02 20:00,794.859,6.685
2020-01-02 20:00,2020-01-02 21:00,810.172,6.731
2020-01-02 21:00,2020-01-02 22:00,855.012,6.885
2020-01-02 22:00,2020-01-02 23:00,895.530,7.023
2020-01-02 23:00,2020-01-03 00:00,908.826,7.067
2020-01-03 00:00,2020-01-03 01:00,914.776,7.079
2020-01-03 01:00,2020-01-03 02:00,921.650,7.101
2020-01-03 02:00,2020-01-03 03:00,954.460,7.219
2020-01-03 03:00,2020-01-03 04:00,1017.718,7.428
2020-01-03 04:00,2020-01-03 05:00,1052.773,7.549
2020-01-03 05:00,2020-01-03 06:00,1038.461,7.497
2020-01-03 06:00,2020-01-03 07:00,1013.795,7.413
2020-01-03 07:00,2020-01-03 08:00,1012.458,7.411
2020-01-03 08:00,2020-01-03 09:00,948.678,7.190
2020-01-03 09:00,2020-01-03 10:00,904.156,7.052
2020-01-03 10:00,2020-01-03 11:00,950.125,7.204
2020-01-03 11:00,2020-01-03 12:00,1017.714,7.422
2020-01-03 12:00,2020-01-03 13:00,1076.610,7.627
2020-01-03 13:00,2020-01-03 14:00,1119.975,7.775
2020-01-03 14:00,2020-01-03 15:00,1279.353,8.367
2020-01-03 15:00,2020-01-03 16:00,1457.248,9.140
2020-01-03 16:00,2020-01-03 17:00,1517.024,9.446
2020-01-03 17:00,2020-01-03 18:00,1472.615,9.217
2020-01-03 18:00,2020-01-03 19:00,1494.574,9.330
2020-01-03 19:00,2020-01-03 20:00,1453.529,9.122
2020-01-03 20:00,2020-01-03 21:00,1461.197,9.159
2020-01-03 21:00,2020-01-03 22:00,1416.334,8.946
2020-01-03 22:00,2020-01-03 23:00,1358.196,8.684
2020-01-03 23:00,2020-01-04 00:00,1211.735,8.107
2020-01-04 00:00,2020-01-04 01:00,1172.640,7.967
2020-01-04 01:00,2020-01-04 02:00,975.903,7.289
2020-01-04 02:00,2020-01-04 03:00,876.672,6.956
2020-01-04 03:00,2020-01-04 04:00,740.098,6.505
2020-01-04 04:00,2020-01-04 05:00,566.865,5.894
2020-01-04 05:00,2020-01-04 06:00,464.559,5.496
2020-01-04 06:00,2020-01-04 07:00,443.613,5.409
2020-01-04 07:00,2020-01-04 08:00,432.350,5.361
2020-01-04 08:00,2020-01-04 09:00,477.065,5.537
2020-01-04 09:00,2020-01-04 10:00,573.493,5.919
2020-01-04 10:00,2020-01-04 11:00,757.372,6.564
2020-01-04 11:00,2020-01-04 12:00,969.896,7.267
2020-01-04 12:00,2020-01-04 13:00,1124.148,7.795
2020-01-04 13:00,2020-01-04 14:00,1170.029,7.958
2020-01-04 14:00,2020-01-04 15:00,1259.492,8.283
2020-01-04 15:00,2020-01-04 16:00,1325.302,8.546
2020-01-04 16:00,2020-01-04 17:00,1272.372,8.337
2020-01-04 17:00,2020-01-04 18:00,1218.252,8.134
2020-01-04 18:00,2020-01-04 19:00,1192.692,8.038
2020-01-04 19:00,2020-01-04 20:00,1181.727,7.994
2020-01-04 20:00,2020-01-04 21:00,1094.065,7.690
2020-01-04 21:00,2020-01-04 22:00,1012.898,7.412
2020-01-04 22:00,2020-01-04 23:00,963.866,7.242
2020-01-04 23:00,2020-01-05 00:00,921.603,7.100
2020-01-05 00:00,2020-01-05 01:00,826.752,6.796
2020-01-05 01:00,2020-01-05 02:00,778.406,6.634
2020-01-05 02:00,2020-01-05 03:00,703.287,6.379
2020-01-05 03:00,2020-01-05 04:00,594.810,5.997
2020-01-05 04:00,2020-01-05 05:00,476.968,5.537
2020-01-05 05:00,2020-01-05 06:00,361.122,5.034
2020-01-05 06:00,2020-01-05 07:00,250.740,4.468
2020-01-05 07:00,2020-01-05 08:00,158.206,3.855
2020-01-05 08:00,2020-01-05 09:00,94.153,3.291
2020-01-05 09:00,2020-01-05 10:00,54.295,2.815
2020-01-05 10:00,2020-01-05 11:00,41.093,2.612
2020-01-05 11:00,2020-01-05 12:00,37.382,2.540
2020-01-05 12:00,2020-01-05 13:00,38.790,2.564
2020-01-05 13:00,2020-01-05 14:00,39.522,2.577
2020-01-05 14:00,2020-01-05 15:00,39.214,2.572
2020-01-05 15:00,2020-01-05 16:00,32.860,2.457
2020-01-05 16:00,2020-01-05 17:00,34.725,2.500
2020-01-05 17:00,2020-01-05 18:00,56.599,2.847
2020-01-05 18:00,2020-01-05 19:00,96.798,3.318
2020-01-05 19:00,2020-01-05 20:00,144.927,3.751
2020-01-05 20:00,2020-01-05 21:00,203.849,4.178
2020-01-05 21:00,2020-01-05 22:00,279.834,4.623
2020-01-05 22:00,2020-01-05 23:00,342.946,4.956
2020-01-05 23:00,2020-01-06 00:00,389.518,5.174
2020-01-06 00:00,2020-01-06 01:00,424.961,5.328
2020-01-06 01:00,2020-01-06 02:00,442.154,5.403
2020-01-06 02:00,2020-01-06 03:00,424.977,5.329
2020-01-06 03:00,2020-01-06 04:00,378.815,5.125
2020-01-06 04:00,2020-01-06 05:00,361.694,5.037
2020-01-06 05:00,2020-01-06 06:00,382.705,5.143
2020-01-06 06:00,2020-01-06 07:00,421.926,5.308
2020-01-06 07:00,2020-01-06 08:00,446.334,5.420
2020-01-06 08:00,2020-01-06 09:00,303.645,4.759
2020-01-06 09:00,2020-01-06 10:00,168.907,3.935
2020-01-06 10:00,2020-01-06 11:00,143.343,3.738
2020-01-06 11:00,2020-01-06 12:00,156.777,3.844
2020-01-06 12:00,2020-01-06 13:00,164.593,3.894
2020-01-06 13:00,2020-01-06 14:00,179.527,4.012
2020-01-06 14:00,2020-01-06 15:00,267.755,4.565
2020-01-06 15:00,2020-01-06 16:00,443.627,5.409
2020-01-06 16:00,2020-01-06 17:00,671.365,6.261
2020-01-06 17:00,2020-01-06 18:00,829.917,6.806
2020-01-06 18:00,2020-01-06 19:00,963.871,7.243
2020-01-06 19:00,2020-01-06 20:00,1071.129,7.611
2020-01-06 20:00,2020-01-06 21:00,1158.547,7.913
2020-01-06 21:00,2020-01-06 22:00,1223.939,8.148
2020-01-06 22:00,2020-01-06 23:00,1254.405,8.270
2020-01-06 23:00,2020-01-07 00:00,1227.631,8.165
2020-01-07 00:00,2020-01-07 01:00,1144.259,7.863
2020-01-07 01:00,2020-01-07 02:00,1097.206,7.701
2020-01-07 02:00,2020-01-07 03:00,1028.394,7.466
2020-01-07 03:00,2020-01-07 04:00,1047.429,7.525
2020-01-07 04:00,2020-01-07 05:00,1064.934,7.583
2020-01-07 05:00,2020-01-07 06:00,1122.769,7.786
2020-01-07 06:00,2020-01-07 07:00,1103.946,7.724
2020-01-07 07:00,2020-01-07 08:00,1010.377,7.395
2020-01-07 08:00,2020-01-07 09:00,840.093,6.838
2020-01-07 09:00,2020-01-07 10:00,688.522,6.325
2020-01-07 10:00,2020-01-07 11:00,560.761,5.872
2020-01-07 11:00,2020-01-07 12:00,508.485,5.672
2020-01-07 12:00,2020-01-07 13:00,437.885,5.385
2020-01-07 13:00,2020-01-07 14:00,356.183,5.020
2020-01-07 14:00,2020-01-07 15:00,329.261,4.881
2020-01-07 15:00,2020-01-07 16:00,267.457,4.564
2020-01-07 16:00,2020-01-07 17:00,199.191,4.138
2020-01-07 17:00,2020-01-07 18:00,147.287,3.770
2020-01-07 18:00,2020-01-07 19:00,163.069,3.883
2020-01-07 19:00,2020-01-07 20:00,376.733,5.116
2020-01-07 20:00,2020-01-07 21:00,673.370,6.277
2020-01-07 21:00,2020-01-07 22:00,827.861,6.799
2020-01-07 22:00,2020-01-07 23:00,949.228,7.201
2020-01-07 23:00,2020-01-08 00:00,968.359,7.257
2020-01-08 00:00,2020-01-08 01:00,905.338,7.056
2020-01-08 01:00,2020-01-08 02:00,868.957,6.933
2020-01-08 02:00,2020-01-08 03:00,879.320,6.962
2020-01-08 03:00,2020-01-08 04:00,865.944,6.918
2020-01-08 04:00,2020-01-08 05:00,823.469,6.785
2020-01-08 05:00,2020-01-08 06:00,797.921,6.692
2020-01-08 06:00,2020-01-08 07:00,773.133,6.613
2020-01-08 07:00,2020-01-08 08:00,729.628,6.468
2020-01-08 08:00,2020-01-08 09:00,631.947,6.131
2020-01-08 09:00,2020-01-08 10:00,604.424,6.026
2020-01-08 10:00,2020-01-08 11:00,604.034,6.025
2020-01-08 11:00,2020-01-08 12:00,643.912,6.167
2020-01-08 12:00,2020-01-08 13:00,673.596,6.277
2020-01-08 13:00,2020-01-08 14:00,728.838,6.459
2020-01-08 14:00,2020-01-08 15:00,827.161,6.797
2020-01-08 15:00,2020-01-08 16:00,894.463,7.015
2020-01-08 16:00,2020-01-08 17:00,909.294,7.069
2020-01-08 17:00,2020-01-08 18:00,912.527,7.075
2020-01-08 18:00,2020-01-08 19:00,882.958,6.981
2020-01-08 19:00,2020-01-08 20:00,841.160,6.842
2020-01-08 20:00,2020-01-08 21:00,843.842,6.846
2020-01-08 21:00,2020-01-08 22:00,846.066,6.851
2020-01-08 22:00,2020-01-08 23:00,797.980,6.698
2020-01-08 23:00,2020-01-09 00:00,750.659,6.541
2020-01-09 00:00,2020-01-09 01:00,779.057,6.637
2020-01-09 01:00,2020-01-09 02:00,814.905,6.747
2020-01-09 02:00,2020-01-09 03:00,819.112,6.770
2020-01-09 03:00,2020-01-09 04:00,892.815,7.007
2020-01-09 04:00,2020-01-09 05:00,927.731,7.129
2020-01-09 05:00,2020-01-09 06:00,969.893,7.266
2020-01-09 06:00,2020-01-09 07:00,1037.893,7.489
2020-01-09 07:00,2020-01-09 08:00,1059.998,7.572
2020-01-09 08:00,2020-01-09 09:00,984.759,7.320
2020-01-09 09:00,2020-01-09 10:00,827.895,6.799
2020-01-09 10:00,2020-01-09 11:00,730.823,6.472
2020-01-09 11:00,2020-01-09 12:00,657.080,6.213
2020-01-09 12:00,2020-01-09 13:00,673.381,6.277
2020-01-09 13:00,2020-01-09 14:00,771.550,6.611
2020-01-09 14:00,2020-01-09 15:00,931.043,7.136
2020-01-09 15:00,2020-01-09 16:00,1076.606,7.630
2020-01-09 16:00,2020-01-09 17:00,1200.719,8.069
2020-01-09 17:00,2020-01-09 18:00,1246.403,8.235
2020-01-09 18:00,2020-01-09 19:00,1301.299,8.454
2020-01-09 19:00,2020-01-09 20:00,1264.681,8.303
2020-01-09 20:00,2020-01-09 21:00,1272.586,8.340
2020-01-09 21:00,2020-01-09 22:00,1373.782,8.753
2020-01-09 22:00,2020-01-09 23:00,1369.596,8.734
2020-01-09 23:00,2020-01-10 00:00,1439.180,9.046
2020-01-10 00:00,2020-01-10 01:00,1437.934,9.044
2020-01-10 01:00,2020-01-10 02:00,1427.492,8.989
2020-01-10 02:00,2020-01-10 03:00,1402.170,8.882
2020-01-10 03:00,2020-01-10 04:00,1365.465,8.718
2020-01-10 04:00,2020-01-10 05:00,1300.241,8.449
2020-01-10 05:00,2020-01-10 06:00,1239.673,8.215
2020-01-10 06:00,2020-01-10 07:00,1213.442,8.113
2020-01-10 07:00,2020-01-10 08:00,1208.975,8.095
2020-01-10 08:00,2020-01-10 09:00,1070.775,7.607
2020-01-10 09:00,2020-01-10 10:00,933.706,7.140
2020-01-10 10:00,2020-01-10 11:00,1149.887,7.886
2020-01-10 11:00,2020-01-10 12:00,1400.540,8.874
2020-01-10 12:00,2020-01-10 13:00,1416.856,8.949
2020-01-10 13:00,2020-01-10 14:00,1311.543,8.488
2020-01-10 14:00,2020-01-10 15:00,1237.537,8.207
2020-01-10 15:00,2020-01-10 16:00,1282.528,8.380
2020-01-10 16:00,2020-01-10 17:00,1305.735,8.472
2020-01-10 17:00,2020-01-10 18:00,1217.042,8.120
2020-01-10 18:00,2020-01-10 19:00,1130.539,7.817
2020-01-10 19:00,2020-01-10 20:00,969.887,7.265
2020-01-10 20:00,2020-01-10 21:00,856.349,6.887
2020-01-10 21:00,2020-01-10 22:00,660.839,6.227
