# Renewables.ninja Wind (Point API) - 50.082, 8.242 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "50.0820384", "lon": "8.2416556", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1935.33", "height": "140", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
2020-01-01 00:00,2020-01-01 01:00,434.842,5.335
2020-01-01 01:00,2020-01-01 02:00,405.899,5.211
2020-01-01 02:00,2020-01-01 03:00,398.348,5.178
2020-01-01 03:00,2020-01-01 04:00,398.949,5.181
2020-01-01 04:00,2020-01-01 05:00,406.759,5.215
2020-01-01 05:00,2020-01-01 06:00,424.761,5.283
2020-01-01 06:00,2020-01-01 07:00,452.173,5.407
2020-01-01 07:00,2020-01-01 08:00,486.761,5.537
2020-01-01 08:00,2020-01-01 09:00,398.023,5.176
2020-01-01 09:00,2020-01-01 10:00,290.720,4.651
2020-01-01 10:00,2020-01-01 11:00,228.381,4.306
2020-01-01 11:00,2020-01-01 12:00,180.569,3.993
2020-01-01 12:00,2020-01-01 13:00,154.515,3.802
2020-01-01 13:00,2020-01-01 14:00,149.013,3.760
2020-01-01 14:00,2020-01-01 15:00,181.529,4.000
2020-01-01 15:00,2020-01-01 16:00,241.017,4.373
2020-01-01 16:00,2020-01-01 17:00,307.192,4.746
2020-01-01 17:00,2020-01-01 18:00,363.260,5.019
2020-01-01 18:00,2020-01-01 19:00,415.666,5.253
2020-01-01 19:00,2020-01-01 20:00,452.432,5.408
2020-01-01 20:00,2020-01-01 21:00,447.429,5.387
2020-01-01 21:00,2020-01-01 22:00,376.430,5.075
2020-01-01 22:00,2020-01-01 23:00,268.740,4.531
2020-01-01 23:00,2020-01-02 00:00,168.797,3.901
2020-01-02 00:00,2020-01-02 01:00,107.565,3.403
2020-01-02 01:00,2020-01-02 02:00,90.762,3.228
2020-01-02 02:00,2020-01-02 03:00,98.054,3.311
2020-01-02 03:00,2020-01-02 04:00,120.131,3.519
2020-01-02 04:00,2020-01-02 05:00,160.220,3.846
2020-01-02 05:00,2020-01-02 06:00,206.587,4.169
2020-01-02 06:00,2020-01-02 07:00,260.427,4.494
2020-01-02 07:00,2020-01-02 08:00,307.102,4.745
2020-01-02 08:00,2020-01-02 09:00,321.843,4.816
2020-01-02 09:00,2020-01-02 10:00,321.860,4.817
2020-01-02 10:00,2020-01-02 11:00,327.259,4.847
2020-01-02 11:00,2020-01-02 12:00,336.040,4.885
2020-01-02 12:00,2020-01-02 13:00,344.903,4.932
2020-01-02 13:00,2020-01-02 14:00,363.118,5.018
2020-01-02 14:00,2020-01-02 15:00,433.625,5.328
2020-01-02 15:00,2020-01-02 16:00,541.295,5.757
2020-01-02 16:00,2020-01-02 17:00,619.543,6.041
2020-01-02 17:00,2020-01-02 18:00,659.234,6.180
2020-01-02 18:00,2020-01-02 19:00,744.491,6.467
2020-01-02 19:00,2020-01-02 20:00,758.701,6.517
2020-01-02 20:00,2020-01-02 21:00,792.880,6.627
2020-01-02 21:00,2020-01-02 22:00,838.376,6.779
2020-01-02 22:00,2020-01-02 23:00,848.635,6.812
2020-01-02 23:00,2020-01-03 00:00,863.330,6.852
2020-01-03 00:00,2020-01-03 01:00,889.942,6.938
2020-01-03 01:00,2020-01-03 02:00,897.290,6.967
2020-01-03 02:00,2020-01-03 03:00,955.857,7.152
2020-01-03 03:00,2020-01-03 04:00,1142.177,7.774
2020-01-03 04:00,2020-01-03 05:00,1124.302,7.717
2020-01-03 05:00,2020-01-03 06:00,1149.243,7.802
2020-01-03 06:00,2020-01-03 07:00,1060.455,7.501
2020-01-03 07:00,2020-01-03 08:00,1021.109,7.366
2020-01-03 08:00,2020-01-03 09:00,1038.474,7.428
2020-01-03 09:00,2020-01-03 10:00,1071.677,7.531
2020-01-03 10:00,2020-01-03 11:00,1186.023,7.921
2020-01-03 11:00,2020-01-03 12:00,1081.131,7.571
2020-01-03 12:00,2020-01-03 13:00,1399.972,8.739
2020-01-03 13:00,2020-01-03 14:00,1499.008,9.189
2020-01-03 14:00,2020-01-03 15:00,1562.188,9.528
2020-01-03 15:00,2020-01-03 16:00,1603.178,9.766
2020-01-03 16:00,2020-01-03 17:00,1579.081,9.623
2020-01-03 17:00,2020-01-03 18:00,1548.315,9.451
2020-01-03 18:00,2020-01-03 19:00,1504.448,9.226
2020-01-03 19:00,2020-01-03 20:00,1427.129,8.866
2020-01-03 20:00,2020-01-03 21:00,1365.379,8.604
2020-01-03 21:00,2020-01-03 22:00,1310.262,8.386
2020-01-03 22:00,2020-01-03 23:00,1216.819,8.030
2020-01-03 23:00,2020-01-04 00:00,1115.314,7.687
2020-01-04 00:00,2020-01-04 01:00,948.327,7.133
2020-01-04 01:00,2020-01-04 02:00,889.305,6.937
2020-01-04 02:00,2020-01-04 03:00,744.484,6.466
2020-01-04 03:00,2020-01-04 04:00,625.097,6.062
2020-01-04 04:00,2020-01-04 05:00,572.758,5.874
2020-01-04 05:00,2020-01-04 06:00,569.188,5.860
2020-01-04 06:00,2020-01-04 07:00,598.492,5.957
2020-01-04 07:00,2020-01-04 08:00,676.045,6.230
2020-01-04 08:00,2020-01-04 09:00,850.778,6.819
2020-01-04 09:00,2020-01-04 10:00,858.150,6.841
2020-01-04 10:00,2020-01-04 11:00,869.525,6.876
2020-01-04 11:00,2020-01-04 12:00,1107.889,7.651
2020-01-04 12:00,2020-01-04 13:00,1205.476,7.989
2020-01-04 13:00,2020-01-04 14:00,1303.617,8.351
2020-01-04 14:00,2020-01-04 15:00,1389.406,8.702
2020-01-04 15:00,2020-01-04 16:00,1426.036,8.861
2020-01-04 16:00,2020-01-04 17:00,1457.020,9.000
2020-01-04 17:00,2020-01-04 18:00,1422.253,8.844
2020-01-04 18:00,2020-01-04 19:00,1409.790,8.786
2020-01-04 19:00,2020-01-04 20:00,1332.539,8.473
2020-01-04 20:00,2020-01-04 21:00,1218.939,8.043
2020-01-04 21:00,2020-01-04 22:00,1160.152,7.840
2020-01-04 22:00,2020-01-04 23:00,1085.784,7.579
2020-01-04 23:00,2020-01-05 00:00,980.197,7.235
2020-01-05 00:00,2020-01-05 01:00,905.966,6.989
2020-01-05 01:00,2020-01-05 02:00,808.135,6.677
2020-01-05 02:00,2020-01-05 03:00,711.595,6.352
2020-01-05 03:00,2020-01-05 04:00,604.832,5.983
2020-01-05 04:00,2020-01-05 05:00,477.229,5.509
2020-01-05 05:00,2020-01-05 06:00,327.323,4.847
2020-01-05 06:00,2020-01-05 07:00,207.000,4.172
2020-01-05 07:00,2020-01-05 08:00,151.047,3.775
